areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Andaman and Nicobar Islands,region,06-08-2020,1027,14
Andaman and Nicobar Islands,region,05-08-2020,928,12
Andaman and Nicobar Islands,region,04-08-2020,830,10
Andaman and Nicobar Islands,region,03-08-2020,734,8
Andaman and Nicobar Islands,region,02-08-2020,636,7
Andaman and Nicobar Islands,region,01-08-2020,548,5
Andaman and Nicobar Islands,region,31-07-2020,471,4
Andaman and Nicobar Islands,region,30-07-2020,428,2
Andaman and Nicobar Islands,region,29-07-2020,363,1
Andaman and Nicobar Islands,region,28-07-2020,338,1
Andaman and Nicobar Islands,region,27-07-2020,324,0
Andaman and Nicobar Islands,region,26-07-2020,290,0
Andaman and Nicobar Islands,region,25-07-2020,259,0
Andaman and Nicobar Islands,region,24-07-2020,240,0
Andaman and Nicobar Islands,region,23-07-2020,221,0
Andaman and Nicobar Islands,region,22-07-2020,212,0
Andaman and Nicobar Islands,region,21-07-2020,207,0
Andaman and Nicobar Islands,region,20-07-2020,203,0
Andaman and Nicobar Islands,region,19-07-2020,198,0
Andaman and Nicobar Islands,region,18-07-2020,194,0
Andaman and Nicobar Islands,region,17-07-2020,176,0
Andaman and Nicobar Islands,region,16-07-2020,176,0
Andaman and Nicobar Islands,region,15-07-2020,166,0
Andaman and Nicobar Islands,region,14-07-2020,166,0
Andaman and Nicobar Islands,region,13-07-2020,163,0
Andaman and Nicobar Islands,region,12-07-2020,163,0
Andaman and Nicobar Islands,region,11-07-2020,156,0
Andaman and Nicobar Islands,region,10-07-2020,151,0
Andaman and Nicobar Islands,region,09-07-2020,149,0
Andaman and Nicobar Islands,region,08-07-2020,147,0
Andaman and Nicobar Islands,region,07-07-2020,141,0
Andaman and Nicobar Islands,region,05-07-2020,119,0
Andaman and Nicobar Islands,region,03-07-2020,109,0
Andaman and Nicobar Islands,region,02-07-2020,100,0
Andaman and Nicobar Islands,region,30-06-2020,90,0
Andaman and Nicobar Islands,region,29-06-2020,76,0
Andaman and Nicobar Islands,region,28-06-2020,72,0
Andaman and Nicobar Islands,region,27-06-2020,72,0
Andaman and Nicobar Islands,region,25-06-2020,56,0
Andaman and Nicobar Islands,region,24-06-2020,50,0
Andaman and Nicobar Islands,region,23-06-2020,48,0
Andaman and Nicobar Islands,region,22-06-2020,48,0
Andaman and Nicobar Islands,region,21-06-2020,47,0
Andaman and Nicobar Islands,region,20-06-2020,45,0
Andaman and Nicobar Islands,region,19-06-2020,44,0
Andaman and Nicobar Islands,region,18-06-2020,44,0
Andaman and Nicobar Islands,region,17-06-2020,44,0
Andaman and Nicobar Islands,region,16-06-2020,41,0
Andaman and Nicobar Islands,region,15-06-2020,38,0
Andaman and Nicobar Islands,region,14-06-2020,38,0
Andaman and Nicobar Islands,region,13-06-2020,38,0
Andaman and Nicobar Islands,region,12-06-2020,38,0
Andaman and Nicobar Islands,region,11-06-2020,34,0
Andaman and Nicobar Islands,region,10-06-2020,33,0
Andaman and Nicobar Islands,region,09-06-2020,33,0
Andaman and Nicobar Islands,region,08-06-2020,33,0
Andaman and Nicobar Islands,region,07-06-2020,33,0
Andaman and Nicobar Islands,region,06-06-2020,33,0
Andaman and Nicobar Islands,region,05-06-2020,33,0
Andaman and Nicobar Islands,region,04-06-2020,33,0
Andaman and Nicobar Islands,region,03-06-2020,33,0
Andaman and Nicobar Islands,region,02-06-2020,33,0
Andaman and Nicobar Islands,region,01-06-2020,33,0
Andaman and Nicobar Islands,region,31-05-2020,33,0
Andaman and Nicobar Islands,region,30-05-2020,33,0
Andaman and Nicobar Islands,region,29-05-2020,33,0
Andaman and Nicobar Islands,region,28-05-2020,33,0
Andaman and Nicobar Islands,region,27-05-2020,33,0
Andaman and Nicobar Islands,region,26-05-2020,33,0
Andaman and Nicobar Islands,region,25-05-2020,33,0
Andaman and Nicobar Islands,region,24-05-2020,33,0
Andaman and Nicobar Islands,region,23-05-2020,33,0
Andaman and Nicobar Islands,region,22-05-2020,33,0
Andaman and Nicobar Islands,region,21-05-2020,33,0
Andaman and Nicobar Islands,region,20-05-2020,33,0
Andaman and Nicobar Islands,region,19-05-2020,33,0
Andaman and Nicobar Islands,region,18-05-2020,33,0
Andaman and Nicobar Islands,region,17-05-2020,33,0
Andaman and Nicobar Islands,region,16-05-2020,33,0
Andaman and Nicobar Islands,region,15-05-2020,33,0
Andaman and Nicobar Islands,region,14-05-2020,33,0
Andaman and Nicobar Islands,region,13-05-2020,33,0
Andaman and Nicobar Islands,region,12-05-2020,33,0
Andaman and Nicobar Islands,region,11-05-2020,33,0
Andaman and Nicobar Islands,region,10-05-2020,33,0
Andaman and Nicobar Islands,region,09-05-2020,33,0
Andaman and Nicobar Islands,region,08-05-2020,33,0
Andaman and Nicobar Islands,region,07-05-2020,33,0
Andaman and Nicobar Islands,region,06-05-2020,33,0
Andaman and Nicobar Islands,region,05-05-2020,33,0
Andaman and Nicobar Islands,region,04-05-2020,33,0
Andaman and Nicobar Islands,region,03-05-2020,33,0
Andaman and Nicobar Islands,region,02-05-2020,33,0
Andaman and Nicobar Islands,region,01-05-2020,33,0
Andaman and Nicobar Islands,region,30-04-2020,33,0
Andaman and Nicobar Islands,region,29-04-2020,33,0
Andaman and Nicobar Islands,region,28-04-2020,33,0
Andaman and Nicobar Islands,region,27-04-2020,33,0
Andaman and Nicobar Islands,region,26-04-2020,33,0
Andaman and Nicobar Islands,region,25-04-2020,27,0
Andaman and Nicobar Islands,region,24-04-2020,22,0
Andaman and Nicobar Islands,region,23-04-2020,18,0
Andaman and Nicobar Islands,region,22-04-2020,16,0
Andaman and Nicobar Islands,region,21-04-2020,16,0
Andaman and Nicobar Islands,region,20-04-2020,15,0
Andaman and Nicobar Islands,region,19-04-2020,14,0
Andaman and Nicobar Islands,region,18-04-2020,12,0
Andaman and Nicobar Islands,region,17-04-2020,11,0
Andaman and Nicobar Islands,region,16-04-2020,11,0
Andaman and Nicobar Islands,region,15-04-2020,11,0
Andaman and Nicobar Islands,region,14-04-2020,11,0
Andaman and Nicobar Islands,region,13-04-2020,11,0
Andaman and Nicobar Islands,region,12-04-2020,11,0
Andaman and Nicobar Islands,region,11-04-2020,11,0
Andaman and Nicobar Islands,region,10-04-2020,11,0
Andaman and Nicobar Islands,region,09-04-2020,11,0
Andaman and Nicobar Islands,region,08-04-2020,10,0
Andaman and Nicobar Islands,region,07-04-2020,10,0
Andaman and Nicobar Islands,region,06-04-2020,10,0
Andaman and Nicobar Islands,region,05-04-2020,10,0
Andaman and Nicobar Islands,region,04-04-2020,10,0
Andaman and Nicobar Islands,region,03-04-2020,10,0
Andaman and Nicobar Islands,region,02-04-2020,10,0
Andaman and Nicobar Islands,region,01-04-2020,10,0
Andaman and Nicobar Islands,region,31-03-2020,10,0
Andaman and Nicobar Islands,region,30-03-2020,9,0
Andaman and Nicobar Islands,region,29-03-2020,9,0
Andaman and Nicobar Islands,region,28-03-2020,6,0
Andaman and Nicobar Islands,region,27-03-2020,1,0
Andaman and Nicobar Islands,region,26-03-2020,1,0
