areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Andhra Pradesh,region,12-03-2020,1,0
Andhra Pradesh,region,13-03-2020,1,0
Andhra Pradesh,region,14-03-2020,1,0
Andhra Pradesh,region,15-03-2020,1,0
Andhra Pradesh,region,16-03-2020,1,0
Andhra Pradesh,region,17-03-2020,1,0
Andhra Pradesh,region,18-03-2020,1,0
Andhra Pradesh,region,19-03-2020,2,0
Andhra Pradesh,region,20-03-2020,2,0
Andhra Pradesh,region,21-03-2020,3,0
Andhra Pradesh,region,22-03-2020,5,0
Andhra Pradesh,region,23-03-2020,7,0
Andhra Pradesh,region,24-03-2020,8,0
Andhra Pradesh,region,25-03-2020,9,0
Andhra Pradesh,region,26-03-2020,11,0
Andhra Pradesh,region,27-03-2020,12,0
Andhra Pradesh,region,28-03-2020,14,0
Andhra Pradesh,region,29-03-2020,14,0
Andhra Pradesh,region,30-03-2020,19,0
Andhra Pradesh,region,31-03-2020,40,0
Andhra Pradesh,region,01-04-2020,83,0
Andhra Pradesh,region,02-04-2020,86,1
Andhra Pradesh,region,03-04-2020,132,1
Andhra Pradesh,region,04-04-2020,161,1
Andhra Pradesh,region,05-04-2020,161,1
Andhra Pradesh,region,06-04-2020,226,3
Andhra Pradesh,region,07-04-2020,266,3
Andhra Pradesh,region,08-04-2020,305,4
Andhra Pradesh,region,09-04-2020,348,4
Andhra Pradesh,region,10-04-2020,348,4
Andhra Pradesh,region,11-04-2020,363,6
Andhra Pradesh,region,12-04-2020,381,6
Andhra Pradesh,region,13-04-2020,427,7
Andhra Pradesh,region,14-04-2020,473,9
Andhra Pradesh,region,15-04-2020,483,9
Andhra Pradesh,region,16-04-2020,525,14
Andhra Pradesh,region,17-04-2020,572,14
Andhra Pradesh,region,18-04-2020,572,14
Andhra Pradesh,region,19-04-2020,603,15
Andhra Pradesh,region,20-04-2020,646,15
Andhra Pradesh,region,21-04-2020,722,20
Andhra Pradesh,region,22-04-2020,757,22
Andhra Pradesh,region,23-04-2020,813,24
Andhra Pradesh,region,24-04-2020,895,27
Andhra Pradesh,region,25-04-2020,955,29
Andhra Pradesh,region,26-04-2020,1061,31
Andhra Pradesh,region,27-04-2020,1097,31
Andhra Pradesh,region,28-04-2020,1183,31
Andhra Pradesh,region,29-04-2020,1259,31
Andhra Pradesh,region,30-04-2020,1332,31
Andhra Pradesh,region,01-05-2020,1403,31
Andhra Pradesh,region,02-05-2020,1463,33
Andhra Pradesh,region,03-05-2020,1525,33
Andhra Pradesh,region,04-05-2020,1583,33
Andhra Pradesh,region,05-05-2020,1650,36
Andhra Pradesh,region,06-05-2020,1717,36
Andhra Pradesh,region,07-05-2020,1777,36
Andhra Pradesh,region,08-05-2020,1847,38
Andhra Pradesh,region,09-05-2020,1887,41
Andhra Pradesh,region,10-05-2020,1930,44
Andhra Pradesh,region,11-05-2020,1980,45
Andhra Pradesh,region,12-05-2020,2018,45
Andhra Pradesh,region,13-05-2020,2090,46
Andhra Pradesh,region,14-05-2020,2137,47
Andhra Pradesh,region,15-05-2020,2205,48
Andhra Pradesh,region,16-05-2020,2307,48
Andhra Pradesh,region,17-05-2020,2355,49
Andhra Pradesh,region,18-05-2020,2407,50
Andhra Pradesh,region,19-05-2020,2474,50
Andhra Pradesh,region,20-05-2020,2532,52
Andhra Pradesh,region,21-05-2020,2602,53
Andhra Pradesh,region,22-05-2020,2647,53
Andhra Pradesh,region,23-05-2020,2709,55
Andhra Pradesh,region,24-05-2020,2757,56
Andhra Pradesh,region,25-05-2020,2823,56
Andhra Pradesh,region,26-05-2020,3110,56
Andhra Pradesh,region,27-05-2020,3171,57
Andhra Pradesh,region,28-05-2020,3171,58
Andhra Pradesh,region,29-05-2020,3251,59
Andhra Pradesh,region,30-05-2020,3436,60
Andhra Pradesh,region,31-05-2020,3569,60
Andhra Pradesh,region,01-06-2020,3679,62
Andhra Pradesh,region,02-06-2020,3783,64
Andhra Pradesh,region,03-06-2020,3898,64
Andhra Pradesh,region,04-06-2020,4080,68
Andhra Pradesh,region,05-06-2020,4223,71
Andhra Pradesh,region,06-06-2020,4303,73
Andhra Pradesh,region,07-06-2020,4510,73
Andhra Pradesh,region,08-06-2020,4708,75
Andhra Pradesh,region,09-06-2020,4851,75
Andhra Pradesh,region,10-06-2020,5070,77
Andhra Pradesh,region,11-06-2020,5269,78
Andhra Pradesh,region,12-06-2020,5429,80
Andhra Pradesh,region,13-06-2020,5680,80
Andhra Pradesh,region,14-06-2020,5965,82
Andhra Pradesh,region,15-06-2020,6163,84
Andhra Pradesh,region,16-06-2020,6456,88
Andhra Pradesh,region,17-06-2020,6841,88
Andhra Pradesh,region,18-06-2020,7071,90
Andhra Pradesh,region,19-06-2020,7518,92
Andhra Pradesh,region,20-06-2020,7961,96
Andhra Pradesh,region,21-06-2020,8452,101
Andhra Pradesh,region,22-06-2020,8999,106
Andhra Pradesh,region,23-06-2020,9372,111
Andhra Pradesh,region,24-06-2020,10002,119
Andhra Pradesh,region,25-06-2020,10331,124
Andhra Pradesh,region,27-06-2020,11489,148
Andhra Pradesh,region,28-06-2020,12285,157
Andhra Pradesh,region,29-06-2020,13241,169
Andhra Pradesh,region,30-06-2020,13891,180
Andhra Pradesh,region,02-07-2020,15252,193
Andhra Pradesh,region,03-07-2020,16097,198
Andhra Pradesh,region,05-07-2020,17699,218
Andhra Pradesh,region,07-07-2020,20019,239
Andhra Pradesh,region,08-07-2020,21197,252
Andhra Pradesh,region,09-07-2020,22259,264
Andhra Pradesh,region,10-07-2020,23814,277
Andhra Pradesh,region,11-07-2020,25422,292
Andhra Pradesh,region,12-07-2020,27235,309
Andhra Pradesh,region,13-07-2020,29168,328
Andhra Pradesh,region,14-07-2020,31103,365
Andhra Pradesh,region,15-07-2020,33019,408
Andhra Pradesh,region,16-07-2020,35451,452
Andhra Pradesh,region,17-07-2020,35451,452
Andhra Pradesh,region,18-07-2020,40646,534
Andhra Pradesh,region,19-07-2020,44609,586
Andhra Pradesh,region,20-07-2020,49650,642
Andhra Pradesh,region,21-07-2020,53724,696
Andhra Pradesh,region,22-07-2020,58668,758
Andhra Pradesh,region,23-07-2020,64713,823
Andhra Pradesh,region,24-07-2020,72711,884
Andhra Pradesh,region,25-07-2020,80858,933
Andhra Pradesh,region,26-07-2020,88671,985
Andhra Pradesh,region,27-07-2020,96298,1041
Andhra Pradesh,region,28-07-2020,102349,1090
Andhra Pradesh,region,29-07-2020,110297,1148
Andhra Pradesh,region,30-07-2020,120390,1213
Andhra Pradesh,region,31-07-2020,130557,1281
Andhra Pradesh,region,01-08-2020,140933,1349
Andhra Pradesh,region,02-08-2020,150209,1407
Andhra Pradesh,region,03-08-2020,158764,1474
Andhra Pradesh,region,04-08-2020,166586,1537
Andhra Pradesh,region,05-08-2020,176333,1604
Andhra Pradesh,region,06-08-2020,186461,1681
