areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Arunachal Pradesh,region,03-04-2020,1,0
Arunachal Pradesh,region,04-04-2020,1,0
Arunachal Pradesh,region,05-04-2020,1,0
Arunachal Pradesh,region,06-04-2020,1,0
Arunachal Pradesh,region,07-04-2020,1,0
Arunachal Pradesh,region,08-04-2020,1,0
Arunachal Pradesh,region,09-04-2020,1,0
Arunachal Pradesh,region,10-04-2020,1,0
Arunachal Pradesh,region,11-04-2020,1,0
Arunachal Pradesh,region,12-04-2020,1,0
Arunachal Pradesh,region,13-04-2020,1,0
Arunachal Pradesh,region,14-04-2020,1,0
Arunachal Pradesh,region,15-04-2020,1,0
Arunachal Pradesh,region,16-04-2020,1,0
Arunachal Pradesh,region,17-04-2020,1,0
Arunachal Pradesh,region,18-04-2020,1,0
Arunachal Pradesh,region,19-04-2020,1,0
Arunachal Pradesh,region,20-04-2020,1,0
Arunachal Pradesh,region,21-04-2020,1,0
Arunachal Pradesh,region,22-04-2020,1,0
Arunachal Pradesh,region,23-04-2020,1,0
Arunachal Pradesh,region,24-04-2020,1,0
Arunachal Pradesh,region,25-04-2020,1,0
Arunachal Pradesh,region,26-04-2020,1,0
Arunachal Pradesh,region,27-04-2020,1,0
Arunachal Pradesh,region,28-04-2020,1,0
Arunachal Pradesh,region,29-04-2020,1,0
Arunachal Pradesh,region,30-04-2020,1,0
Arunachal Pradesh,region,01-05-2020,1,0
Arunachal Pradesh,region,02-05-2020,1,0
Arunachal Pradesh,region,03-05-2020,1,0
Arunachal Pradesh,region,04-05-2020,1,0
Arunachal Pradesh,region,05-05-2020,1,0
Arunachal Pradesh,region,06-05-2020,1,0
Arunachal Pradesh,region,07-05-2020,1,0
Arunachal Pradesh,region,08-05-2020,1,0
Arunachal Pradesh,region,09-05-2020,1,0
Arunachal Pradesh,region,10-05-2020,1,0
Arunachal Pradesh,region,11-05-2020,1,0
Arunachal Pradesh,region,12-05-2020,1,0
Arunachal Pradesh,region,13-05-2020,1,0
Arunachal Pradesh,region,14-05-2020,1,0
Arunachal Pradesh,region,15-05-2020,1,0
Arunachal Pradesh,region,16-05-2020,1,0
Arunachal Pradesh,region,17-05-2020,1,0
Arunachal Pradesh,region,18-05-2020,1,0
Arunachal Pradesh,region,19-05-2020,1,0
Arunachal Pradesh,region,20-05-2020,1,0
Arunachal Pradesh,region,21-05-2020,1,0
Arunachal Pradesh,region,22-05-2020,1,0
Arunachal Pradesh,region,23-05-2020,1,0
Arunachal Pradesh,region,24-05-2020,1,0
Arunachal Pradesh,region,25-05-2020,1,0
Arunachal Pradesh,region,26-05-2020,2,0
Arunachal Pradesh,region,27-05-2020,2,0
Arunachal Pradesh,region,28-05-2020,2,0
Arunachal Pradesh,region,29-05-2020,3,0
Arunachal Pradesh,region,30-05-2020,3,0
Arunachal Pradesh,region,31-05-2020,4,0
Arunachal Pradesh,region,01-06-2020,4,0
Arunachal Pradesh,region,02-06-2020,22,0
Arunachal Pradesh,region,03-06-2020,22,0
Arunachal Pradesh,region,04-06-2020,38,0
Arunachal Pradesh,region,05-06-2020,42,0
Arunachal Pradesh,region,06-06-2020,45,0
Arunachal Pradesh,region,07-06-2020,47,0
Arunachal Pradesh,region,08-06-2020,51,0
Arunachal Pradesh,region,09-06-2020,51,0
Arunachal Pradesh,region,10-06-2020,57,0
Arunachal Pradesh,region,11-06-2020,57,0
Arunachal Pradesh,region,12-06-2020,61,0
Arunachal Pradesh,region,13-06-2020,67,0
Arunachal Pradesh,region,14-06-2020,87,0
Arunachal Pradesh,region,15-06-2020,91,0
Arunachal Pradesh,region,16-06-2020,91,0
Arunachal Pradesh,region,17-06-2020,95,0
Arunachal Pradesh,region,18-06-2020,99,0
Arunachal Pradesh,region,19-06-2020,103,0
Arunachal Pradesh,region,20-06-2020,103,0
Arunachal Pradesh,region,21-06-2020,135,0
Arunachal Pradesh,region,22-06-2020,135,0
Arunachal Pradesh,region,23-06-2020,139,0
Arunachal Pradesh,region,24-06-2020,148,0
Arunachal Pradesh,region,25-06-2020,158,0
Arunachal Pradesh,region,27-06-2020,172,1
Arunachal Pradesh,region,28-06-2020,177,1
Arunachal Pradesh,region,29-06-2020,182,1
Arunachal Pradesh,region,30-06-2020,187,1
Arunachal Pradesh,region,02-07-2020,195,1
Arunachal Pradesh,region,03-07-2020,195,1
Arunachal Pradesh,region,05-07-2020,259,1
Arunachal Pradesh,region,07-07-2020,270,2
Arunachal Pradesh,region,08-07-2020,276,2
Arunachal Pradesh,region,09-07-2020,287,2
Arunachal Pradesh,region,10-07-2020,302,2
Arunachal Pradesh,region,11-07-2020,335,2
Arunachal Pradesh,region,12-07-2020,341,2
Arunachal Pradesh,region,13-07-2020,359,2
Arunachal Pradesh,region,14-07-2020,387,2
Arunachal Pradesh,region,15-07-2020,462,3
Arunachal Pradesh,region,16-07-2020,462,3
Arunachal Pradesh,region,17-07-2020,462,3
Arunachal Pradesh,region,18-07-2020,609,3
Arunachal Pradesh,region,19-07-2020,650,3
Arunachal Pradesh,region,20-07-2020,740,3
Arunachal Pradesh,region,21-07-2020,790,3
Arunachal Pradesh,region,22-07-2020,858,3
Arunachal Pradesh,region,23-07-2020,949,3
