areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Assam,region,01-04-2020,1,0
Assam,region,02-04-2020,1,0
Assam,region,03-04-2020,16,0
Assam,region,04-04-2020,24,0
Assam,region,05-04-2020,24,0
Assam,region,06-04-2020,26,0
Assam,region,07-04-2020,26,0
Assam,region,08-04-2020,27,0
Assam,region,09-04-2020,28,0
Assam,region,10-04-2020,29,0
Assam,region,11-04-2020,29,1
Assam,region,12-04-2020,29,1
Assam,region,13-04-2020,29,1
Assam,region,14-04-2020,21,1
Assam,region,15-04-2020,32,1
Assam,region,16-04-2020,33,1
Assam,region,17-04-2020,35,1
Assam,region,18-04-2020,35,1
Assam,region,19-04-2020,35,1
Assam,region,20-04-2020,35,1
Assam,region,21-04-2020,35,1
Assam,region,22-04-2020,35,1
Assam,region,23-04-2020,35,1
Assam,region,24-04-2020,36,1
Assam,region,25-04-2020,36,1
Assam,region,26-04-2020,36,1
Assam,region,27-04-2020,36,1
Assam,region,28-04-2020,36,1
Assam,region,29-04-2020,38,1
Assam,region,30-04-2020,38,1
Assam,region,01-05-2020,42,1
Assam,region,02-05-2020,43,1
Assam,region,03-05-2020,43,1
Assam,region,04-05-2020,43,1
Assam,region,05-05-2020,43,1
Assam,region,06-05-2020,43,1
Assam,region,07-05-2020,45,1
Assam,region,08-05-2020,54,1
Assam,region,09-05-2020,59,1
Assam,region,10-05-2020,63,2
Assam,region,11-05-2020,63,2
Assam,region,12-05-2020,65,2
Assam,region,13-05-2020,65,2
Assam,region,14-05-2020,80,2
Assam,region,15-05-2020,87,2
Assam,region,16-05-2020,90,2
Assam,region,17-05-2020,92,2
Assam,region,18-05-2020,101,2
Assam,region,19-05-2020,107,2
Assam,region,20-05-2020,142,4
Assam,region,21-05-2020,170,4
Assam,region,22-05-2020,203,4
Assam,region,23-05-2020,259,4
Assam,region,24-05-2020,329,4
Assam,region,25-05-2020,378,4
Assam,region,26-05-2020,526,4
Assam,region,27-05-2020,616,4
Assam,region,28-05-2020,781,4
Assam,region,29-05-2020,856,4
Assam,region,30-05-2020,1024,4
Assam,region,31-05-2020,1185,4
Assam,region,01-06-2020,1272,4
Assam,region,02-06-2020,1390,4
Assam,region,03-06-2020,1513,4
Assam,region,04-06-2020,1672,4
Assam,region,05-06-2020,1988,4
Assam,region,06-06-2020,2153,4
Assam,region,07-06-2020,2397,4
Assam,region,08-06-2020,2565,4
Assam,region,09-06-2020,2776,4
Assam,region,10-06-2020,2937,4
Assam,region,11-06-2020,3092,4
Assam,region,12-06-2020,3319,6
Assam,region,13-06-2020,3498,8
Assam,region,14-06-2020,3718,8
Assam,region,15-06-2020,4049,8
Assam,region,16-06-2020,4158,8
Assam,region,17-06-2020,4319,8
Assam,region,18-06-2020,4605,8
Assam,region,19-06-2020,4777,9
Assam,region,20-06-2020,4904,9
Assam,region,21-06-2020,4904,9
Assam,region,22-06-2020,5388,9
Assam,region,23-06-2020,5586,9
Assam,region,24-06-2020,5831,9
Assam,region,25-06-2020,6198,9
Assam,region,27-06-2020,6607,9
Assam,region,28-06-2020,6816,9
Assam,region,29-06-2020,7206,10
Assam,region,30-06-2020,7752,11
Assam,region,02-07-2020,8582,12
Assam,region,03-07-2020,9013,12
Assam,region,05-07-2020,10668,14
Assam,region,07-07-2020,12160,14
Assam,region,08-07-2020,12522,14
Assam,region,09-07-2020,13336,16
Assam,region,10-07-2020,14032,22
Assam,region,11-07-2020,14600,27
Assam,region,12-07-2020,15536,35
Assam,region,13-07-2020,16071,35
Assam,region,14-07-2020,16806,36
Assam,region,15-07-2020,17807,40
Assam,region,16-07-2020,18666,46
Assam,region,17-07-2020,18666,46
Assam,region,18-07-2020,20646,51
Assam,region,19-07-2020,22918,53
Assam,region,20-07-2020,23999,57
Assam,region,21-07-2020,25382,58
Assam,region,22-07-2020,25382,58
Assam,region,23-07-2020,26772,64
Assam,region,24-07-2020,28791,70
Assam,region,25-07-2020,29921,76
Assam,region,26-07-2020,31086,77
Assam,region,27-07-2020,32228,79
Assam,region,28-07-2020,33576,86
Assam,region,29-07-2020,34947,88
Assam,region,30-07-2020,36295,92
Assam,region,31-07-2020,38407,94
Assam,region,01-08-2020,40269,98
Assam,region,02-08-2020,41726,101
Assam,region,03-08-2020,42904,105
Assam,region,04-08-2020,45275,109
Assam,region,05-08-2020,48161,115
Assam,region,06-08-2020,50445,121
