areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Bihar,region,22-03-2020,2,1
Bihar,region,23-03-2020,2,1
Bihar,region,24-03-2020,3,1
Bihar,region,25-03-2020,4,1
Bihar,region,26-03-2020,6,1
Bihar,region,27-03-2020,6,1
Bihar,region,28-03-2020,9,1
Bihar,region,29-03-2020,9,1
Bihar,region,30-03-2020,11,1
Bihar,region,31-03-2020,15,1
Bihar,region,01-04-2020,23,1
Bihar,region,02-04-2020,23,1
Bihar,region,03-04-2020,24,1
Bihar,region,04-04-2020,29,1
Bihar,region,05-04-2020,30,1
Bihar,region,06-04-2020,30,1
Bihar,region,07-04-2020,32,1
Bihar,region,08-04-2020,38,1
Bihar,region,09-04-2020,38,1
Bihar,region,10-04-2020,39,1
Bihar,region,11-04-2020,60,1
Bihar,region,12-04-2020,63,1
Bihar,region,13-04-2020,64,1
Bihar,region,14-04-2020,66,1
Bihar,region,15-04-2020,66,1
Bihar,region,16-04-2020,70,1
Bihar,region,17-04-2020,83,1
Bihar,region,18-04-2020,83,2
Bihar,region,19-04-2020,86,2
Bihar,region,20-04-2020,93,2
Bihar,region,21-04-2020,113,2
Bihar,region,22-04-2020,126,2
Bihar,region,23-04-2020,143,2
Bihar,region,24-04-2020,153,2
Bihar,region,25-04-2020,223,2
Bihar,region,26-04-2020,243,2
Bihar,region,27-04-2020,274,2
Bihar,region,28-04-2020,345,2
Bihar,region,29-04-2020,366,2
Bihar,region,30-04-2020,392,2
Bihar,region,01-05-2020,418,2
Bihar,region,02-05-2020,471,3
Bihar,region,03-05-2020,481,4
Bihar,region,04-05-2020,503,4
Bihar,region,05-05-2020,528,4
Bihar,region,06-05-2020,536,4
Bihar,region,07-05-2020,542,4
Bihar,region,08-05-2020,550,5
Bihar,region,09-05-2020,571,5
Bihar,region,10-05-2020,591,5
Bihar,region,11-05-2020,696,6
Bihar,region,12-05-2020,747,6
Bihar,region,13-05-2020,831,6
Bihar,region,14-05-2020,940,7
Bihar,region,15-05-2020,994,7
Bihar,region,16-05-2020,1018,7
Bihar,region,17-05-2020,1179,7
Bihar,region,18-05-2020,1262,8
Bihar,region,19-05-2020,1391,9
Bihar,region,20-05-2020,1498,9
Bihar,region,21-05-2020,1674,10
Bihar,region,22-05-2020,1982,11
Bihar,region,23-05-2020,2177,11
Bihar,region,24-05-2020,2380,11
Bihar,region,25-05-2020,2587,13
Bihar,region,26-05-2020,2730,13
Bihar,region,27-05-2020,2983,13
Bihar,region,28-05-2020,3061,15
Bihar,region,29-05-2020,3296,15
Bihar,region,30-05-2020,3376,15
Bihar,region,31-05-2020,3636,20
Bihar,region,01-06-2020,3815,21
Bihar,region,02-06-2020,3926,24
Bihar,region,03-06-2020,4155,24
Bihar,region,04-06-2020,4390,25
Bihar,region,05-06-2020,4493,29
Bihar,region,06-06-2020,4596,29
Bihar,region,07-06-2020,4915,30
Bihar,region,08-06-2020,5088,30
Bihar,region,09-06-2020,5202,31
Bihar,region,10-06-2020,5459,32
Bihar,region,11-06-2020,5710,33
Bihar,region,12-06-2020,5983,36
Bihar,region,13-06-2020,6103,36
Bihar,region,14-06-2020,6290,39
Bihar,region,15-06-2020,6470,39
Bihar,region,16-06-2020,6650,40
Bihar,region,17-06-2020,6778,41
Bihar,region,18-06-2020,6942,44
Bihar,region,19-06-2020,7025,44
Bihar,region,20-06-2020,7181,50
Bihar,region,21-06-2020,7533,52
Bihar,region,22-06-2020,7612,53
Bihar,region,23-06-2020,7825,55
Bihar,region,24-06-2020,8153,56
Bihar,region,25-06-2020,8209,57
Bihar,region,27-06-2020,8716,58
Bihar,region,28-06-2020,8931,59
Bihar,region,29-06-2020,9212,60
Bihar,region,30-06-2020,9640,62
Bihar,region,02-07-2020,10249,70
Bihar,region,03-07-2020,10471,77
Bihar,region,05-07-2020,11700,89
Bihar,region,07-07-2020,12125,97
Bihar,region,08-07-2020,12570,104
Bihar,region,09-07-2020,13189,107
Bihar,region,10-07-2020,13944,115
Bihar,region,11-07-2020,14575,119
Bihar,region,12-07-2020,15373,131
Bihar,region,13-07-2020,16642,143
Bihar,region,14-07-2020,17959,160
Bihar,region,15-07-2020,19284,174
Bihar,region,16-07-2020,20612,180
Bihar,region,17-07-2020,20612,180
Bihar,region,18-07-2020,23589,201
Bihar,region,19-07-2020,25136,208
Bihar,region,20-07-2020,26569,217
Bihar,region,21-07-2020,27646,217
Bihar,region,22-07-2020,28952,217
Bihar,region,23-07-2020,30369,217
Bihar,region,24-07-2020,31980,217
Bihar,region,25-07-2020,33926,220
Bihar,region,26-07-2020,36604,234
Bihar,region,27-07-2020,39176,244
Bihar,region,28-07-2020,41244,253
Bihar,region,29-07-2020,43843,269
Bihar,region,30-07-2020,46080,278
Bihar,region,31-07-2020,48477,282
Bihar,region,01-08-2020,51233,296
Bihar,region,02-08-2020,54240,309
Bihar,region,03-08-2020,57024,329
Bihar,region,04-08-2020,59328,330
Bihar,region,05-08-2020,61788,347
Bihar,region,06-08-2020,64770,355
