areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Dadra and Nagar Haveli and Daman and Diu,region,06-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,07-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,08-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,09-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,10-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,11-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,12-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,13-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,14-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,15-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,16-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,17-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,18-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,19-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,20-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,21-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,22-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,23-05-2020,1,0
Dadra and Nagar Haveli and Daman and Diu,region,24-05-2020,2,0
Dadra and Nagar Haveli and Daman and Diu,region,25-05-2020,2,0
Dadra and Nagar Haveli and Daman and Diu,region,26-05-2020,2,0
Dadra and Nagar Haveli and Daman and Diu,region,27-05-2020,2,0
Dadra and Nagar Haveli and Daman and Diu,region,28-05-2020,2,0
Dadra and Nagar Haveli and Daman and Diu,region,29-05-2020,2,0
Dadra and Nagar Haveli and Daman and Diu,region,30-05-2020,2,0
Dadra and Nagar Haveli and Daman and Diu,region,31-05-2020,2,0
Dadra and Nagar Haveli and Daman and Diu,region,01-06-2020,2,0
Dadra and Nagar Haveli and Daman and Diu,region,02-06-2020,3,0
Dadra and Nagar Haveli and Daman and Diu,region,03-06-2020,4,0
Dadra and Nagar Haveli and Daman and Diu,region,04-06-2020,8,0
Dadra and Nagar Haveli and Daman and Diu,region,05-06-2020,12,0
Dadra and Nagar Haveli and Daman and Diu,region,06-06-2020,14,0
Dadra and Nagar Haveli and Daman and Diu,region,07-06-2020,19,0
Dadra and Nagar Haveli and Daman and Diu,region,08-06-2020,20,0
Dadra and Nagar Haveli and Daman and Diu,region,09-06-2020,22,0
Dadra and Nagar Haveli and Daman and Diu,region,10-06-2020,22,0
Dadra and Nagar Haveli and Daman and Diu,region,11-06-2020,28,0
Dadra and Nagar Haveli and Daman and Diu,region,12-06-2020,30,0
Dadra and Nagar Haveli and Daman and Diu,region,13-06-2020,30,0
Dadra and Nagar Haveli and Daman and Diu,region,14-06-2020,35,0
Dadra and Nagar Haveli and Daman and Diu,region,15-06-2020,36,0
Dadra and Nagar Haveli and Daman and Diu,region,16-06-2020,36,0
Dadra and Nagar Haveli and Daman and Diu,region,17-06-2020,45,0
Dadra and Nagar Haveli and Daman and Diu,region,18-06-2020,57,0
Dadra and Nagar Haveli and Daman and Diu,region,19-06-2020,58,0
Dadra and Nagar Haveli and Daman and Diu,region,20-06-2020,62,0
Dadra and Nagar Haveli and Daman and Diu,region,21-06-2020,68,0
Dadra and Nagar Haveli and Daman and Diu,region,22-06-2020,88,0
Dadra and Nagar Haveli and Daman and Diu,region,23-06-2020,91,0
Dadra and Nagar Haveli and Daman and Diu,region,24-06-2020,120,0
Dadra and Nagar Haveli and Daman and Diu,region,25-06-2020,120,0
Dadra and Nagar Haveli and Daman and Diu,region,27-06-2020,163,0
Dadra and Nagar Haveli and Daman and Diu,region,28-06-2020,177,0
Dadra and Nagar Haveli and Daman and Diu,region,29-06-2020,178,0
Dadra and Nagar Haveli and Daman and Diu,region,30-06-2020,203,0
Dadra and Nagar Haveli and Daman and Diu,region,02-07-2020,215,0
Dadra and Nagar Haveli and Daman and Diu,region,03-07-2020,230,0
Dadra and Nagar Haveli and Daman and Diu,region,05-07-2020,271,0
Dadra and Nagar Haveli and Daman and Diu,region,07-07-2020,297,0
Dadra and Nagar Haveli and Daman and Diu,region,08-07-2020,405,0
Dadra and Nagar Haveli and Daman and Diu,region,09-07-2020,408,0
Dadra and Nagar Haveli and Daman and Diu,region,10-07-2020,411,0
Dadra and Nagar Haveli and Daman and Diu,region,11-07-2020,459,0
Dadra and Nagar Haveli and Daman and Diu,region,12-07-2020,471,0
Dadra and Nagar Haveli and Daman and Diu,region,13-07-2020,479,0
Dadra and Nagar Haveli and Daman and Diu,region,14-07-2020,495,1
Dadra and Nagar Haveli and Daman and Diu,region,15-07-2020,520,1
Dadra and Nagar Haveli and Daman and Diu,region,16-07-2020,539,2
Dadra and Nagar Haveli and Daman and Diu,region,17-07-2020,539,2
Dadra and Nagar Haveli and Daman and Diu,region,18-07-2020,585,2
Dadra and Nagar Haveli and Daman and Diu,region,19-07-2020,602,2
Dadra and Nagar Haveli and Daman and Diu,region,20-07-2020,605,2
Dadra and Nagar Haveli and Daman and Diu,region,21-07-2020,684,2
Dadra and Nagar Haveli and Daman and Diu,region,22-07-2020,705,2
Dadra and Nagar Haveli and Daman and Diu,region,23-07-2020,733,2
Dadra and Nagar Haveli and Daman and Diu,region,24-07-2020,770,2
Dadra and Nagar Haveli and Daman and Diu,region,25-07-2020,815,2
Dadra and Nagar Haveli and Daman and Diu,region,26-07-2020,860,2
Dadra and Nagar Haveli and Daman and Diu,region,27-07-2020,914,2
Dadra and Nagar Haveli and Daman and Diu,region,28-07-2020,946,2
Dadra and Nagar Haveli and Daman and Diu,region,29-07-2020,982,2
Dadra and Nagar Haveli and Daman and Diu,region,30-07-2020,1026,2
Dadra and Nagar Haveli and Daman and Diu,region,31-07-2020,1064,2
Dadra and Nagar Haveli and Daman and Diu,region,01-08-2020,1100,2
Dadra and Nagar Haveli and Daman and Diu,region,02-08-2020,1145,2
Dadra and Nagar Haveli and Daman and Diu,region,03-08-2020,1184,2
Dadra and Nagar Haveli and Daman and Diu,region,04-08-2020,1274,2
Dadra and Nagar Haveli and Daman and Diu,region,05-08-2020,1325,2
Dadra and Nagar Haveli and Daman and Diu,region,06-08-2020,1366,2
