areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Gujarat,region,20-03-2020,2,0
Gujarat,region,21-03-2020,7,0
Gujarat,region,22-03-2020,18,1
Gujarat,region,23-03-2020,29,1
Gujarat,region,24-03-2020,33,1
Gujarat,region,25-03-2020,38,1
Gujarat,region,26-03-2020,43,3
Gujarat,region,27-03-2020,43,3
Gujarat,region,28-03-2020,45,3
Gujarat,region,29-03-2020,53,4
Gujarat,region,30-03-2020,58,5
Gujarat,region,31-03-2020,73,6
Gujarat,region,01-04-2020,82,6
Gujarat,region,02-04-2020,82,6
Gujarat,region,03-04-2020,87,7
Gujarat,region,04-04-2020,95,9
Gujarat,region,05-04-2020,105,10
Gujarat,region,06-04-2020,122,11
Gujarat,region,07-04-2020,144,12
Gujarat,region,08-04-2020,165,13
Gujarat,region,09-04-2020,179,16
Gujarat,region,10-04-2020,241,17
Gujarat,region,11-04-2020,308,19
Gujarat,region,12-04-2020,432,22
Gujarat,region,13-04-2020,516,25
Gujarat,region,14-04-2020,617,26
Gujarat,region,15-04-2020,650,28
Gujarat,region,16-04-2020,766,33
Gujarat,region,17-04-2020,1021,38
Gujarat,region,18-04-2020,1099,41
Gujarat,region,19-04-2020,1376,53
Gujarat,region,20-04-2020,1743,63
Gujarat,region,21-04-2020,1939,71
Gujarat,region,22-04-2020,2178,90
Gujarat,region,23-04-2020,2407,103
Gujarat,region,24-04-2020,2624,112
Gujarat,region,25-04-2020,2815,127
Gujarat,region,26-04-2020,3071,133
Gujarat,region,27-04-2020,3301,151
Gujarat,region,28-04-2020,3548,162
Gujarat,region,29-04-2020,3744,181
Gujarat,region,30-04-2020,4082,197
Gujarat,region,01-05-2020,4395,214
Gujarat,region,02-05-2020,4721,236
Gujarat,region,03-05-2020,5054,262
Gujarat,region,04-05-2020,5428,290
Gujarat,region,05-05-2020,5804,319
Gujarat,region,06-05-2020,6245,368
Gujarat,region,07-05-2020,6625,396
Gujarat,region,08-05-2020,7012,425
Gujarat,region,09-05-2020,7402,449
Gujarat,region,10-05-2020,7796,472
Gujarat,region,11-05-2020,8194,493
Gujarat,region,12-05-2020,8541,513
Gujarat,region,13-05-2020,8903,537
Gujarat,region,14-05-2020,9267,566
Gujarat,region,15-05-2020,9591,586
Gujarat,region,16-05-2020,9931,606
Gujarat,region,17-05-2020,10988,625
Gujarat,region,18-05-2020,11379,659
Gujarat,region,19-05-2020,11745,694
Gujarat,region,20-05-2020,12140,719
Gujarat,region,21-05-2020,12537,749
Gujarat,region,22-05-2020,12905,773
Gujarat,region,23-05-2020,13268,802
Gujarat,region,24-05-2020,13664,829
Gujarat,region,25-05-2020,14056,858
Gujarat,region,26-05-2020,14460,888
Gujarat,region,27-05-2020,14821,915
Gujarat,region,28-05-2020,15195,938
Gujarat,region,29-05-2020,15562,960
Gujarat,region,30-05-2020,15934,980
Gujarat,region,31-05-2020,16343,1007
Gujarat,region,01-06-2020,16779,1038
Gujarat,region,02-06-2020,17200,1063
Gujarat,region,03-06-2020,17617,1092
Gujarat,region,04-06-2020,18100,1122
Gujarat,region,05-06-2020,18584,1155
Gujarat,region,06-06-2020,19094,1190
Gujarat,region,07-06-2020,19592,1219
Gujarat,region,08-06-2020,20070,1249
Gujarat,region,09-06-2020,20545,1280
Gujarat,region,10-06-2020,21014,1313
Gujarat,region,11-06-2020,21521,1347
Gujarat,region,12-06-2020,22032,1385
Gujarat,region,13-06-2020,22527,1415
Gujarat,region,14-06-2020,23038,1448
Gujarat,region,15-06-2020,23544,1477
Gujarat,region,16-06-2020,24055,1505
Gujarat,region,17-06-2020,24577,1533
Gujarat,region,18-06-2020,25093,1560
Gujarat,region,19-06-2020,25601,1591
Gujarat,region,20-06-2020,26141,1618
Gujarat,region,21-06-2020,26680,1638
Gujarat,region,22-06-2020,27260,1663
Gujarat,region,23-06-2020,27825,1684
Gujarat,region,24-06-2020,28371,1710
Gujarat,region,25-06-2020,28943,1735
Gujarat,region,27-06-2020,30095,1771
Gujarat,region,28-06-2020,30709,1789
Gujarat,region,29-06-2020,31320,1808
Gujarat,region,30-06-2020,31938,1827
Gujarat,region,02-07-2020,33232,1867
Gujarat,region,03-07-2020,33913,1886
Gujarat,region,05-07-2020,35312,1925
Gujarat,region,07-07-2020,36772,1960
Gujarat,region,08-07-2020,37550,1977
Gujarat,region,09-07-2020,38333,1993
Gujarat,region,10-07-2020,39194,2008
Gujarat,region,11-07-2020,40069,2022
Gujarat,region,12-07-2020,40941,2032
Gujarat,region,13-07-2020,41820,2045
Gujarat,region,14-07-2020,42722,2055
Gujarat,region,15-07-2020,43637,2069
Gujarat,region,16-07-2020,44552,2079
Gujarat,region,17-07-2020,44552,2079
Gujarat,region,18-07-2020,46430,2106
Gujarat,region,19-07-2020,47390,2122
Gujarat,region,20-07-2020,48355,2142
Gujarat,region,21-07-2020,49353,2162
Gujarat,region,22-07-2020,50379,2196
Gujarat,region,23-07-2020,51399,2224
Gujarat,region,24-07-2020,52477,2252
Gujarat,region,25-07-2020,53545,2278
Gujarat,region,26-07-2020,54626,2300
Gujarat,region,27-07-2020,55822,2326
Gujarat,region,28-07-2020,56874,2348
Gujarat,region,29-07-2020,57982,2372
Gujarat,region,30-07-2020,59126,2396
Gujarat,region,31-07-2020,60285,2418
Gujarat,region,01-08-2020,61438,2441
Gujarat,region,02-08-2020,62463,2464
Gujarat,region,03-08-2020,63562,2486
Gujarat,region,04-08-2020,64585,2508
Gujarat,region,05-08-2020,65599,2533
Gujarat,region,06-08-2020,66669,2556
