areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Haryana,region,04-03-2020,14,0
Haryana,region,05-03-2020,14,0
Haryana,region,06-03-2020,14,0
Haryana,region,07-03-2020,14,0
Haryana,region,08-03-2020,14,0
Haryana,region,09-03-2020,14,0
Haryana,region,10-03-2020,14,0
Haryana,region,11-03-2020,14,0
Haryana,region,12-03-2020,14,0
Haryana,region,13-03-2020,14,0
Haryana,region,14-03-2020,14,0
Haryana,region,15-03-2020,14,0
Haryana,region,16-03-2020,14,0
Haryana,region,17-03-2020,15,0
Haryana,region,18-03-2020,17,0
Haryana,region,19-03-2020,17,0
Haryana,region,20-03-2020,17,0
Haryana,region,21-03-2020,17,0
Haryana,region,22-03-2020,21,0
Haryana,region,23-03-2020,26,0
Haryana,region,24-03-2020,28,0
Haryana,region,25-03-2020,28,0
Haryana,region,26-03-2020,30,0
Haryana,region,27-03-2020,30,0
Haryana,region,28-03-2020,33,0
Haryana,region,29-03-2020,33,0
Haryana,region,30-03-2020,33,0
Haryana,region,31-03-2020,40,0
Haryana,region,01-04-2020,43,0
Haryana,region,02-04-2020,43,0
Haryana,region,03-04-2020,43,0
Haryana,region,04-04-2020,49,0
Haryana,region,05-04-2020,49,0
Haryana,region,06-04-2020,84,1
Haryana,region,07-04-2020,90,1
Haryana,region,08-04-2020,147,3
Haryana,region,09-04-2020,147,3
Haryana,region,10-04-2020,169,3
Haryana,region,11-04-2020,177,3
Haryana,region,12-04-2020,177,3
Haryana,region,13-04-2020,185,3
Haryana,region,14-04-2020,199,3
Haryana,region,15-04-2020,199,3
Haryana,region,16-04-2020,205,3
Haryana,region,17-04-2020,205,3
Haryana,region,18-04-2020,225,3
Haryana,region,19-04-2020,225,3
Haryana,region,20-04-2020,233,3
Haryana,region,21-04-2020,254,3
Haryana,region,22-04-2020,254,3
Haryana,region,23-04-2020,262,3
Haryana,region,24-04-2020,272,3
Haryana,region,25-04-2020,272,3
Haryana,region,26-04-2020,289,3
Haryana,region,27-04-2020,289,3
Haryana,region,28-04-2020,296,3
Haryana,region,29-04-2020,310,3
Haryana,region,30-04-2020,310,3
Haryana,region,01-05-2020,313,3
Haryana,region,02-05-2020,360,4
Haryana,region,03-05-2020,360,4
Haryana,region,04-05-2020,442,5
Haryana,region,05-05-2020,517,6
Haryana,region,06-05-2020,548,6
Haryana,region,07-05-2020,594,7
Haryana,region,08-05-2020,625,7
Haryana,region,09-05-2020,647,8
Haryana,region,10-05-2020,675,9
Haryana,region,11-05-2020,703,10
Haryana,region,12-05-2020,730,11
Haryana,region,13-05-2020,780,11
Haryana,region,14-05-2020,793,11
Haryana,region,15-05-2020,818,11
Haryana,region,16-05-2020,818,11
Haryana,region,17-05-2020,887,13
Haryana,region,18-05-2020,910,14
Haryana,region,19-05-2020,928,14
Haryana,region,20-05-2020,964,14
Haryana,region,21-05-2020,993,14
Haryana,region,22-05-2020,1031,15
Haryana,region,23-05-2020,1067,16
Haryana,region,24-05-2020,1131,16
Haryana,region,25-05-2020,1184,16
Haryana,region,26-05-2020,1184,16
Haryana,region,27-05-2020,1305,17
Haryana,region,28-05-2020,1381,18
Haryana,region,29-05-2020,1504,19
Haryana,region,30-05-2020,1721,19
Haryana,region,31-05-2020,1923,20
Haryana,region,01-06-2020,2091,20
Haryana,region,02-06-2020,2356,21
Haryana,region,03-06-2020,2652,23
Haryana,region,04-06-2020,2954,23
Haryana,region,05-06-2020,3281,24
Haryana,region,06-06-2020,3597,24
Haryana,region,07-06-2020,3952,24
Haryana,region,08-06-2020,4448,28
Haryana,region,09-06-2020,4854,39
Haryana,region,10-06-2020,5209,45
Haryana,region,11-06-2020,5579,52
Haryana,region,12-06-2020,5968,64
Haryana,region,13-06-2020,6334,70
Haryana,region,14-06-2020,6749,78
Haryana,region,15-06-2020,7208,88
Haryana,region,16-06-2020,7722,100
Haryana,region,17-06-2020,8272,118
Haryana,region,18-06-2020,8832,130
Haryana,region,19-06-2020,9218,134
Haryana,region,20-06-2020,9743,144
Haryana,region,21-06-2020,10223,149
Haryana,region,22-06-2020,10635,160
Haryana,region,23-06-2020,11025,169
Haryana,region,24-06-2020,11520,178
Haryana,region,25-06-2020,12010,188
Haryana,region,27-06-2020,12884,211
Haryana,region,28-06-2020,13427,218
Haryana,region,29-06-2020,13829,223
Haryana,region,30-06-2020,14210,232
Haryana,region,02-07-2020,14941,240
Haryana,region,03-07-2020,15509,251
Haryana,region,05-07-2020,16548,260
Haryana,region,07-07-2020,17504,276
Haryana,region,08-07-2020,17999,279
Haryana,region,09-07-2020,18690,282
Haryana,region,10-07-2020,19369,287
Haryana,region,11-07-2020,19934,290
Haryana,region,12-07-2020,20582,297
Haryana,region,13-07-2020,21240,301
Haryana,region,14-07-2020,21894,308
Haryana,region,15-07-2020,22628,312
Haryana,region,16-07-2020,23306,319
Haryana,region,17-07-2020,23306,319
Haryana,region,18-07-2020,24797,327
Haryana,region,19-07-2020,25547,344
Haryana,region,20-07-2020,26164,349
Haryana,region,21-07-2020,26858,355
Haryana,region,22-07-2020,27462,364
Haryana,region,23-07-2020,28186,372
Haryana,region,24-07-2020,28975,378
Haryana,region,25-07-2020,29755,382
Haryana,region,26-07-2020,30538,389
Haryana,region,27-07-2020,31332,392
Haryana,region,28-07-2020,32127,397
Haryana,region,29-07-2020,32876,406
Haryana,region,30-07-2020,33631,413
Haryana,region,31-07-2020,34254,417
Haryana,region,01-08-2020,34965,421
Haryana,region,02-08-2020,35758,428
Haryana,region,03-08-2020,36519,433
Haryana,region,04-08-2020,37173,440
Haryana,region,05-08-2020,37796,448
Haryana,region,06-08-2020,38548,455
