areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Himachal Pradesh,region,21-03-2020,2,0
Himachal Pradesh,region,22-03-2020,2,0
Himachal Pradesh,region,23-03-2020,2,0
Himachal Pradesh,region,24-03-2020,3,1
Himachal Pradesh,region,25-03-2020,3,1
Himachal Pradesh,region,26-03-2020,3,1
Himachal Pradesh,region,27-03-2020,3,1
Himachal Pradesh,region,28-03-2020,3,1
Himachal Pradesh,region,29-03-2020,3,1
Himachal Pradesh,region,30-03-2020,3,1
Himachal Pradesh,region,31-03-2020,3,1
Himachal Pradesh,region,01-04-2020,3,1
Himachal Pradesh,region,02-04-2020,3,1
Himachal Pradesh,region,03-04-2020,6,1
Himachal Pradesh,region,04-04-2020,6,1
Himachal Pradesh,region,05-04-2020,6,1
Himachal Pradesh,region,06-04-2020,13,1
Himachal Pradesh,region,07-04-2020,13,1
Himachal Pradesh,region,08-04-2020,18,1
Himachal Pradesh,region,09-04-2020,18,1
Himachal Pradesh,region,10-04-2020,18,1
Himachal Pradesh,region,11-04-2020,28,1
Himachal Pradesh,region,12-04-2020,32,1
Himachal Pradesh,region,13-04-2020,32,1
Himachal Pradesh,region,14-04-2020,32,1
Himachal Pradesh,region,15-04-2020,33,1
Himachal Pradesh,region,16-04-2020,35,1
Himachal Pradesh,region,17-04-2020,35,1
Himachal Pradesh,region,18-04-2020,36,1
Himachal Pradesh,region,19-04-2020,39,1
Himachal Pradesh,region,20-04-2020,39,1
Himachal Pradesh,region,21-04-2020,39,1
Himachal Pradesh,region,22-04-2020,39,1
Himachal Pradesh,region,23-04-2020,40,1
Himachal Pradesh,region,24-04-2020,40,1
Himachal Pradesh,region,25-04-2020,40,1
Himachal Pradesh,region,26-04-2020,40,1
Himachal Pradesh,region,27-04-2020,40,1
Himachal Pradesh,region,28-04-2020,40,1
Himachal Pradesh,region,29-04-2020,40,1
Himachal Pradesh,region,30-04-2020,40,1
Himachal Pradesh,region,01-05-2020,40,1
Himachal Pradesh,region,02-05-2020,40,1
Himachal Pradesh,region,03-05-2020,40,1
Himachal Pradesh,region,04-05-2020,40,1
Himachal Pradesh,region,05-05-2020,41,1
Himachal Pradesh,region,06-05-2020,42,2
Himachal Pradesh,region,07-05-2020,45,2
Himachal Pradesh,region,08-05-2020,46,2
Himachal Pradesh,region,09-05-2020,50,2
Himachal Pradesh,region,10-05-2020,50,2
Himachal Pradesh,region,11-05-2020,55,2
Himachal Pradesh,region,12-05-2020,59,2
Himachal Pradesh,region,13-05-2020,65,2
Himachal Pradesh,region,14-05-2020,66,2
Himachal Pradesh,region,15-05-2020,74,2
Himachal Pradesh,region,16-05-2020,76,3
Himachal Pradesh,region,17-05-2020,78,3
Himachal Pradesh,region,18-05-2020,80,3
Himachal Pradesh,region,19-05-2020,90,3
Himachal Pradesh,region,20-05-2020,92,3
Himachal Pradesh,region,21-05-2020,110,3
Himachal Pradesh,region,22-05-2020,152,3
Himachal Pradesh,region,23-05-2020,168,3
Himachal Pradesh,region,24-05-2020,185,3
Himachal Pradesh,region,25-05-2020,203,3
Himachal Pradesh,region,26-05-2020,223,5
Himachal Pradesh,region,27-05-2020,247,5
Himachal Pradesh,region,28-05-2020,273,5
Himachal Pradesh,region,29-05-2020,276,5
Himachal Pradesh,region,30-05-2020,295,5
Himachal Pradesh,region,31-05-2020,313,5
Himachal Pradesh,region,01-06-2020,331,5
Himachal Pradesh,region,02-06-2020,340,5
Himachal Pradesh,region,03-06-2020,345,5
Himachal Pradesh,region,04-06-2020,359,5
Himachal Pradesh,region,05-06-2020,383,5
Himachal Pradesh,region,06-06-2020,393,5
Himachal Pradesh,region,07-06-2020,400,5
Himachal Pradesh,region,08-06-2020,413,5
Himachal Pradesh,region,09-06-2020,421,5
Himachal Pradesh,region,10-06-2020,445,5
Himachal Pradesh,region,11-06-2020,451,6
Himachal Pradesh,region,12-06-2020,470,6
Himachal Pradesh,region,13-06-2020,486,6
Himachal Pradesh,region,14-06-2020,502,6
Himachal Pradesh,region,15-06-2020,518,7
Himachal Pradesh,region,16-06-2020,556,8
Himachal Pradesh,region,17-06-2020,560,8
Himachal Pradesh,region,18-06-2020,569,8
Himachal Pradesh,region,19-06-2020,595,8
Himachal Pradesh,region,20-06-2020,619,8
Himachal Pradesh,region,21-06-2020,656,8
Himachal Pradesh,region,22-06-2020,673,8
Himachal Pradesh,region,23-06-2020,727,8
Himachal Pradesh,region,24-06-2020,775,8
Himachal Pradesh,region,25-06-2020,806,8
Himachal Pradesh,region,27-06-2020,864,9
Himachal Pradesh,region,28-06-2020,894,9
Himachal Pradesh,region,29-06-2020,916,9
Himachal Pradesh,region,30-06-2020,942,9
Himachal Pradesh,region,02-07-2020,979,10
Himachal Pradesh,region,03-07-2020,1014,10
Himachal Pradesh,region,05-07-2020,1046,11
Himachal Pradesh,region,07-07-2020,1077,11
Himachal Pradesh,region,08-07-2020,1083,11
Himachal Pradesh,region,09-07-2020,1101,11
Himachal Pradesh,region,10-07-2020,1140,11
Himachal Pradesh,region,11-07-2020,1171,11
Himachal Pradesh,region,12-07-2020,1182,11
Himachal Pradesh,region,13-07-2020,1213,11
Himachal Pradesh,region,14-07-2020,1243,11
Himachal Pradesh,region,15-07-2020,1309,11
Himachal Pradesh,region,16-07-2020,1341,11
Himachal Pradesh,region,17-07-2020,1341,11
Himachal Pradesh,region,18-07-2020,1417,11
Himachal Pradesh,region,19-07-2020,1457,11
Himachal Pradesh,region,20-07-2020,1483,11
Himachal Pradesh,region,21-07-2020,1631,11
Himachal Pradesh,region,22-07-2020,1664,11
Himachal Pradesh,region,23-07-2020,1725,11
Himachal Pradesh,region,24-07-2020,1834,11
Himachal Pradesh,region,25-07-2020,1954,11
Himachal Pradesh,region,26-07-2020,2049,11
Himachal Pradesh,region,27-07-2020,2176,12
Himachal Pradesh,region,28-07-2020,2270,14
Himachal Pradesh,region,29-07-2020,2330,14
Himachal Pradesh,region,30-07-2020,2403,14
Himachal Pradesh,region,31-07-2020,2506,14
Himachal Pradesh,region,01-08-2020,2564,14
Himachal Pradesh,region,02-08-2020,2634,14
Himachal Pradesh,region,03-08-2020,2703,14
Himachal Pradesh,region,04-08-2020,2818,14
Himachal Pradesh,region,05-08-2020,2879,14
Himachal Pradesh,region,06-08-2020,2916,14
