areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Jammu and Kashmir,region,21-03-2020,4,0
Jammu and Kashmir,region,22-03-2020,4,0
Jammu and Kashmir,region,23-03-2020,4,0
Jammu and Kashmir,region,24-03-2020,4,0
Jammu and Kashmir,region,25-03-2020,7,0
Jammu and Kashmir,region,26-03-2020,13,1
Jammu and Kashmir,region,27-03-2020,13,1
Jammu and Kashmir,region,28-03-2020,20,1
Jammu and Kashmir,region,29-03-2020,31,1
Jammu and Kashmir,region,30-03-2020,31,2
Jammu and Kashmir,region,31-03-2020,54,2
Jammu and Kashmir,region,01-04-2020,62,2
Jammu and Kashmir,region,02-04-2020,62,2
Jammu and Kashmir,region,03-04-2020,70,2
Jammu and Kashmir,region,04-04-2020,75,2
Jammu and Kashmir,region,05-04-2020,92,2
Jammu and Kashmir,region,06-04-2020,106,2
Jammu and Kashmir,region,07-04-2020,109,2
Jammu and Kashmir,region,08-04-2020,116,2
Jammu and Kashmir,region,09-04-2020,158,4
Jammu and Kashmir,region,10-04-2020,158,4
Jammu and Kashmir,region,11-04-2020,207,4
Jammu and Kashmir,region,12-04-2020,207,4
Jammu and Kashmir,region,13-04-2020,245,4
Jammu and Kashmir,region,14-04-2020,270,4
Jammu and Kashmir,region,15-04-2020,278,4
Jammu and Kashmir,region,16-04-2020,300,4
Jammu and Kashmir,region,17-04-2020,314,4
Jammu and Kashmir,region,18-04-2020,328,5
Jammu and Kashmir,region,19-04-2020,341,5
Jammu and Kashmir,region,20-04-2020,350,5
Jammu and Kashmir,region,21-04-2020,368,5
Jammu and Kashmir,region,22-04-2020,380,5
Jammu and Kashmir,region,23-04-2020,407,5
Jammu and Kashmir,region,24-04-2020,427,5
Jammu and Kashmir,region,25-04-2020,454,5
Jammu and Kashmir,region,26-04-2020,494,6
Jammu and Kashmir,region,27-04-2020,523,6
Jammu and Kashmir,region,28-04-2020,546,7
Jammu and Kashmir,region,29-04-2020,565,8
Jammu and Kashmir,region,30-04-2020,581,8
Jammu and Kashmir,region,01-05-2020,614,8
Jammu and Kashmir,region,02-05-2020,639,8
Jammu and Kashmir,region,03-05-2020,666,8
Jammu and Kashmir,region,04-05-2020,701,8
Jammu and Kashmir,region,05-05-2020,726,8
Jammu and Kashmir,region,06-05-2020,741,8
Jammu and Kashmir,region,07-05-2020,775,8
Jammu and Kashmir,region,08-05-2020,793,9
Jammu and Kashmir,region,09-05-2020,823,9
Jammu and Kashmir,region,10-05-2020,836,9
Jammu and Kashmir,region,11-05-2020,861,9
Jammu and Kashmir,region,12-05-2020,879,10
Jammu and Kashmir,region,13-05-2020,934,10
Jammu and Kashmir,region,14-05-2020,971,11
Jammu and Kashmir,region,15-05-2020,983,11
Jammu and Kashmir,region,16-05-2020,1013,11
Jammu and Kashmir,region,17-05-2020,1121,12
Jammu and Kashmir,region,18-05-2020,1183,13
Jammu and Kashmir,region,19-05-2020,1289,15
Jammu and Kashmir,region,20-05-2020,1317,17
Jammu and Kashmir,region,21-05-2020,1390,18
Jammu and Kashmir,region,22-05-2020,1449,20
Jammu and Kashmir,region,23-05-2020,1489,20
Jammu and Kashmir,region,24-05-2020,1569,21
Jammu and Kashmir,region,25-05-2020,1621,21
Jammu and Kashmir,region,26-05-2020,1668,23
Jammu and Kashmir,region,27-05-2020,1759,24
Jammu and Kashmir,region,28-05-2020,1921,26
