areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Jharkhand,region,01-04-2020,1,0
Jharkhand,region,02-04-2020,1,0
Jharkhand,region,03-04-2020,2,0
Jharkhand,region,04-04-2020,2,0
Jharkhand,region,05-04-2020,2,0
Jharkhand,region,06-04-2020,3,0
Jharkhand,region,07-04-2020,4,0
Jharkhand,region,08-04-2020,4,0
Jharkhand,region,09-04-2020,4,0
Jharkhand,region,10-04-2020,13,1
Jharkhand,region,11-04-2020,14,1
Jharkhand,region,12-04-2020,17,1
Jharkhand,region,13-04-2020,19,2
Jharkhand,region,14-04-2020,24,2
Jharkhand,region,15-04-2020,27,2
Jharkhand,region,16-04-2020,28,2
Jharkhand,region,17-04-2020,29,2
Jharkhand,region,18-04-2020,33,2
Jharkhand,region,19-04-2020,34,2
Jharkhand,region,20-04-2020,42,2
Jharkhand,region,21-04-2020,46,2
Jharkhand,region,22-04-2020,45,3
Jharkhand,region,23-04-2020,49,3
Jharkhand,region,24-04-2020,53,3
Jharkhand,region,25-04-2020,57,3
Jharkhand,region,26-04-2020,67,3
Jharkhand,region,27-04-2020,82,3
Jharkhand,region,28-04-2020,82,3
Jharkhand,region,29-04-2020,103,3
Jharkhand,region,30-04-2020,107,3
Jharkhand,region,01-05-2020,109,3
Jharkhand,region,02-05-2020,111,3
Jharkhand,region,03-05-2020,115,3
Jharkhand,region,04-05-2020,115,3
Jharkhand,region,05-05-2020,115,3
Jharkhand,region,06-05-2020,125,3
Jharkhand,region,07-05-2020,127,3
Jharkhand,region,08-05-2020,132,3
Jharkhand,region,09-05-2020,132,3
Jharkhand,region,10-05-2020,156,3
Jharkhand,region,11-05-2020,157,3
Jharkhand,region,12-05-2020,160,3
Jharkhand,region,13-05-2020,172,3
Jharkhand,region,14-05-2020,173,3
Jharkhand,region,15-05-2020,197,3
Jharkhand,region,16-05-2020,203,3
Jharkhand,region,17-05-2020,217,3
Jharkhand,region,18-05-2020,223,3
Jharkhand,region,19-05-2020,223,3
Jharkhand,region,20-05-2020,231,3
Jharkhand,region,21-05-2020,231,3
Jharkhand,region,22-05-2020,290,3
Jharkhand,region,23-05-2020,308,3
Jharkhand,region,24-05-2020,350,4
Jharkhand,region,25-05-2020,370,4
Jharkhand,region,26-05-2020,377,4
Jharkhand,region,27-05-2020,426,4
Jharkhand,region,28-05-2020,448,4
Jharkhand,region,29-05-2020,469,4
Jharkhand,region,30-05-2020,511,5
Jharkhand,region,31-05-2020,563,5
Jharkhand,region,01-06-2020,610,5
Jharkhand,region,02-06-2020,659,5
Jharkhand,region,03-06-2020,712,5
Jharkhand,region,04-06-2020,752,5
Jharkhand,region,05-06-2020,793,6
Jharkhand,region,06-06-2020,881,7
Jharkhand,region,07-06-2020,1000,7
Jharkhand,region,08-06-2020,1099,7
Jharkhand,region,09-06-2020,1256,7
Jharkhand,region,10-06-2020,1411,8
Jharkhand,region,11-06-2020,1489,8
Jharkhand,region,12-06-2020,1599,8
Jharkhand,region,13-06-2020,1617,8
Jharkhand,region,14-06-2020,1711,8
Jharkhand,region,15-06-2020,1745,8
Jharkhand,region,16-06-2020,1763,8
Jharkhand,region,17-06-2020,1839,9
Jharkhand,region,18-06-2020,1895,10
Jharkhand,region,19-06-2020,1920,11
Jharkhand,region,20-06-2020,1965,11
Jharkhand,region,21-06-2020,1965,11
Jharkhand,region,22-06-2020,2073,11
Jharkhand,region,23-06-2020,2137,11
Jharkhand,region,24-06-2020,2185,11
Jharkhand,region,25-06-2020,2207,11
Jharkhand,region,27-06-2020,2290,12
Jharkhand,region,28-06-2020,2339,12
Jharkhand,region,29-06-2020,2364,12
Jharkhand,region,30-06-2020,2426,15
Jharkhand,region,02-07-2020,2521,15
Jharkhand,region,03-07-2020,2584,15
Jharkhand,region,05-07-2020,2739,17
Jharkhand,region,07-07-2020,2847,20
Jharkhand,region,08-07-2020,2996,22
Jharkhand,region,09-07-2020,3096,22
Jharkhand,region,10-07-2020,3246,23
Jharkhand,region,11-07-2020,3419,23
Jharkhand,region,12-07-2020,3613,23
Jharkhand,region,13-07-2020,3756,30
Jharkhand,region,14-07-2020,3898,33
Jharkhand,region,15-07-2020,4091,36
Jharkhand,region,16-07-2020,4320,38
Jharkhand,region,17-07-2020,4320,38
Jharkhand,region,18-07-2020,4921,46
Jharkhand,region,19-07-2020,5342,46
Jharkhand,region,20-07-2020,5535,49
Jharkhand,region,21-07-2020,5756,53
Jharkhand,region,22-07-2020,6159,55
Jharkhand,region,23-07-2020,6485,64
Jharkhand,region,24-07-2020,6975,67
Jharkhand,region,25-07-2020,7493,70
Jharkhand,region,26-07-2020,7836,82
Jharkhand,region,27-07-2020,8275,85
Jharkhand,region,28-07-2020,8683,89
Jharkhand,region,29-07-2020,9078,89
Jharkhand,region,30-07-2020,9861,98
Jharkhand,region,31-07-2020,10167,103
Jharkhand,region,01-08-2020,10958,106
Jharkhand,region,02-08-2020,11686,113
Jharkhand,region,03-08-2020,12523,118
Jharkhand,region,04-08-2020,13478,125
Jharkhand,region,05-08-2020,13940,128
Jharkhand,region,06-08-2020,14888,136
