areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Karnataka,region,09-03-2020,1,0
Karnataka,region,10-03-2020,4,0
Karnataka,region,11-03-2020,4,0
Karnataka,region,12-03-2020,4,1
Karnataka,region,13-03-2020,5,1
Karnataka,region,14-03-2020,6,1
Karnataka,region,15-03-2020,6,1
Karnataka,region,16-03-2020,6,1
Karnataka,region,17-03-2020,11,1
Karnataka,region,18-03-2020,11,1
Karnataka,region,19-03-2020,14,1
Karnataka,region,20-03-2020,15,1
Karnataka,region,21-03-2020,15,1
Karnataka,region,22-03-2020,26,1
Karnataka,region,23-03-2020,33,1
Karnataka,region,24-03-2020,37,1
Karnataka,region,25-03-2020,41,1
Karnataka,region,26-03-2020,55,2
Karnataka,region,27-03-2020,55,2
Karnataka,region,28-03-2020,55,2
Karnataka,region,29-03-2020,76,3
Karnataka,region,30-03-2020,80,3
Karnataka,region,31-03-2020,83,3
Karnataka,region,01-04-2020,101,3
Karnataka,region,02-04-2020,110,3
Karnataka,region,03-04-2020,124,3
Karnataka,region,04-04-2020,128,3
Karnataka,region,05-04-2020,144,4
Karnataka,region,06-04-2020,151,4
Karnataka,region,07-04-2020,151,4
Karnataka,region,08-04-2020,175,4
Karnataka,region,09-04-2020,181,5
Karnataka,region,10-04-2020,181,5
Karnataka,region,11-04-2020,207,6
Karnataka,region,12-04-2020,214,6
Karnataka,region,13-04-2020,232,6
Karnataka,region,14-04-2020,258,9
Karnataka,region,15-04-2020,260,10
Karnataka,region,16-04-2020,279,12
Karnataka,region,17-04-2020,353,13
Karnataka,region,18-04-2020,359,13
Karnataka,region,19-04-2020,384,14
Karnataka,region,20-04-2020,390,16
Karnataka,region,21-04-2020,408,16
Karnataka,region,22-04-2020,418,17
Karnataka,region,23-04-2020,427,17
Karnataka,region,24-04-2020,445,17
Karnataka,region,25-04-2020,474,18
Karnataka,region,26-04-2020,500,18
Karnataka,region,27-04-2020,503,19
Karnataka,region,28-04-2020,512,20
Karnataka,region,29-04-2020,523,20
Karnataka,region,30-04-2020,535,21
Karnataka,region,01-05-2020,565,21
Karnataka,region,02-05-2020,589,22
Karnataka,region,03-05-2020,601,25
Karnataka,region,04-05-2020,614,25
Karnataka,region,05-05-2020,651,27
Karnataka,region,06-05-2020,671,29
Karnataka,region,07-05-2020,693,29
Karnataka,region,08-05-2020,705,30
Karnataka,region,09-05-2020,753,30
Karnataka,region,10-05-2020,794,30
Karnataka,region,11-05-2020,848,31
Karnataka,region,12-05-2020,862,31
Karnataka,region,13-05-2020,925,31
Karnataka,region,14-05-2020,959,33
Karnataka,region,15-05-2020,987,35
Karnataka,region,16-05-2020,1056,36
Karnataka,region,17-05-2020,1092,36
Karnataka,region,18-05-2020,1147,37
Karnataka,region,19-05-2020,1246,37
Karnataka,region,20-05-2020,1397,40
Karnataka,region,21-05-2020,1462,41
Karnataka,region,22-05-2020,1605,41
Karnataka,region,23-05-2020,1743,41
Karnataka,region,24-05-2020,1959,42
Karnataka,region,25-05-2020,2089,42
Karnataka,region,26-05-2020,2182,44
Karnataka,region,27-05-2020,2283,44
Karnataka,region,28-05-2020,2418,47
Karnataka,region,29-05-2020,2533,47
Karnataka,region,30-05-2020,2781,48
Karnataka,region,31-05-2020,2922,48
Karnataka,region,01-06-2020,3221,51
Karnataka,region,02-06-2020,3408,52
Karnataka,region,03-06-2020,3796,52
Karnataka,region,04-06-2020,4063,53
Karnataka,region,05-06-2020,4320,57
Karnataka,region,06-06-2020,4835,57
Karnataka,region,07-06-2020,5213,59
Karnataka,region,08-06-2020,5452,61
Karnataka,region,09-06-2020,5760,64
Karnataka,region,10-06-2020,5921,66
Karnataka,region,11-06-2020,6041,69
Karnataka,region,12-06-2020,6245,72
Karnataka,region,13-06-2020,6516,79
Karnataka,region,14-06-2020,6824,81
Karnataka,region,15-06-2020,7000,86
Karnataka,region,16-06-2020,7213,89
Karnataka,region,17-06-2020,7530,94
Karnataka,region,18-06-2020,7734,102
Karnataka,region,19-06-2020,7944,114
Karnataka,region,20-06-2020,8281,124
Karnataka,region,21-06-2020,8697,132
Karnataka,region,22-06-2020,9150,137
Karnataka,region,23-06-2020,9399,142
Karnataka,region,24-06-2020,9721,150
Karnataka,region,25-06-2020,10118,164
Karnataka,region,27-06-2020,11005,180
Karnataka,region,28-06-2020,11923,191
Karnataka,region,29-06-2020,13190,207
Karnataka,region,30-06-2020,14295,226
Karnataka,region,02-07-2020,16514,253
Karnataka,region,03-07-2020,18016,272
