areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Kerala,region,30-01-2020,1,0
Kerala,region,31-01-2020,1,0
Kerala,region,01-02-2020,2,0
Kerala,region,02-02-2020,3,0
Kerala,region,03-02-2020,3,0
Kerala,region,04-02-2020,3,0
Kerala,region,05-02-2020,3,0
Kerala,region,06-02-2020,3,0
Kerala,region,07-02-2020,3,0
Kerala,region,08-02-2020,3,0
Kerala,region,09-02-2020,3,0
Kerala,region,10-02-2020,3,0
Kerala,region,11-02-2020,3,0
Kerala,region,12-02-2020,3,0
Kerala,region,13-02-2020,3,0
Kerala,region,14-02-2020,3,0
Kerala,region,15-02-2020,3,0
Kerala,region,16-02-2020,3,0
Kerala,region,17-02-2020,3,0
Kerala,region,18-02-2020,3,0
Kerala,region,19-02-2020,3,0
Kerala,region,20-02-2020,3,0
Kerala,region,21-02-2020,3,0
Kerala,region,22-02-2020,3,0
Kerala,region,23-02-2020,3,0
Kerala,region,24-02-2020,3,0
Kerala,region,25-02-2020,3,0
Kerala,region,26-02-2020,3,0
Kerala,region,27-02-2020,3,0
Kerala,region,28-02-2020,3,0
Kerala,region,29-02-2020,3,0
Kerala,region,01-03-2020,3,0
Kerala,region,02-03-2020,3,0
Kerala,region,03-03-2020,3,0
Kerala,region,04-03-2020,3,0
Kerala,region,05-03-2020,3,0
Kerala,region,06-03-2020,3,0
Kerala,region,07-03-2020,3,0
Kerala,region,08-03-2020,8,0
Kerala,region,09-03-2020,9,0
Kerala,region,10-03-2020,15,0
Kerala,region,11-03-2020,17,0
Kerala,region,12-03-2020,17,0
Kerala,region,13-03-2020,17,0
Kerala,region,14-03-2020,19,0
Kerala,region,15-03-2020,23,0
Kerala,region,16-03-2020,23,0
Kerala,region,17-03-2020,26,0
Kerala,region,18-03-2020,27,0
Kerala,region,19-03-2020,27,0
Kerala,region,20-03-2020,28,0
Kerala,region,21-03-2020,40,0
Kerala,region,22-03-2020,52,0
Kerala,region,23-03-2020,67,0
Kerala,region,24-03-2020,95,0
Kerala,region,25-03-2020,109,0
Kerala,region,26-03-2020,118,0
Kerala,region,27-03-2020,137,0
Kerala,region,28-03-2020,176,0
Kerala,region,29-03-2020,182,1
Kerala,region,30-03-2020,194,1
Kerala,region,31-03-2020,234,1
Kerala,region,01-04-2020,241,2
Kerala,region,02-04-2020,265,2
Kerala,region,03-04-2020,286,2
Kerala,region,04-04-2020,295,2
Kerala,region,05-04-2020,306,2
Kerala,region,06-04-2020,314,2
Kerala,region,07-04-2020,327,2
Kerala,region,08-04-2020,336,2
Kerala,region,09-04-2020,345,2
Kerala,region,10-04-2020,357,2
Kerala,region,11-04-2020,364,2
Kerala,region,12-04-2020,364,2
Kerala,region,13-04-2020,376,2
Kerala,region,14-04-2020,379,3
Kerala,region,15-04-2020,387,3
Kerala,region,16-04-2020,388,3
Kerala,region,17-04-2020,395,3
Kerala,region,18-04-2020,396,3
Kerala,region,19-04-2020,400,3
Kerala,region,20-04-2020,402,3
Kerala,region,21-04-2020,408,3
Kerala,region,22-04-2020,427,3
Kerala,region,23-04-2020,438,3
Kerala,region,24-04-2020,447,3
Kerala,region,25-04-2020,450,3
Kerala,region,26-04-2020,457,4
Kerala,region,27-04-2020,458,4
Kerala,region,28-04-2020,481,4
Kerala,region,29-04-2020,485,4
Kerala,region,30-04-2020,495,4
Kerala,region,01-05-2020,497,4
Kerala,region,02-05-2020,497,4
Kerala,region,03-05-2020,499,4
Kerala,region,04-05-2020,500,4
Kerala,region,05-05-2020,500,4
Kerala,region,06-05-2020,502,4
Kerala,region,07-05-2020,503,4
Kerala,region,08-05-2020,503,4
Kerala,region,09-05-2020,503,4
Kerala,region,10-05-2020,505,4
Kerala,region,11-05-2020,512,4
Kerala,region,12-05-2020,519,4
Kerala,region,13-05-2020,524,4
Kerala,region,14-05-2020,534,4
Kerala,region,15-05-2020,560,4
Kerala,region,16-05-2020,576,4
Kerala,region,17-05-2020,587,4
Kerala,region,18-05-2020,601,4
Kerala,region,19-05-2020,630,4
Kerala,region,20-05-2020,642,4
Kerala,region,21-05-2020,666,4
Kerala,region,22-05-2020,690,4
Kerala,region,23-05-2020,732,4
Kerala,region,24-05-2020,795,4
Kerala,region,25-05-2020,847,4
Kerala,region,26-05-2020,896,5
Kerala,region,27-05-2020,963,6
Kerala,region,28-05-2020,1004,7
Kerala,region,29-05-2020,1088,7
Kerala,region,30-05-2020,1150,8
Kerala,region,31-05-2020,1208,9
Kerala,region,01-06-2020,1269,9
Kerala,region,02-06-2020,1326,10
Kerala,region,03-06-2020,1412,11
Kerala,region,04-06-2020,1494,11
Kerala,region,05-06-2020,1588,14
Kerala,region,06-06-2020,1699,14
Kerala,region,07-06-2020,1807,15
Kerala,region,08-06-2020,1914,15
Kerala,region,09-06-2020,2005,16
Kerala,region,10-06-2020,2096,16
Kerala,region,11-06-2020,2161,18
Kerala,region,12-06-2020,2244,18
Kerala,region,13-06-2020,2322,19
Kerala,region,14-06-2020,2407,19
Kerala,region,15-06-2020,2461,19
Kerala,region,16-06-2020,2543,20
Kerala,region,17-06-2020,2622,20
Kerala,region,18-06-2020,2697,20
Kerala,region,19-06-2020,2794,21
Kerala,region,20-06-2020,2912,21
Kerala,region,21-06-2020,3039,21
Kerala,region,22-06-2020,3172,21
Kerala,region,23-06-2020,3310,21
Kerala,region,24-06-2020,3451,22
Kerala,region,25-06-2020,3603,22
Kerala,region,27-06-2020,3876,22
Kerala,region,28-06-2020,4071,22
Kerala,region,29-06-2020,4189,22
Kerala,region,30-06-2020,4189,22
Kerala,region,02-07-2020,4593,24
Kerala,region,03-07-2020,4753,25
Kerala,region,05-07-2020,5204,25
Kerala,region,07-07-2020,5622,27
Kerala,region,08-07-2020,5894,27
Kerala,region,09-07-2020,6195,27
Kerala,region,10-07-2020,6534,27
Kerala,region,11-07-2020,6950,27
Kerala,region,12-07-2020,7438,29
Kerala,region,13-07-2020,7873,31
Kerala,region,14-07-2020,8322,33
Kerala,region,15-07-2020,8930,34
Kerala,region,16-07-2020,9553,35
Kerala,region,17-07-2020,9553,35
Kerala,region,18-07-2020,11066,38
Kerala,region,19-07-2020,11659,40
Kerala,region,20-07-2020,12480,42
Kerala,region,21-07-2020,13274,43
Kerala,region,22-07-2020,13994,44
Kerala,region,23-07-2020,15032,45
Kerala,region,24-07-2020,16110,50
Kerala,region,25-07-2020,16995,54
Kerala,region,26-07-2020,18098,59
Kerala,region,27-07-2020,19025,61
Kerala,region,28-07-2020,19727,63
Kerala,region,29-07-2020,20894,67
Kerala,region,30-07-2020,21797,68
Kerala,region,31-07-2020,22303,70
Kerala,region,01-08-2020,23613,73
Kerala,region,02-08-2020,24742,81
Kerala,region,03-08-2020,25911,82
Kerala,region,04-08-2020,26873,84
Kerala,region,05-08-2020,27956,87
Kerala,region,06-08-2020,29151,94
