areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Ladakh,region,21-03-2020,13,0
Ladakh,region,22-03-2020,13,0
Ladakh,region,23-03-2020,13,0
Ladakh,region,24-03-2020,13,0
Ladakh,region,25-03-2020,13,0
Ladakh,region,26-03-2020,13,0
Ladakh,region,27-03-2020,13,0
Ladakh,region,28-03-2020,13,0
Ladakh,region,29-03-2020,13,0
Ladakh,region,30-03-2020,13,0
Ladakh,region,31-03-2020,13,0
Ladakh,region,01-04-2020,13,0
Ladakh,region,02-04-2020,13,0
Ladakh,region,03-04-2020,14,0
Ladakh,region,04-04-2020,14,0
Ladakh,region,05-04-2020,14,0
Ladakh,region,06-04-2020,14,0
Ladakh,region,07-04-2020,14,0
Ladakh,region,08-04-2020,14,0
Ladakh,region,09-04-2020,14,0
Ladakh,region,10-04-2020,15,0
Ladakh,region,11-04-2020,15,0
Ladakh,region,12-04-2020,15,0
Ladakh,region,13-04-2020,15,0
Ladakh,region,14-04-2020,15,0
Ladakh,region,15-04-2020,17,0
Ladakh,region,16-04-2020,17,0
Ladakh,region,17-04-2020,18,0
Ladakh,region,18-04-2020,18,0
Ladakh,region,19-04-2020,18,0
Ladakh,region,20-04-2020,18,0
Ladakh,region,21-04-2020,18,0
Ladakh,region,22-04-2020,18,0
Ladakh,region,23-04-2020,18,0
Ladakh,region,24-04-2020,18,0
Ladakh,region,25-04-2020,20,0
Ladakh,region,26-04-2020,20,0
Ladakh,region,27-04-2020,20,0
Ladakh,region,28-04-2020,20,0
Ladakh,region,29-04-2020,22,0
Ladakh,region,30-04-2020,22,0
Ladakh,region,01-05-2020,22,0
Ladakh,region,02-05-2020,22,0
Ladakh,region,03-05-2020,22,0
Ladakh,region,04-05-2020,41,0
Ladakh,region,05-05-2020,41,0
Ladakh,region,06-05-2020,41,0
Ladakh,region,07-05-2020,41,0
Ladakh,region,08-05-2020,42,0
Ladakh,region,09-05-2020,42,0
Ladakh,region,10-05-2020,42,0
Ladakh,region,11-05-2020,42,0
Ladakh,region,12-05-2020,42,0
Ladakh,region,13-05-2020,42,0
Ladakh,region,14-05-2020,43,0
Ladakh,region,15-05-2020,43,0
Ladakh,region,16-05-2020,43,0
Ladakh,region,17-05-2020,43,0
Ladakh,region,18-05-2020,43,0
Ladakh,region,19-05-2020,43,0
Ladakh,region,20-05-2020,43,0
Ladakh,region,21-05-2020,44,0
Ladakh,region,22-05-2020,44,0
Ladakh,region,23-05-2020,44,0
Ladakh,region,24-05-2020,49,0
Ladakh,region,25-05-2020,52,0
Ladakh,region,26-05-2020,52,0
Ladakh,region,27-05-2020,53,0
Ladakh,region,28-05-2020,53,0
Ladakh,region,29-05-2020,73,0
Ladakh,region,30-05-2020,74,0
Ladakh,region,31-05-2020,74,0
Ladakh,region,01-06-2020,74,0
Ladakh,region,02-06-2020,77,0
Ladakh,region,03-06-2020,81,1
Ladakh,region,04-06-2020,90,1
Ladakh,region,05-06-2020,90,1
Ladakh,region,06-06-2020,97,1
Ladakh,region,07-06-2020,99,1
Ladakh,region,08-06-2020,103,1
Ladakh,region,09-06-2020,103,1
Ladakh,region,10-06-2020,108,1
Ladakh,region,11-06-2020,115,1
Ladakh,region,12-06-2020,135,1
Ladakh,region,13-06-2020,239,1
Ladakh,region,14-06-2020,437,1
Ladakh,region,15-06-2020,549,1
Ladakh,region,16-06-2020,555,1
Ladakh,region,17-06-2020,649,1
Ladakh,region,18-06-2020,687,1
Ladakh,region,19-06-2020,687,1
Ladakh,region,20-06-2020,744,1
Ladakh,region,21-06-2020,836,1
Ladakh,region,22-06-2020,837,1
Ladakh,region,23-06-2020,847,1
Ladakh,region,24-06-2020,932,1
Ladakh,region,25-06-2020,941,1
Ladakh,region,27-06-2020,946,1
Ladakh,region,28-06-2020,960,1
Ladakh,region,29-06-2020,963,1
Ladakh,region,30-06-2020,964,1
Ladakh,region,02-07-2020,990,1
Ladakh,region,03-07-2020,990,1
Ladakh,region,05-07-2020,1005,1
Ladakh,region,07-07-2020,1005,1
Ladakh,region,08-07-2020,1041,1
Ladakh,region,09-07-2020,1041,1
Ladakh,region,10-07-2020,1055,1
Ladakh,region,11-07-2020,1064,1
Ladakh,region,12-07-2020,1077,1
Ladakh,region,13-07-2020,1086,1
Ladakh,region,14-07-2020,1093,1
Ladakh,region,15-07-2020,1093,1
Ladakh,region,16-07-2020,1142,1
Ladakh,region,17-07-2020,1142,1
Ladakh,region,18-07-2020,1151,1
Ladakh,region,19-07-2020,1159,1
Ladakh,region,20-07-2020,1178,2
Ladakh,region,21-07-2020,1195,2
Ladakh,region,22-07-2020,1198,2
Ladakh,region,23-07-2020,1206,2
Ladakh,region,24-07-2020,1210,2
Ladakh,region,25-07-2020,1246,2
Ladakh,region,26-07-2020,1276,3
Ladakh,region,27-07-2020,1285,4
Ladakh,region,28-07-2020,1306,4
Ladakh,region,29-07-2020,1327,6
Ladakh,region,30-07-2020,1347,6
Ladakh,region,31-07-2020,1378,7
Ladakh,region,01-08-2020,1404,7
Ladakh,region,02-08-2020,1462,7
Ladakh,region,03-08-2020,1466,7
Ladakh,region,04-08-2020,1485,7
Ladakh,region,05-08-2020,1534,7
Ladakh,region,06-08-2020,1592,7
