areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Madhya Pradesh,region,21-03-2020,4,0
Madhya Pradesh,region,22-03-2020,4,0
Madhya Pradesh,region,23-03-2020,6,0
Madhya Pradesh,region,24-03-2020,7,0
Madhya Pradesh,region,25-03-2020,14,0
Madhya Pradesh,region,26-03-2020,20,1
Madhya Pradesh,region,27-03-2020,20,1
Madhya Pradesh,region,28-03-2020,30,2
Madhya Pradesh,region,29-03-2020,30,2
Madhya Pradesh,region,30-03-2020,33,2
Madhya Pradesh,region,31-03-2020,47,3
Madhya Pradesh,region,01-04-2020,66,3
Madhya Pradesh,region,02-04-2020,99,6
Madhya Pradesh,region,03-04-2020,99,6
Madhya Pradesh,region,04-04-2020,104,6
Madhya Pradesh,region,05-04-2020,104,6
Madhya Pradesh,region,06-04-2020,165,9
Madhya Pradesh,region,07-04-2020,165,9
Madhya Pradesh,region,08-04-2020,229,13
Madhya Pradesh,region,09-04-2020,229,13
Madhya Pradesh,region,10-04-2020,259,16
Madhya Pradesh,region,11-04-2020,435,33
Madhya Pradesh,region,12-04-2020,532,36
Madhya Pradesh,region,13-04-2020,564,36
Madhya Pradesh,region,14-04-2020,730,50
Madhya Pradesh,region,15-04-2020,730,50
Madhya Pradesh,region,16-04-2020,987,53
Madhya Pradesh,region,17-04-2020,1308,57
Madhya Pradesh,region,18-04-2020,1310,69
Madhya Pradesh,region,19-04-2020,1407,70
Madhya Pradesh,region,20-04-2020,1407,70
Madhya Pradesh,region,21-04-2020,1485,74
Madhya Pradesh,region,22-04-2020,1552,76
Madhya Pradesh,region,23-04-2020,1592,80
Madhya Pradesh,region,24-04-2020,1699,83
Madhya Pradesh,region,25-04-2020,1852,92
Madhya Pradesh,region,26-04-2020,2096,99
Madhya Pradesh,region,27-04-2020,2096,103
Madhya Pradesh,region,28-04-2020,2168,110
Madhya Pradesh,region,29-04-2020,2387,120
Madhya Pradesh,region,30-04-2020,2561,129
Madhya Pradesh,region,01-05-2020,2660,137
Madhya Pradesh,region,02-05-2020,2719,145
Madhya Pradesh,region,03-05-2020,2846,151
Madhya Pradesh,region,04-05-2020,2846,156
Madhya Pradesh,region,05-05-2020,2942,165
Madhya Pradesh,region,06-05-2020,3049,176
Madhya Pradesh,region,07-05-2020,3138,185
Madhya Pradesh,region,08-05-2020,3252,193
Madhya Pradesh,region,09-05-2020,3341,200
Madhya Pradesh,region,10-05-2020,3614,215
Madhya Pradesh,region,11-05-2020,3614,215
Madhya Pradesh,region,12-05-2020,3785,221
Madhya Pradesh,region,13-05-2020,3986,225
Madhya Pradesh,region,14-05-2020,4173,232
Madhya Pradesh,region,15-05-2020,4426,237
Madhya Pradesh,region,16-05-2020,4595,239
Madhya Pradesh,region,17-05-2020,4789,243
Madhya Pradesh,region,18-05-2020,4977,248
Madhya Pradesh,region,19-05-2020,5236,252
Madhya Pradesh,region,20-05-2020,5465,258
Madhya Pradesh,region,21-05-2020,5735,267
Madhya Pradesh,region,22-05-2020,5981,270
Madhya Pradesh,region,23-05-2020,6170,272
Madhya Pradesh,region,24-05-2020,6371,281
Madhya Pradesh,region,25-05-2020,6665,290
Madhya Pradesh,region,26-05-2020,6859,300
Madhya Pradesh,region,27-05-2020,7024,305
Madhya Pradesh,region,28-05-2020,7261,313
Madhya Pradesh,region,29-05-2020,7453,321
Madhya Pradesh,region,30-05-2020,7645,334
Madhya Pradesh,region,31-05-2020,7891,343
Madhya Pradesh,region,01-06-2020,8089,350
Madhya Pradesh,region,02-06-2020,8283,358
Madhya Pradesh,region,03-06-2020,8420,364
Madhya Pradesh,region,04-06-2020,8588,371
Madhya Pradesh,region,05-06-2020,8762,377
Madhya Pradesh,region,06-06-2020,8996,384
Madhya Pradesh,region,07-06-2020,9228,399
Madhya Pradesh,region,08-06-2020,9401,412
Madhya Pradesh,region,09-06-2020,9638,414
Madhya Pradesh,region,10-06-2020,9849,420
Madhya Pradesh,region,11-06-2020,10049,427
Madhya Pradesh,region,12-06-2020,10241,431
Madhya Pradesh,region,13-06-2020,10443,440
Madhya Pradesh,region,14-06-2020,10641,447
Madhya Pradesh,region,15-06-2020,10802,459
Madhya Pradesh,region,16-06-2020,10935,465
Madhya Pradesh,region,17-06-2020,11083,476
Madhya Pradesh,region,18-06-2020,11244,482
Madhya Pradesh,region,19-06-2020,11426,486
Madhya Pradesh,region,20-06-2020,11582,495
Madhya Pradesh,region,21-06-2020,11724,501
Madhya Pradesh,region,22-06-2020,11903,515
Madhya Pradesh,region,23-06-2020,12078,521
Madhya Pradesh,region,24-06-2020,12261,525
Madhya Pradesh,region,25-06-2020,12448,534
Madhya Pradesh,region,27-06-2020,12798,546
Madhya Pradesh,region,28-06-2020,12965,550
Madhya Pradesh,region,29-06-2020,13186,557
Madhya Pradesh,region,30-06-2020,13370,564
Madhya Pradesh,region,02-07-2020,13861,581
Madhya Pradesh,region,03-07-2020,14106,589
Madhya Pradesh,region,05-07-2020,14604,598
Madhya Pradesh,region,07-07-2020,15284,617
Madhya Pradesh,region,08-07-2020,15627,622
Madhya Pradesh,region,09-07-2020,16036,629
Madhya Pradesh,region,10-07-2020,16341,634
Madhya Pradesh,region,11-07-2020,16657,638
Madhya Pradesh,region,12-07-2020,17201,644
Madhya Pradesh,region,13-07-2020,17632,653
Madhya Pradesh,region,14-07-2020,18207,663
Madhya Pradesh,region,15-07-2020,19005,673
Madhya Pradesh,region,16-07-2020,19643,682
Madhya Pradesh,region,17-07-2020,19643,682
Madhya Pradesh,region,18-07-2020,21081,697
Madhya Pradesh,region,19-07-2020,21763,706
Madhya Pradesh,region,20-07-2020,22600,721
Madhya Pradesh,region,21-07-2020,23310,738
Madhya Pradesh,region,22-07-2020,24095,756
Madhya Pradesh,region,23-07-2020,24842,770
Madhya Pradesh,region,24-07-2020,25474,780
Madhya Pradesh,region,25-07-2020,26210,791
Madhya Pradesh,region,26-07-2020,26926,799
Madhya Pradesh,region,27-07-2020,27800,811
Madhya Pradesh,region,28-07-2020,28589,820
Madhya Pradesh,region,29-07-2020,29217,830
Madhya Pradesh,region,30-07-2020,30134,843
Madhya Pradesh,region,31-07-2020,30968,857
Madhya Pradesh,region,01-08-2020,31806,867
Madhya Pradesh,region,02-08-2020,32614,876
Madhya Pradesh,region,03-08-2020,33535,886
Madhya Pradesh,region,04-08-2020,34285,900
Madhya Pradesh,region,05-08-2020,35082,912
Madhya Pradesh,region,06-08-2020,35734,929
