areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Maharashtra,region,09-03-2020,2,0
Maharashtra,region,10-03-2020,5,0
Maharashtra,region,11-03-2020,10,0
Maharashtra,region,12-03-2020,11,0
Maharashtra,region,13-03-2020,11,0
Maharashtra,region,14-03-2020,14,0
Maharashtra,region,15-03-2020,32,0
Maharashtra,region,16-03-2020,32,0
Maharashtra,region,17-03-2020,39,1
Maharashtra,region,18-03-2020,42,1
Maharashtra,region,19-03-2020,47,1
Maharashtra,region,20-03-2020,47,1
Maharashtra,region,21-03-2020,63,1
Maharashtra,region,22-03-2020,67,2
Maharashtra,region,23-03-2020,74,2
Maharashtra,region,24-03-2020,89,2
Maharashtra,region,25-03-2020,128,3
Maharashtra,region,26-03-2020,124,3
Maharashtra,region,27-03-2020,130,4
Maharashtra,region,28-03-2020,180,5
Maharashtra,region,29-03-2020,186,6
Maharashtra,region,30-03-2020,193,8
Maharashtra,region,31-03-2020,216,9
Maharashtra,region,01-04-2020,302,9
Maharashtra,region,02-04-2020,335,13
Maharashtra,region,03-04-2020,335,16
Maharashtra,region,04-04-2020,423,19
Maharashtra,region,05-04-2020,490,24
Maharashtra,region,06-04-2020,690,45
Maharashtra,region,07-04-2020,748,45
Maharashtra,region,08-04-2020,1018,64
Maharashtra,region,09-04-2020,1135,72
Maharashtra,region,10-04-2020,1364,97
Maharashtra,region,11-04-2020,1574,110
Maharashtra,region,12-04-2020,1761,127
Maharashtra,region,13-04-2020,1985,149
Maharashtra,region,14-04-2020,2337,160
Maharashtra,region,15-04-2020,2687,178
Maharashtra,region,16-04-2020,2916,187
Maharashtra,region,17-04-2020,3205,194
Maharashtra,region,18-04-2020,3323,201
Maharashtra,region,19-04-2020,3651,211
Maharashtra,region,20-04-2020,4203,223
Maharashtra,region,21-04-2020,4666,232
Maharashtra,region,22-04-2020,5218,251
Maharashtra,region,23-04-2020,5652,269
Maharashtra,region,24-04-2020,6430,283
Maharashtra,region,25-04-2020,6817,301
Maharashtra,region,26-04-2020,7628,323
Maharashtra,region,27-04-2020,8068,342
Maharashtra,region,28-04-2020,8590,369
Maharashtra,region,29-04-2020,9318,400
Maharashtra,region,30-04-2020,9915,432
Maharashtra,region,01-05-2020,10498,459
