areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Manipur,region,24-03-2020,1,0
Manipur,region,25-03-2020,1,0
Manipur,region,26-03-2020,1,0
Manipur,region,27-03-2020,1,0
Manipur,region,28-03-2020,1,0
Manipur,region,29-03-2020,1,0
Manipur,region,30-03-2020,1,0
Manipur,region,31-03-2020,1,0
Manipur,region,01-04-2020,1,0
Manipur,region,02-04-2020,1,0
Manipur,region,03-04-2020,2,0
Manipur,region,04-04-2020,2,0
Manipur,region,05-04-2020,2,0
Manipur,region,06-04-2020,2,0
Manipur,region,07-04-2020,2,0
Manipur,region,08-04-2020,2,0
Manipur,region,09-04-2020,1,0
Manipur,region,10-04-2020,2,0
Manipur,region,11-04-2020,2,0
Manipur,region,12-04-2020,2,0
Manipur,region,13-04-2020,2,0
Manipur,region,14-04-2020,2,0
Manipur,region,15-04-2020,2,0
Manipur,region,16-04-2020,2,0
Manipur,region,17-04-2020,2,0
Manipur,region,18-04-2020,2,0
Manipur,region,19-04-2020,2,0
Manipur,region,20-04-2020,2,0
Manipur,region,21-04-2020,2,0
Manipur,region,22-04-2020,2,0
Manipur,region,23-04-2020,2,0
Manipur,region,24-04-2020,2,0
Manipur,region,25-04-2020,2,0
Manipur,region,26-04-2020,2,0
Manipur,region,27-04-2020,2,0
Manipur,region,28-04-2020,2,0
Manipur,region,29-04-2020,2,0
Manipur,region,30-04-2020,2,0
Manipur,region,01-05-2020,2,0
Manipur,region,02-05-2020,2,0
Manipur,region,03-05-2020,2,0
Manipur,region,04-05-2020,2,0
Manipur,region,05-05-2020,2,0
Manipur,region,06-05-2020,2,0
Manipur,region,07-05-2020,2,0
Manipur,region,08-05-2020,2,0
Manipur,region,09-05-2020,2,0
Manipur,region,10-05-2020,2,0
Manipur,region,11-05-2020,2,0
Manipur,region,12-05-2020,2,0
Manipur,region,13-05-2020,2,0
Manipur,region,14-05-2020,2,0
Manipur,region,15-05-2020,3,0
Manipur,region,16-05-2020,3,0
Manipur,region,17-05-2020,7,0
Manipur,region,18-05-2020,7,0
Manipur,region,19-05-2020,7,0
Manipur,region,20-05-2020,9,0
Manipur,region,21-05-2020,25,0
Manipur,region,22-05-2020,25,0
Manipur,region,23-05-2020,26,0
Manipur,region,24-05-2020,29,0
Manipur,region,25-05-2020,32,0
Manipur,region,26-05-2020,39,0
Manipur,region,27-05-2020,39,0
Manipur,region,28-05-2020,44,0
Manipur,region,29-05-2020,55,0
Manipur,region,30-05-2020,59,0
Manipur,region,31-05-2020,62,0
Manipur,region,01-06-2020,71,0
Manipur,region,02-06-2020,83,0
Manipur,region,03-06-2020,89,0
Manipur,region,04-06-2020,118,0
Manipur,region,05-06-2020,124,0
Manipur,region,06-06-2020,132,0
Manipur,region,07-06-2020,157,0
Manipur,region,08-06-2020,172,0
Manipur,region,09-06-2020,272,0
Manipur,region,10-06-2020,304,0
Manipur,region,11-06-2020,311,0
Manipur,region,12-06-2020,366,0
Manipur,region,13-06-2020,385,0
Manipur,region,14-06-2020,449,0
Manipur,region,15-06-2020,458,0
Manipur,region,16-06-2020,490,0
Manipur,region,17-06-2020,500,0
Manipur,region,18-06-2020,552,0
Manipur,region,19-06-2020,606,0
Manipur,region,20-06-2020,681,0
Manipur,region,21-06-2020,777,0
Manipur,region,22-06-2020,841,0
Manipur,region,23-06-2020,898,0
Manipur,region,24-06-2020,921,0
Manipur,region,25-06-2020,970,0
Manipur,region,27-06-2020,1075,0
Manipur,region,28-06-2020,1092,0
Manipur,region,29-06-2020,1185,0
Manipur,region,30-06-2020,1227,0
Manipur,region,02-07-2020,1260,0
Manipur,region,03-07-2020,1279,0
Manipur,region,05-07-2020,1325,0
Manipur,region,07-07-2020,1390,0
Manipur,region,08-07-2020,1430,0
Manipur,region,09-07-2020,1435,0
Manipur,region,10-07-2020,1450,0
Manipur,region,11-07-2020,1582,0
Manipur,region,12-07-2020,1593,0
Manipur,region,13-07-2020,1609,0
Manipur,region,14-07-2020,1626,0
Manipur,region,15-07-2020,1672,0
Manipur,region,16-07-2020,1700,0
Manipur,region,17-07-2020,1700,0
Manipur,region,18-07-2020,1800,0
Manipur,region,19-07-2020,1891,0
Manipur,region,20-07-2020,1911,0
Manipur,region,21-07-2020,1925,0
Manipur,region,22-07-2020,2015,0
Manipur,region,23-07-2020,2060,0
Manipur,region,24-07-2020,2115,0
Manipur,region,25-07-2020,2146,0
Manipur,region,26-07-2020,2176,0
Manipur,region,27-07-2020,2235,0
Manipur,region,28-07-2020,2286,0
Manipur,region,29-07-2020,2317,0
Manipur,region,30-07-2020,2458,0
Manipur,region,31-07-2020,2505,4
Manipur,region,01-08-2020,2621,5
Manipur,region,02-08-2020,2756,6
Manipur,region,03-08-2020,2831,7
Manipur,region,04-08-2020,2920,7
Manipur,region,05-08-2020,3018,7
Manipur,region,06-08-2020,3093,7
