areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Meghalaya,region,14-04-2020,1,0
Meghalaya,region,15-04-2020,1,0
Meghalaya,region,16-04-2020,7,1
Meghalaya,region,17-04-2020,9,1
Meghalaya,region,18-04-2020,9,1
Meghalaya,region,19-04-2020,11,1
Meghalaya,region,20-04-2020,11,1
Meghalaya,region,21-04-2020,11,1
Meghalaya,region,22-04-2020,12,1
Meghalaya,region,23-04-2020,12,1
Meghalaya,region,24-04-2020,12,1
Meghalaya,region,25-04-2020,12,1
Meghalaya,region,26-04-2020,12,1
Meghalaya,region,27-04-2020,12,1
Meghalaya,region,28-04-2020,12,1
Meghalaya,region,29-04-2020,12,1
Meghalaya,region,30-04-2020,12,1
Meghalaya,region,01-05-2020,12,1
Meghalaya,region,02-05-2020,12,1
Meghalaya,region,03-05-2020,12,1
Meghalaya,region,04-05-2020,12,1
Meghalaya,region,05-05-2020,12,1
Meghalaya,region,06-05-2020,12,1
Meghalaya,region,07-05-2020,12,1
Meghalaya,region,08-05-2020,12,1
Meghalaya,region,09-05-2020,12,1
Meghalaya,region,10-05-2020,13,1
Meghalaya,region,11-05-2020,13,1
Meghalaya,region,12-05-2020,13,1
Meghalaya,region,13-05-2020,13,1
Meghalaya,region,14-05-2020,13,1
Meghalaya,region,15-05-2020,13,1
Meghalaya,region,16-05-2020,13,1
Meghalaya,region,17-05-2020,13,1
Meghalaya,region,18-05-2020,13,1
Meghalaya,region,19-05-2020,13,1
Meghalaya,region,20-05-2020,13,1
Meghalaya,region,21-05-2020,14,1
Meghalaya,region,22-05-2020,14,1
Meghalaya,region,23-05-2020,14,1
Meghalaya,region,24-05-2020,14,1
Meghalaya,region,25-05-2020,14,1
Meghalaya,region,26-05-2020,14,1
Meghalaya,region,27-05-2020,15,1
Meghalaya,region,28-05-2020,20,1
Meghalaya,region,29-05-2020,21,1
Meghalaya,region,30-05-2020,27,1
Meghalaya,region,31-05-2020,27,1
Meghalaya,region,01-06-2020,27,1
Meghalaya,region,02-06-2020,27,1
Meghalaya,region,03-06-2020,27,1
Meghalaya,region,04-06-2020,33,1
Meghalaya,region,05-06-2020,33,1
Meghalaya,region,06-06-2020,33,1
Meghalaya,region,07-06-2020,33,1
Meghalaya,region,08-06-2020,36,1
Meghalaya,region,09-06-2020,36,1
Meghalaya,region,10-06-2020,43,1
Meghalaya,region,11-06-2020,44,1
Meghalaya,region,12-06-2020,44,1
Meghalaya,region,13-06-2020,44,1
Meghalaya,region,14-06-2020,44,1
Meghalaya,region,15-06-2020,44,1
Meghalaya,region,16-06-2020,44,1
Meghalaya,region,17-06-2020,44,1
Meghalaya,region,18-06-2020,44,1
Meghalaya,region,19-06-2020,44,1
Meghalaya,region,20-06-2020,44,1
Meghalaya,region,21-06-2020,44,1
Meghalaya,region,22-06-2020,44,1
Meghalaya,region,23-06-2020,44,1
Meghalaya,region,24-06-2020,46,1
Meghalaya,region,25-06-2020,46,1
Meghalaya,region,27-06-2020,47,1
Meghalaya,region,28-06-2020,47,1
Meghalaya,region,29-06-2020,47,1
Meghalaya,region,30-06-2020,47,1
Meghalaya,region,02-07-2020,52,1
Meghalaya,region,03-07-2020,56,1
Meghalaya,region,05-07-2020,62,1
Meghalaya,region,07-07-2020,80,1
Meghalaya,region,08-07-2020,80,1
Meghalaya,region,09-07-2020,80,1
Meghalaya,region,10-07-2020,113,2
Meghalaya,region,11-07-2020,207,2
Meghalaya,region,12-07-2020,207,2
Meghalaya,region,13-07-2020,306,2
Meghalaya,region,14-07-2020,318,2
Meghalaya,region,15-07-2020,318,2
Meghalaya,region,16-07-2020,346,2
Meghalaya,region,17-07-2020,346,2
Meghalaya,region,18-07-2020,403,2
Meghalaya,region,19-07-2020,418,2
Meghalaya,region,20-07-2020,450,2
Meghalaya,region,21-07-2020,466,4
Meghalaya,region,22-07-2020,490,4
Meghalaya,region,23-07-2020,514,4
Meghalaya,region,24-07-2020,534,4
Meghalaya,region,25-07-2020,588,5
Meghalaya,region,26-07-2020,646,5
Meghalaya,region,27-07-2020,702,5
Meghalaya,region,28-07-2020,738,5
Meghalaya,region,29-07-2020,779,5
Meghalaya,region,30-07-2020,784,5
Meghalaya,region,31-07-2020,803,5
Meghalaya,region,01-08-2020,823,5
Meghalaya,region,02-08-2020,856,5
Meghalaya,region,03-08-2020,874,5
Meghalaya,region,04-08-2020,902,5
Meghalaya,region,05-08-2020,917,5
Meghalaya,region,06-08-2020,929,5
