areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Nagaland,region,26-05-2020,3,0
Nagaland,region,27-05-2020,4,0
Nagaland,region,28-05-2020,4,0
Nagaland,region,29-05-2020,18,0
Nagaland,region,30-05-2020,25,0
Nagaland,region,31-05-2020,36,0
Nagaland,region,01-06-2020,43,0
Nagaland,region,02-06-2020,43,0
Nagaland,region,03-06-2020,49,0
Nagaland,region,04-06-2020,58,0
Nagaland,region,05-06-2020,80,0
Nagaland,region,06-06-2020,94,0
Nagaland,region,07-06-2020,107,0
Nagaland,region,08-06-2020,118,0
Nagaland,region,09-06-2020,123,0
Nagaland,region,10-06-2020,127,0
Nagaland,region,11-06-2020,128,0
Nagaland,region,12-06-2020,128,0
Nagaland,region,13-06-2020,156,0
Nagaland,region,14-06-2020,163,0
Nagaland,region,15-06-2020,168,0
Nagaland,region,16-06-2020,177,0
Nagaland,region,17-06-2020,179,0
Nagaland,region,18-06-2020,193,0
Nagaland,region,19-06-2020,193,0
Nagaland,region,20-06-2020,198,0
Nagaland,region,21-06-2020,201,0
Nagaland,region,22-06-2020,211,0
Nagaland,region,23-06-2020,280,0
Nagaland,region,24-06-2020,330,0
Nagaland,region,25-06-2020,347,0
Nagaland,region,27-06-2020,371,0
Nagaland,region,28-06-2020,387,0
Nagaland,region,29-06-2020,415,0
Nagaland,region,30-06-2020,434,0
Nagaland,region,02-07-2020,459,0
Nagaland,region,03-07-2020,501,0
Nagaland,region,05-07-2020,563,0
Nagaland,region,07-07-2020,625,0
Nagaland,region,08-07-2020,625,0
Nagaland,region,09-07-2020,657,0
Nagaland,region,10-07-2020,673,0
Nagaland,region,11-07-2020,732,0
Nagaland,region,12-07-2020,748,0
Nagaland,region,13-07-2020,774,0
Nagaland,region,14-07-2020,845,0
Nagaland,region,15-07-2020,896,0
Nagaland,region,16-07-2020,902,0
Nagaland,region,17-07-2020,902,0
Nagaland,region,18-07-2020,956,0
Nagaland,region,19-07-2020,978,0
Nagaland,region,20-07-2020,988,0
Nagaland,region,21-07-2020,1021,0
Nagaland,region,22-07-2020,1030,0
Nagaland,region,23-07-2020,1084,0
Nagaland,region,24-07-2020,1174,0
Nagaland,region,25-07-2020,1239,1
Nagaland,region,26-07-2020,1289,4
Nagaland,region,27-07-2020,1339,4
Nagaland,region,28-07-2020,1385,5
Nagaland,region,29-07-2020,1460,5
Nagaland,region,30-07-2020,1513,5
Nagaland,region,31-07-2020,1566,5
Nagaland,region,01-08-2020,1693,5
Nagaland,region,02-08-2020,1831,5
Nagaland,region,03-08-2020,1935,5
Nagaland,region,04-08-2020,2129,5
Nagaland,region,05-08-2020,2405,5
Nagaland,region,06-08-2020,2498,6
