areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Odisha,region,16-03-2020,1,0
Odisha,region,17-03-2020,1,0
Odisha,region,18-03-2020,1,0
Odisha,region,19-03-2020,1,0
Odisha,region,20-03-2020,1,0
Odisha,region,21-03-2020,2,0
Odisha,region,22-03-2020,2,0
Odisha,region,23-03-2020,2,0
Odisha,region,24-03-2020,2,0
Odisha,region,25-03-2020,2,0
Odisha,region,26-03-2020,2,0
Odisha,region,27-03-2020,2,0
Odisha,region,28-03-2020,3,0
Odisha,region,29-03-2020,3,0
Odisha,region,30-03-2020,3,0
Odisha,region,31-03-2020,3,0
Odisha,region,01-04-2020,4,0
Odisha,region,02-04-2020,4,0
Odisha,region,03-04-2020,5,0
Odisha,region,04-04-2020,5,0
Odisha,region,05-04-2020,20,0
Odisha,region,06-04-2020,21,0
Odisha,region,07-04-2020,21,0
Odisha,region,08-04-2020,42,1
Odisha,region,09-04-2020,42,1
Odisha,region,10-04-2020,44,1
Odisha,region,11-04-2020,48,1
Odisha,region,12-04-2020,50,1
Odisha,region,13-04-2020,54,1
Odisha,region,14-04-2020,55,1
Odisha,region,15-04-2020,60,1
Odisha,region,16-04-2020,60,1
Odisha,region,17-04-2020,60,1
Odisha,region,18-04-2020,60,1
Odisha,region,19-04-2020,61,1
Odisha,region,20-04-2020,68,1
Odisha,region,21-04-2020,74,1
Odisha,region,22-04-2020,79,1
Odisha,region,23-04-2020,83,1
Odisha,region,24-04-2020,90,1
Odisha,region,25-04-2020,94,1
Odisha,region,26-04-2020,94,1
Odisha,region,27-04-2020,103,1
Odisha,region,28-04-2020,118,1
Odisha,region,29-04-2020,118,1
Odisha,region,30-04-2020,125,1
Odisha,region,01-05-2020,142,1
Odisha,region,02-05-2020,149,1
Odisha,region,03-05-2020,157,1
Odisha,region,04-05-2020,162,1
Odisha,region,05-05-2020,169,1
Odisha,region,06-05-2020,175,1
Odisha,region,07-05-2020,185,2
Odisha,region,08-05-2020,219,2
Odisha,region,09-05-2020,271,2
Odisha,region,10-05-2020,294,2
Odisha,region,11-05-2020,377,3
Odisha,region,12-05-2020,414,3
Odisha,region,13-05-2020,437,3
Odisha,region,14-05-2020,538,3
Odisha,region,15-05-2020,611,3
Odisha,region,16-05-2020,672,3
Odisha,region,17-05-2020,737,3
Odisha,region,18-05-2020,828,4
Odisha,region,19-05-2020,876,4
Odisha,region,20-05-2020,978,5
Odisha,region,21-05-2020,1052,6
Odisha,region,22-05-2020,1103,7
Odisha,region,23-05-2020,1189,7
Odisha,region,24-05-2020,1269,7
Odisha,region,25-05-2020,1336,7
Odisha,region,26-05-2020,1438,7
Odisha,region,27-05-2020,1517,7
Odisha,region,28-05-2020,1593,7
Odisha,region,29-05-2020,1660,7
Odisha,region,30-05-2020,1723,7
Odisha,region,31-05-2020,1819,7
Odisha,region,01-06-2020,1948,7
Odisha,region,02-06-2020,2104,7
Odisha,region,03-06-2020,2245,7
Odisha,region,04-06-2020,2388,7
Odisha,region,05-06-2020,2478,7
Odisha,region,06-06-2020,2608,8
Odisha,region,07-06-2020,2781,8
Odisha,region,08-06-2020,2856,9
Odisha,region,09-06-2020,2994,9
Odisha,region,10-06-2020,3140,9
Odisha,region,11-06-2020,3250,9
Odisha,region,12-06-2020,3386,9
Odisha,region,13-06-2020,3498,10
Odisha,region,14-06-2020,3723,10
Odisha,region,15-06-2020,3909,11
Odisha,region,16-06-2020,4055,11
Odisha,region,17-06-2020,4163,11
Odisha,region,18-06-2020,4338,11
Odisha,region,19-06-2020,4512,11
Odisha,region,20-06-2020,4677,11
Odisha,region,21-06-2020,4856,12
Odisha,region,22-06-2020,5160,14
Odisha,region,23-06-2020,5303,15
Odisha,region,24-06-2020,5470,17
Odisha,region,25-06-2020,5752,17
Odisha,region,27-06-2020,6180,17
Odisha,region,28-06-2020,6350,18
Odisha,region,29-06-2020,6614,21
Odisha,region,30-06-2020,6859,23
Odisha,region,02-07-2020,7316,25
Odisha,region,03-07-2020,7545,27
Odisha,region,05-07-2020,8601,34
Odisha,region,07-07-2020,9526,38
Odisha,region,08-07-2020,10097,42
Odisha,region,09-07-2020,10624,48
Odisha,region,10-07-2020,11201,52
Odisha,region,11-07-2020,11956,56
Odisha,region,12-07-2020,12526,61
Odisha,region,13-07-2020,13121,64
Odisha,region,14-07-2020,13737,70
Odisha,region,15-07-2020,14280,74
Odisha,region,16-07-2020,14898,77
Odisha,region,17-07-2020,14898,77
Odisha,region,18-07-2020,16110,83
Odisha,region,19-07-2020,16701,86
Odisha,region,20-07-2020,17437,91
Odisha,region,21-07-2020,18110,97
Odisha,region,22-07-2020,18757,103
Odisha,region,23-07-2020,19835,108
Odisha,region,24-07-2020,21099,114
Odisha,region,25-07-2020,22693,120
Odisha,region,26-07-2020,24013,130
Odisha,region,27-07-2020,25389,140
Odisha,region,28-07-2020,26892,147
Odisha,region,29-07-2020,28107,154
Odisha,region,30-07-2020,29175,159
Odisha,region,31-07-2020,30378,169
Odisha,region,01-08-2020,31877,177
Odisha,region,02-08-2020,33479,187
Odisha,region,03-08-2020,34913,197
Odisha,region,04-08-2020,36297,207
Odisha,region,05-08-2020,37681,216
Odisha,region,06-08-2020,39018,225
