areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Puducherry,region,18-03-2020,1,0
Puducherry,region,19-03-2020,1,0
Puducherry,region,20-03-2020,1,0
Puducherry,region,21-03-2020,1,0
Puducherry,region,22-03-2020,1,0
Puducherry,region,23-03-2020,1,0
Puducherry,region,24-03-2020,1,0
Puducherry,region,25-03-2020,1,0
Puducherry,region,26-03-2020,1,0
Puducherry,region,27-03-2020,1,0
Puducherry,region,28-03-2020,1,0
Puducherry,region,29-03-2020,1,0
Puducherry,region,30-03-2020,1,0
Puducherry,region,31-03-2020,1,0
Puducherry,region,01-04-2020,3,0
Puducherry,region,02-04-2020,3,0
Puducherry,region,03-04-2020,3,0
Puducherry,region,04-04-2020,5,0
Puducherry,region,05-04-2020,5,0
Puducherry,region,06-04-2020,5,0
Puducherry,region,07-04-2020,5,0
Puducherry,region,08-04-2020,5,0
Puducherry,region,09-04-2020,5,0
Puducherry,region,10-04-2020,5,0
Puducherry,region,11-04-2020,5,0
Puducherry,region,12-04-2020,7,0
Puducherry,region,13-04-2020,7,0
Puducherry,region,14-04-2020,7,0
Puducherry,region,15-04-2020,7,0
Puducherry,region,16-04-2020,7,0
Puducherry,region,17-04-2020,7,0
Puducherry,region,18-04-2020,7,0
Puducherry,region,19-04-2020,7,0
Puducherry,region,20-04-2020,7,0
Puducherry,region,21-04-2020,7,0
Puducherry,region,22-04-2020,7,0
Puducherry,region,23-04-2020,7,0
Puducherry,region,24-04-2020,7,0
Puducherry,region,25-04-2020,7,0
Puducherry,region,26-04-2020,7,0
Puducherry,region,27-04-2020,7,0
Puducherry,region,28-04-2020,8,0
Puducherry,region,29-04-2020,8,0
Puducherry,region,30-04-2020,8,0
Puducherry,region,01-05-2020,8,0
Puducherry,region,02-05-2020,8,0
Puducherry,region,03-05-2020,8,0
Puducherry,region,04-05-2020,8,0
Puducherry,region,05-05-2020,8,0
Puducherry,region,06-05-2020,9,0
Puducherry,region,07-05-2020,9,0
Puducherry,region,08-05-2020,9,0
Puducherry,region,09-05-2020,9,0
Puducherry,region,10-05-2020,9,0
Puducherry,region,11-05-2020,9,0
Puducherry,region,12-05-2020,12,0
Puducherry,region,13-05-2020,13,1
Puducherry,region,14-05-2020,13,1
Puducherry,region,15-05-2020,13,1
Puducherry,region,16-05-2020,13,1
Puducherry,region,17-05-2020,13,1
Puducherry,region,18-05-2020,13,1
Puducherry,region,19-05-2020,18,1
Puducherry,region,20-05-2020,18,1
Puducherry,region,21-05-2020,18,0
Puducherry,region,22-05-2020,20,0
Puducherry,region,23-05-2020,26,0
Puducherry,region,24-05-2020,26,0#
Puducherry,region,25-05-2020,41,0
Puducherry,region,26-05-2020,41,0
Puducherry,region,27-05-2020,46,0
Puducherry,region,28-05-2020,46,0
Puducherry,region,29-05-2020,51,0
Puducherry,region,30-05-2020,51,0
Puducherry,region,31-05-2020,51,0
Puducherry,region,01-06-2020,70,0
Puducherry,region,02-06-2020,74,0
Puducherry,region,03-06-2020,82,0
Puducherry,region,04-06-2020,82,0
Puducherry,region,05-06-2020,82,0
Puducherry,region,06-06-2020,99,0
Puducherry,region,07-06-2020,99,0
Puducherry,region,08-06-2020,99,0
Puducherry,region,09-06-2020,127,0
Puducherry,region,10-06-2020,127,0
Puducherry,region,11-06-2020,127,0
Puducherry,region,12-06-2020,157,2
Puducherry,region,13-06-2020,157,2
Puducherry,region,14-06-2020,176,2
Puducherry,region,15-06-2020,194,5
Puducherry,region,16-06-2020,202,5
Puducherry,region,17-06-2020,216,6
Puducherry,region,18-06-2020,245,7
Puducherry,region,19-06-2020,271,7
Puducherry,region,20-06-2020,286,7
Puducherry,region,21-06-2020,286,7
Puducherry,region,22-06-2020,366,8
Puducherry,region,23-06-2020,383,8
Puducherry,region,24-06-2020,402,9
Puducherry,region,25-06-2020,461,9
Puducherry,region,27-06-2020,502,9
Puducherry,region,28-06-2020,619,10
Puducherry,region,29-06-2020,619,10
Puducherry,region,30-06-2020,619,10
Puducherry,region,02-07-2020,714,12
Puducherry,region,03-07-2020,802,12
Puducherry,region,05-07-2020,802,12
Puducherry,region,07-07-2020,802,12
Puducherry,region,08-07-2020,930,14
Puducherry,region,09-07-2020,1008,14
Puducherry,region,10-07-2020,1151,14
Puducherry,region,11-07-2020,1272,17
Puducherry,region,12-07-2020,1337,18
Puducherry,region,13-07-2020,1418,18
Puducherry,region,14-07-2020,1468,18
Puducherry,region,15-07-2020,1531,18
Puducherry,region,16-07-2020,1596,21
Puducherry,region,17-07-2020,1596,21
Puducherry,region,18-07-2020,1832,25
Puducherry,region,19-07-2020,1894,28
Puducherry,region,20-07-2020,1999,28
Puducherry,region,21-07-2020,2092,29
Puducherry,region,22-07-2020,2179,30
Puducherry,region,23-07-2020,2300,31
Puducherry,region,24-07-2020,2420,34
Puducherry,region,25-07-2020,2515,35
Puducherry,region,26-07-2020,2654,38
Puducherry,region,27-07-2020,2786,40
Puducherry,region,28-07-2020,2872,43
Puducherry,region,29-07-2020,3011,47
Puducherry,region,30-07-2020,3177,47
Puducherry,region,31-07-2020,3298,48
Puducherry,region,01-08-2020,3472,49
Puducherry,region,02-08-2020,3606,51
Puducherry,region,03-08-2020,3806,52
Puducherry,region,04-08-2020,3982,56
Puducherry,region,05-08-2020,4147,58
Puducherry,region,06-08-2020,4433,65
