areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Punjab,region,09-03-2020,1,0
Punjab,region,10-03-2020,1,0
Punjab,region,11-03-2020,1,0
Punjab,region,12-03-2020,1,0
Punjab,region,13-03-2020,1,0
Punjab,region,14-03-2020,1,0
Punjab,region,15-03-2020,1,0
Punjab,region,16-03-2020,1,0
Punjab,region,17-03-2020,1,0
Punjab,region,18-03-2020,1,0
Punjab,region,19-03-2020,2,1
Punjab,region,20-03-2020,2,1
Punjab,region,21-03-2020,13,1
Punjab,region,22-03-2020,21,1
Punjab,region,23-03-2020,21,1
Punjab,region,24-03-2020,29,1
Punjab,region,25-03-2020,29,1
Punjab,region,26-03-2020,33,1
Punjab,region,27-03-2020,33,1
Punjab,region,28-03-2020,38,1
Punjab,region,29-03-2020,38,1
Punjab,region,30-03-2020,38,1
Punjab,region,31-03-2020,41,3
Punjab,region,01-04-2020,42,3
Punjab,region,02-04-2020,46,4
Punjab,region,03-04-2020,46,4
Punjab,region,04-04-2020,53,5
Punjab,region,05-04-2020,57,5
Punjab,region,06-04-2020,68,6
Punjab,region,07-04-2020,76,6
Punjab,region,08-04-2020,91,7
Punjab,region,09-04-2020,101,8
Punjab,region,10-04-2020,101,8
Punjab,region,11-04-2020,132,11
Punjab,region,12-04-2020,151,11
Punjab,region,13-04-2020,151,11
Punjab,region,14-04-2020,176,12
Punjab,region,15-04-2020,176,12
Punjab,region,16-04-2020,186,13
Punjab,region,17-04-2020,186,13
Punjab,region,18-04-2020,202,13
Punjab,region,19-04-2020,202,13
Punjab,region,20-04-2020,219,16
Punjab,region,21-04-2020,245,16
Punjab,region,22-04-2020,245,16
Punjab,region,23-04-2020,251,16
Punjab,region,24-04-2020,277,16
Punjab,region,25-04-2020,298,17
Punjab,region,26-04-2020,298,17
Punjab,region,27-04-2020,313,18
Punjab,region,28-04-2020,313,18
Punjab,region,29-04-2020,322,19
Punjab,region,30-04-2020,357,19
Punjab,region,01-05-2020,357,19
Punjab,region,02-05-2020,480,19
Punjab,region,03-05-2020,772,20
Punjab,region,04-05-2020,1102,21
Punjab,region,05-05-2020,1233,23
Punjab,region,06-05-2020,1451,25
Punjab,region,07-05-2020,1516,27
Punjab,region,08-05-2020,1644,28
Punjab,region,09-05-2020,1731,29
Punjab,region,10-05-2020,1762,31
Punjab,region,11-05-2020,1823,31
Punjab,region,12-05-2020,1877,31
Punjab,region,13-05-2020,1914,32
Punjab,region,14-05-2020,1924,32
Punjab,region,15-05-2020,1935,32
Punjab,region,16-05-2020,1935,32
Punjab,region,17-05-2020,1946,32
Punjab,region,18-05-2020,1964,35
Punjab,region,19-05-2020,1980,37
Punjab,region,20-05-2020,2002,38
Punjab,region,21-05-2020,2005,38
Punjab,region,22-05-2020,2028,39
Punjab,region,23-05-2020,2029,39
Punjab,region,24-05-2020,2045,39
Punjab,region,25-05-2020,2060,40
Punjab,region,26-05-2020,2060,40
Punjab,region,27-05-2020,2106,40
Punjab,region,28-05-2020,2139,40
Punjab,region,29-05-2020,2158,40
Punjab,region,30-05-2020,2197,42
Punjab,region,31-05-2020,2233,44
Punjab,region,01-06-2020,2263,45
Punjab,region,02-06-2020,2301,45
Punjab,region,03-06-2020,2342,46
Punjab,region,04-06-2020,2376,47
Punjab,region,05-06-2020,2415,47
Punjab,region,06-06-2020,2461,48
Punjab,region,07-06-2020,2515,50
Punjab,region,08-06-2020,2608,51
Punjab,region,09-06-2020,2663,53
Punjab,region,10-06-2020,2719,55
Punjab,region,11-06-2020,2805,55
Punjab,region,12-06-2020,2887,59
Punjab,region,13-06-2020,2986,63
Punjab,region,14-06-2020,3063,65
Punjab,region,15-06-2020,3140,67
Punjab,region,16-06-2020,3267,71
Punjab,region,17-06-2020,3371,72
Punjab,region,18-06-2020,3497,78
Punjab,region,19-06-2020,3615,83
Punjab,region,20-06-2020,3832,92
Punjab,region,21-06-2020,3952,98
Punjab,region,22-06-2020,4074,99
Punjab,region,23-06-2020,4235,101
Punjab,region,24-06-2020,4397,105
Punjab,region,25-06-2020,4627,113
Punjab,region,27-06-2020,4957,122
Punjab,region,28-06-2020,5056,128
Punjab,region,29-06-2020,5216,133
Punjab,region,30-06-2020,5418,138
Punjab,region,02-07-2020,5668,149
Punjab,region,03-07-2020,5784,152
Punjab,region,05-07-2020,6109,162
Punjab,region,07-07-2020,6491,169
Punjab,region,08-07-2020,6749,175
Punjab,region,09-07-2020,6907,178
Punjab,region,10-07-2020,7140,183
Punjab,region,11-07-2020,7357,187
Punjab,region,12-07-2020,7587,195
Punjab,region,13-07-2020,7821,199
Punjab,region,14-07-2020,8178,204
Punjab,region,15-07-2020,8511,213
Punjab,region,16-07-2020,8799,221
Punjab,region,17-07-2020,8799,221
Punjab,region,18-07-2020,9442,239
Punjab,region,19-07-2020,9792,246
Punjab,region,20-07-2020,10100,254
Punjab,region,21-07-2020,10510,262
Punjab,region,22-07-2020,10889,263
Punjab,region,23-07-2020,11301,269
Punjab,region,24-07-2020,11739,277
Punjab,region,25-07-2020,12216,282
Punjab,region,26-07-2020,12684,291
Punjab,region,27-07-2020,13218,306
Punjab,region,28-07-2020,13769,318
Punjab,region,29-07-2020,14378,336
Punjab,region,30-07-2020,14946,361
Punjab,region,31-07-2020,15456,370
Punjab,region,01-08-2020,16119,386
Punjab,region,02-08-2020,17063,405
Punjab,region,03-08-2020,17853,423
Punjab,region,04-08-2020,18527,442
Punjab,region,05-08-2020,19015,462
Punjab,region,06-08-2020,19856,491
