areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Rajasthan,region,04-03-2020,1,0
Rajasthan,region,05-03-2020,1,0
Rajasthan,region,06-03-2020,1,0
Rajasthan,region,07-03-2020,1,0
Rajasthan,region,08-03-2020,1,0
Rajasthan,region,09-03-2020,1,0
Rajasthan,region,10-03-2020,1,0
Rajasthan,region,11-03-2020,3,0
Rajasthan,region,12-03-2020,3,0
Rajasthan,region,13-03-2020,3,0
Rajasthan,region,14-03-2020,3,0
Rajasthan,region,15-03-2020,4,0
Rajasthan,region,16-03-2020,4,0
Rajasthan,region,17-03-2020,4,0
Rajasthan,region,18-03-2020,4,0
Rajasthan,region,19-03-2020,7,0
Rajasthan,region,20-03-2020,7,0
Rajasthan,region,21-03-2020,17,0
Rajasthan,region,22-03-2020,24,0
Rajasthan,region,23-03-2020,28,0
Rajasthan,region,24-03-2020,32,0
Rajasthan,region,25-03-2020,36,0
Rajasthan,region,26-03-2020,41,0
Rajasthan,region,27-03-2020,41,0
Rajasthan,region,28-03-2020,54,0
Rajasthan,region,29-03-2020,54,0
Rajasthan,region,30-03-2020,57,0
Rajasthan,region,31-03-2020,74,0
Rajasthan,region,01-04-2020,93,0
Rajasthan,region,02-04-2020,108,0
Rajasthan,region,03-04-2020,133,0
Rajasthan,region,04-04-2020,179,0
Rajasthan,region,05-04-2020,200,0
Rajasthan,region,06-04-2020,253,0
Rajasthan,region,07-04-2020,288,3
Rajasthan,region,08-04-2020,328,3
Rajasthan,region,09-04-2020,381,3
Rajasthan,region,10-04-2020,463,3
Rajasthan,region,11-04-2020,553,3
Rajasthan,region,12-04-2020,700,3
Rajasthan,region,13-04-2020,804,3
Rajasthan,region,14-04-2020,879,3
Rajasthan,region,15-04-2020,969,3
Rajasthan,region,16-04-2020,1023,3
Rajasthan,region,17-04-2020,1131,11
Rajasthan,region,18-04-2020,1229,11
Rajasthan,region,19-04-2020,1351,11
Rajasthan,region,20-04-2020,1478,14
Rajasthan,region,21-04-2020,1576,25
Rajasthan,region,22-04-2020,1659,25
Rajasthan,region,23-04-2020,1890,27
Rajasthan,region,24-04-2020,1964,27
Rajasthan,region,25-04-2020,2034,27
Rajasthan,region,26-04-2020,2083,33
Rajasthan,region,27-04-2020,2185,33
Rajasthan,region,28-04-2020,2262,46
Rajasthan,region,29-04-2020,2364,51
Rajasthan,region,30-04-2020,2438,51
Rajasthan,region,01-05-2020,2584,58
Rajasthan,region,02-05-2020,2666,62
Rajasthan,region,03-05-2020,2770,65
Rajasthan,region,04-05-2020,2886,71
Rajasthan,region,05-05-2020,3061,77
Rajasthan,region,06-05-2020,3158,89
Rajasthan,region,07-05-2020,3317,92
Rajasthan,region,08-05-2020,3427,97
Rajasthan,region,09-05-2020,3579,101
Rajasthan,region,10-05-2020,3708,106
Rajasthan,region,11-05-2020,3814,107
Rajasthan,region,12-05-2020,3988,113
Rajasthan,region,13-05-2020,4126,117
Rajasthan,region,14-05-2020,4328,121
Rajasthan,region,15-05-2020,4534,125
Rajasthan,region,16-05-2020,4727,125
Rajasthan,region,17-05-2020,4960,126
Rajasthan,region,18-05-2020,5202,131
Rajasthan,region,19-05-2020,5507,138
Rajasthan,region,20-05-2020,5845,143
Rajasthan,region,21-05-2020,6015,147
Rajasthan,region,22-05-2020,6227,151
Rajasthan,region,23-05-2020,6494,153
Rajasthan,region,24-05-2020,6742,160
Rajasthan,region,25-05-2020,7028,163
Rajasthan,region,26-05-2020,7300,167
Rajasthan,region,27-05-2020,7536,170
Rajasthan,region,28-05-2020,7703,173
