areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Sikkim,region,24-05-2020,1,0
Sikkim,region,25-05-2020,1,0
Sikkim,region,26-05-2020,1,0
Sikkim,region,27-05-2020,1,0
Sikkim,region,28-05-2020,1,0
Sikkim,region,29-05-2020,1,0
Sikkim,region,30-05-2020,1,0
Sikkim,region,31-05-2020,1,0
Sikkim,region,01-06-2020,1,0
Sikkim,region,02-06-2020,1,0
Sikkim,region,03-06-2020,1,0
Sikkim,region,04-06-2020,2,0
Sikkim,region,05-06-2020,2,0
Sikkim,region,06-06-2020,3,0
Sikkim,region,07-06-2020,7,0
Sikkim,region,08-06-2020,7,0
Sikkim,region,09-06-2020,7,0
Sikkim,region,10-06-2020,13,0
Sikkim,region,11-06-2020,13,0
Sikkim,region,12-06-2020,14,0
Sikkim,region,13-06-2020,63,0
Sikkim,region,14-06-2020,63,0
Sikkim,region,15-06-2020,68,0
Sikkim,region,16-06-2020,68,0
Sikkim,region,17-06-2020,70,0
Sikkim,region,18-06-2020,70,0
Sikkim,region,19-06-2020,70,0
Sikkim,region,20-06-2020,70,0
Sikkim,region,21-06-2020,70,0
Sikkim,region,22-06-2020,78,0
Sikkim,region,23-06-2020,78,0
Sikkim,region,24-06-2020,79,0
Sikkim,region,25-06-2020,84,0
Sikkim,region,27-06-2020,86,0
Sikkim,region,28-06-2020,87,0
Sikkim,region,29-06-2020,88,0
Sikkim,region,30-06-2020,88,0
Sikkim,region,02-07-2020,101,0
Sikkim,region,03-07-2020,102,0
Sikkim,region,05-07-2020,103,0
Sikkim,region,07-07-2020,125,0
Sikkim,region,08-07-2020,125,0
Sikkim,region,09-07-2020,133,0
Sikkim,region,10-07-2020,134,0
Sikkim,region,11-07-2020,134,0
Sikkim,region,12-07-2020,151,0
Sikkim,region,13-07-2020,153,0
Sikkim,region,14-07-2020,192,0
Sikkim,region,15-07-2020,209,0
Sikkim,region,16-07-2020,220,0
Sikkim,region,17-07-2020,220,0
Sikkim,region,18-07-2020,266,0
Sikkim,region,19-07-2020,275,0
Sikkim,region,20-07-2020,283,0
Sikkim,region,21-07-2020,305,0
Sikkim,region,22-07-2020,330,0
Sikkim,region,23-07-2020,438,0
Sikkim,region,24-07-2020,460,0
Sikkim,region,25-07-2020,477,0
Sikkim,region,26-07-2020,499,0
Sikkim,region,27-07-2020,545,0
Sikkim,region,28-07-2020,555,1
Sikkim,region,29-07-2020,579,1
Sikkim,region,30-07-2020,596,1
Sikkim,region,31-07-2020,610,1
Sikkim,region,01-08-2020,639,1
Sikkim,region,02-08-2020,650,1
Sikkim,region,03-08-2020,658,1
Sikkim,region,04-08-2020,688,1
Sikkim,region,05-08-2020,783,1
Sikkim,region,06-08-2020,800,1
