areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Tamil Nadu,region,07-03-2020,1,0
Tamil Nadu,region,08-03-2020,1,0
Tamil Nadu,region,09-03-2020,1,0
Tamil Nadu,region,10-03-2020,1,0
Tamil Nadu,region,11-03-2020,1,0
Tamil Nadu,region,12-03-2020,1,0
Tamil Nadu,region,13-03-2020,1,0
Tamil Nadu,region,14-03-2020,1,0
Tamil Nadu,region,15-03-2020,1,0
Tamil Nadu,region,16-03-2020,1,0
Tamil Nadu,region,17-03-2020,1,0
Tamil Nadu,region,18-03-2020,1,0
Tamil Nadu,region,19-03-2020,2,0
Tamil Nadu,region,20-03-2020,3,0
Tamil Nadu,region,21-03-2020,3,0
Tamil Nadu,region,22-03-2020,7,0
Tamil Nadu,region,23-03-2020,9,0
Tamil Nadu,region,24-03-2020,15,0
Tamil Nadu,region,25-03-2020,18,0
Tamil Nadu,region,26-03-2020,26,1
Tamil Nadu,region,27-03-2020,29,1
Tamil Nadu,region,28-03-2020,40,1
Tamil Nadu,region,29-03-2020,42,1
Tamil Nadu,region,30-03-2020,50,1
Tamil Nadu,region,31-03-2020,74,1
Tamil Nadu,region,01-04-2020,234,1
Tamil Nadu,region,02-04-2020,234,1
Tamil Nadu,region,03-04-2020,309,1
Tamil Nadu,region,04-04-2020,411,1
Tamil Nadu,region,05-04-2020,485,3
Tamil Nadu,region,06-04-2020,571,5
Tamil Nadu,region,07-04-2020,621,5
Tamil Nadu,region,08-04-2020,690,7
Tamil Nadu,region,09-04-2020,738,8
Tamil Nadu,region,10-04-2020,834,8
Tamil Nadu,region,11-04-2020,911,8
Tamil Nadu,region,12-04-2020,969,10
Tamil Nadu,region,13-04-2020,1043,11
Tamil Nadu,region,14-04-2020,1173,11
Tamil Nadu,region,15-04-2020,1204,12
Tamil Nadu,region,16-04-2020,1242,14
Tamil Nadu,region,17-04-2020,1267,15
Tamil Nadu,region,18-04-2020,1323,15
Tamil Nadu,region,19-04-2020,1372,15
Tamil Nadu,region,20-04-2020,1477,15
Tamil Nadu,region,21-04-2020,1520,17
Tamil Nadu,region,22-04-2020,1596,18
Tamil Nadu,region,23-04-2020,1629,18
Tamil Nadu,region,24-04-2020,1683,20
Tamil Nadu,region,25-04-2020,1755,22
Tamil Nadu,region,26-04-2020,1821,23
Tamil Nadu,region,27-04-2020,1885,24
Tamil Nadu,region,28-04-2020,1937,24
Tamil Nadu,region,29-04-2020,2058,25
