areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Telangana,region,12-06-2020,4320,165
Telangana,region,13-06-2020,4484,174
Telangana,region,14-06-2020,4737,182
Telangana,region,15-06-2020,4974,185
Telangana,region,16-06-2020,5193,187
Telangana,region,17-06-2020,5406,191
Telangana,region,18-06-2020,5675,192
Telangana,region,19-06-2020,6027,195
Telangana,region,20-06-2020,6526,198
Telangana,region,21-06-2020,7072,203
Telangana,region,22-06-2020,7802,210
Telangana,region,23-06-2020,8674,217
Telangana,region,24-06-2020,9553,220
Telangana,region,25-06-2020,10444,225
Telangana,region,27-06-2020,12349,237
Telangana,region,28-06-2020,13436,243
Telangana,region,29-06-2020,14419,247
Telangana,region,30-06-2020,15394,253
Telangana,region,02-07-2020,17357,267
Telangana,region,03-07-2020,18570,275
Telangana,region,05-07-2020,22312,288
Telangana,region,07-07-2020,25733,306
Telangana,region,08-07-2020,27612,313
Telangana,region,09-07-2020,29536,324
Telangana,region,10-07-2020,30946,331
Telangana,region,11-07-2020,32224,339
Telangana,region,12-07-2020,33402,348
Telangana,region,13-07-2020,34671,356
Telangana,region,14-07-2020,36221,365
Telangana,region,15-07-2020,37745,375
Telangana,region,16-07-2020,39342,386
Telangana,region,17-07-2020,39342,386
Telangana,region,18-07-2020,42496,403
Telangana,region,19-07-2020,43780,409
Telangana,region,20-07-2020,45076,415
Telangana,region,21-07-2020,46274,422
Telangana,region,22-07-2020,47705,429
Telangana,region,23-07-2020,49259,438
Telangana,region,24-07-2020,50826,447
Telangana,region,25-07-2020,52466,455
Telangana,region,27-07-2020,54059,463
Telangana,region,28-07-2020,57142,480
Telangana,region,29-07-2020,57142,480
Telangana,region,30-07-2020,58906,492
Telangana,region,31-07-2020,60717,505
Telangana,region,01-08-2020,62703,519
Telangana,region,02-08-2020,64786,530
Telangana,region,03-08-2020,66677,540
Telangana,region,04-08-2020,68946,563
Telangana,region,05-08-2020,70958,576
Telangana,region,06-08-2020,73050,589
Telangana,region,26-07-2020,52466,455
Telengana,region,02-03-2020,1,0
Telengana,region,03-03-2020,1,0
Telengana,region,04-03-2020,1,0
Telengana,region,05-03-2020,1,0
Telengana,region,06-03-2020,1,0
Telengana,region,07-03-2020,1,0
Telengana,region,08-03-2020,1,0
Telengana,region,09-03-2020,1,0
Telengana,region,10-03-2020,1,0
Telengana,region,11-03-2020,1,0
Telengana,region,12-03-2020,1,0
Telengana,region,13-03-2020,1,0
Telengana,region,14-03-2020,1,0
Telengana,region,15-03-2020,3,0
Telengana,region,16-03-2020,3,0
Telengana,region,17-03-2020,5,0
Telengana,region,18-03-2020,6,0
Telengana,region,19-03-2020,6,0
Telengana,region,20-03-2020,16,0
Telengana,region,21-03-2020,21,0
Telengana,region,22-03-2020,22,0
Telengana,region,23-03-2020,32,0
Telengana,region,24-03-2020,35,0
Telengana,region,25-03-2020,35,0
Telengana,region,26-03-2020,44,0
Telengana,region,27-03-2020,45,0
Telengana,region,28-03-2020,56,0
Telengana,region,29-03-2020,66,1
Telengana,region,30-03-2020,69,1
Telengana,region,31-03-2020,79,1
Telengana,region,01-04-2020,96,3
Telengana,region,02-04-2020,96,3
Telengana,region,03-04-2020,107,3
Telengana,region,04-04-2020,158,7
Telengana,region,05-04-2020,269,7
Telengana,region,06-04-2020,321,7
Telengana,region,07-04-2020,321,7
Telengana,region,08-04-2020,364,7
Telengana,region,09-04-2020,427,7
Telengana,region,10-04-2020,442,7
Telengana,region,11-04-2020,473,7
Telengana,region,12-04-2020,504,9
Telengana,region,13-04-2020,504,9
Telengana,region,14-04-2020,624,17
Telengana,region,15-04-2020,624,17
Telengana,region,16-04-2020,647,18
Telengana,region,17-04-2020,743,18
Telengana,region,18-04-2020,766,18
Telengana,region,19-04-2020,809,18
Telengana,region,20-04-2020,844,18
Telengana,region,21-04-2020,873,23
Telengana,region,22-04-2020,928,23
Telengana,region,23-04-2020,945,23
Telengana,region,24-04-2020,960,24
Telengana,region,25-04-2020,984,26
Telengana,region,26-04-2020,991,26
Telengana,region,27-04-2020,1002,26
Telengana,region,28-04-2020,1004,26
Telengana,region,29-04-2020,1004,26
Telengana,region,30-04-2020,1012,26
Telengana,region,01-05-2020,1038,26
Telengana,region,02-05-2020,1039,26
Telengana,region,03-05-2020,1063,28
Telengana,region,04-05-2020,1082,29
Telengana,region,05-05-2020,1085,29
Telengana,region,06-05-2020,1096,29
Telengana,region,07-05-2020,1107,29
Telengana,region,08-05-2020,1123,29
Telengana,region,09-05-2020,1133,29
Telengana,region,10-05-2020,1163,30
Telengana,region,11-05-2020,1196,30
Telengana,region,12-05-2020,1275,30
Telengana,region,13-05-2020,1326,32
Telengana,region,14-05-2020,1367,34
Telengana,region,15-05-2020,1414,34
Telengana,region,16-05-2020,1454,34
Telengana,region,17-05-2020,1509,34
