areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Tripura,region,07-04-2020,1,0
Tripura,region,08-04-2020,1,0
Tripura,region,09-04-2020,1,0
Tripura,region,10-04-2020,1,0
Tripura,region,11-04-2020,1,0
Tripura,region,12-04-2020,2,0
Tripura,region,13-04-2020,2,0
Tripura,region,14-04-2020,2,0
Tripura,region,15-04-2020,2,0
Tripura,region,16-04-2020,2,0
Tripura,region,17-04-2020,2,0
Tripura,region,18-04-2020,2,0
Tripura,region,19-04-2020,2,0
Tripura,region,20-04-2020,2,0
Tripura,region,21-04-2020,2,0
Tripura,region,22-04-2020,2,0
Tripura,region,23-04-2020,2,0
Tripura,region,24-04-2020,2,0
Tripura,region,25-04-2020,2,0
Tripura,region,26-04-2020,2,0
Tripura,region,27-04-2020,2,0
Tripura,region,28-04-2020,2,0
Tripura,region,29-04-2020,2,0
Tripura,region,30-04-2020,2,0
Tripura,region,01-05-2020,2,0
Tripura,region,02-05-2020,2,0
Tripura,region,03-05-2020,4,0
Tripura,region,04-05-2020,16,0
Tripura,region,05-05-2020,29,0
Tripura,region,06-05-2020,43,0
Tripura,region,07-05-2020,43,0
Tripura,region,08-05-2020,65,0
Tripura,region,09-05-2020,118,0
Tripura,region,10-05-2020,134,0
Tripura,region,11-05-2020,150,0
Tripura,region,12-05-2020,152,0
Tripura,region,13-05-2020,154,0
Tripura,region,14-05-2020,155,0
Tripura,region,15-05-2020,156,0
Tripura,region,16-05-2020,156,0
Tripura,region,17-05-2020,167,0
Tripura,region,18-05-2020,167,0
Tripura,region,19-05-2020,167,0
Tripura,region,20-05-2020,173,0
Tripura,region,21-05-2020,173,0
Tripura,region,22-05-2020,173,0
Tripura,region,23-05-2020,175,0
Tripura,region,24-05-2020,189,0
Tripura,region,25-05-2020,191,0
Tripura,region,26-05-2020,194,0
Tripura,region,27-05-2020,207,0
Tripura,region,28-05-2020,230,0
Tripura,region,29-05-2020,242,0
Tripura,region,30-05-2020,251,0
Tripura,region,31-05-2020,268,0
Tripura,region,01-06-2020,313,0
Tripura,region,02-06-2020,420,0
Tripura,region,03-06-2020,468,0
Tripura,region,04-06-2020,468,0
Tripura,region,05-06-2020,644,0
Tripura,region,06-06-2020,692,0
Tripura,region,07-06-2020,747,0
Tripura,region,08-06-2020,800,0
Tripura,region,09-06-2020,838,0
Tripura,region,10-06-2020,864,1
Tripura,region,11-06-2020,895,1
Tripura,region,12-06-2020,913,1
Tripura,region,13-06-2020,961,1
Tripura,region,14-06-2020,1046,1
Tripura,region,15-06-2020,1076,1
Tripura,region,16-06-2020,1086,1
Tripura,region,17-06-2020,1092,1
Tripura,region,18-06-2020,1135,1
Tripura,region,19-06-2020,1155,1
Tripura,region,20-06-2020,1178,1
Tripura,region,21-06-2020,1186,1
Tripura,region,22-06-2020,1221,1
Tripura,region,23-06-2020,1237,1
Tripura,region,24-06-2020,1259,1
Tripura,region,25-06-2020,1259,1
Tripura,region,27-06-2020,1325,1
Tripura,region,28-06-2020,1334,1
Tripura,region,29-06-2020,1346,1
Tripura,region,30-06-2020,1380,1
Tripura,region,02-07-2020,1396,1
Tripura,region,03-07-2020,1435,1
Tripura,region,05-07-2020,1546,1
Tripura,region,07-07-2020,1680,1
Tripura,region,08-07-2020,1704,1
Tripura,region,09-07-2020,1761,1
Tripura,region,10-07-2020,1776,1
Tripura,region,11-07-2020,1918,1
Tripura,region,12-07-2020,1949,2
Tripura,region,13-07-2020,2054,2
Tripura,region,14-07-2020,2080,2
Tripura,region,15-07-2020,2170,2
Tripura,region,16-07-2020,2268,3
Tripura,region,17-07-2020,2268,3
Tripura,region,18-07-2020,2366,3
Tripura,region,19-07-2020,2654,5
Tripura,region,20-07-2020,2878,5
Tripura,region,21-07-2020,3079,7
Tripura,region,22-07-2020,3331,8
Tripura,region,23-07-2020,3449,9
Tripura,region,24-07-2020,3656,10
Tripura,region,25-07-2020,3759,11
Tripura,region,26-07-2020,3862,11
Tripura,region,27-07-2020,3900,13
Tripura,region,28-07-2020,4049,17
Tripura,region,29-07-2020,4269,21
Tripura,region,30-07-2020,4485,21
Tripura,region,31-07-2020,4706,21
Tripura,region,01-08-2020,4978,21
Tripura,region,02-08-2020,5233,23
Tripura,region,03-08-2020,5374,27
Tripura,region,04-08-2020,5505,28
Tripura,region,05-08-2020,5628,30
Tripura,region,06-08-2020,5725,31
