areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Union Territory of Jammu and Kashmir,region,09-03-2020,1,0
Union Territory of Jammu and Kashmir,region,10-03-2020,1,0
Union Territory of Jammu and Kashmir,region,11-03-2020,1,0
Union Territory of Jammu and Kashmir,region,12-03-2020,1,0
Union Territory of Jammu and Kashmir,region,13-03-2020,1,0
Union Territory of Jammu and Kashmir,region,14-03-2020,2,0
Union Territory of Jammu and Kashmir,region,15-03-2020,2,0
Union Territory of Jammu and Kashmir,region,16-03-2020,3,0
Union Territory of Jammu and Kashmir,region,17-03-2020,3,0
Union Territory of Jammu and Kashmir,region,18-03-2020,3,0
Union Territory of Jammu and Kashmir,region,19-03-2020,4,0
Union Territory of Jammu and Kashmir,region,20-03-2020,4,0
