areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Union Territory of Ladakh,region,07-03-2020,2,0
Union Territory of Ladakh,region,08-03-2020,2,0
Union Territory of Ladakh,region,09-03-2020,2,0
Union Territory of Ladakh,region,10-03-2020,2,0
Union Territory of Ladakh,region,11-03-2020,2,0
Union Territory of Ladakh,region,12-03-2020,3,0
Union Territory of Ladakh,region,13-03-2020,3,0
Union Territory of Ladakh,region,14-03-2020,3,0
Union Territory of Ladakh,region,15-03-2020,3,0
Union Territory of Ladakh,region,16-03-2020,4,0
Union Territory of Ladakh,region,17-03-2020,6,0
Union Territory of Ladakh,region,18-03-2020,8,0
Union Territory of Ladakh,region,19-03-2020,8,0
Union Territory of Ladakh,region,20-03-2020,10,0
