areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Uttar Pradesh,region,04-03-2020,6,0
Uttar Pradesh,region,05-03-2020,7,0
Uttar Pradesh,region,06-03-2020,7,0
Uttar Pradesh,region,07-03-2020,7,0
Uttar Pradesh,region,08-03-2020,7,0
Uttar Pradesh,region,09-03-2020,7,0
Uttar Pradesh,region,10-03-2020,7,0
Uttar Pradesh,region,11-03-2020,9,0
Uttar Pradesh,region,12-03-2020,11,0
Uttar Pradesh,region,13-03-2020,11,0
Uttar Pradesh,region,14-03-2020,12,0
Uttar Pradesh,region,15-03-2020,13,0
Uttar Pradesh,region,16-03-2020,13,0
Uttar Pradesh,region,17-03-2020,15,0
Uttar Pradesh,region,18-03-2020,16,0
Uttar Pradesh,region,19-03-2020,19,0
Uttar Pradesh,region,20-03-2020,19,0
Uttar Pradesh,region,21-03-2020,24,0
Uttar Pradesh,region,22-03-2020,27,0
Uttar Pradesh,region,23-03-2020,31,0
Uttar Pradesh,region,24-03-2020,33,0
Uttar Pradesh,region,25-03-2020,37,0
Uttar Pradesh,region,26-03-2020,41,0
Uttar Pradesh,region,27-03-2020,41,0
Uttar Pradesh,region,28-03-2020,55,0
Uttar Pradesh,region,29-03-2020,55,0
Uttar Pradesh,region,30-03-2020,75,0
Uttar Pradesh,region,31-03-2020,101,0
Uttar Pradesh,region,01-04-2020,103,2
Uttar Pradesh,region,02-04-2020,113,2
Uttar Pradesh,region,03-04-2020,113,2
Uttar Pradesh,region,04-04-2020,174,2
Uttar Pradesh,region,05-04-2020,227,2
Uttar Pradesh,region,06-04-2020,227,2
Uttar Pradesh,region,07-04-2020,305,3
Uttar Pradesh,region,08-04-2020,326,3
Uttar Pradesh,region,09-04-2020,361,4
Uttar Pradesh,region,10-04-2020,410,4
Uttar Pradesh,region,11-04-2020,431,4
Uttar Pradesh,region,12-04-2020,452,5
Uttar Pradesh,region,13-04-2020,483,5
Uttar Pradesh,region,14-04-2020,657,5
Uttar Pradesh,region,15-04-2020,660,5
Uttar Pradesh,region,16-04-2020,735,11
Uttar Pradesh,region,17-04-2020,846,14
Uttar Pradesh,region,18-04-2020,849,14
Uttar Pradesh,region,19-04-2020,969,14
Uttar Pradesh,region,20-04-2020,1084,17
Uttar Pradesh,region,21-04-2020,1184,18
Uttar Pradesh,region,22-04-2020,1294,20
Uttar Pradesh,region,23-04-2020,1449,21
Uttar Pradesh,region,24-04-2020,1510,24
Uttar Pradesh,region,25-04-2020,1621,25
Uttar Pradesh,region,26-04-2020,1843,29
Uttar Pradesh,region,27-04-2020,1868,29
Uttar Pradesh,region,28-04-2020,1955,31
Uttar Pradesh,region,29-04-2020,2053,34
Uttar Pradesh,region,30-04-2020,2134,39
Uttar Pradesh,region,01-05-2020,2203,39
Uttar Pradesh,region,02-05-2020,2328,42
Uttar Pradesh,region,03-05-2020,2487,43
Uttar Pradesh,region,04-05-2020,2645,43
Uttar Pradesh,region,05-05-2020,2766,50
Uttar Pradesh,region,06-05-2020,2880,56
Uttar Pradesh,region,07-05-2020,2998,60
Uttar Pradesh,region,08-05-2020,3071,62
Uttar Pradesh,region,09-05-2020,3214,66
Uttar Pradesh,region,10-05-2020,3373,74
Uttar Pradesh,region,11-05-2020,3467,74
Uttar Pradesh,region,12-05-2020,3573,80
Uttar Pradesh,region,13-05-2020,3664,82
Uttar Pradesh,region,14-05-2020,3729,83
Uttar Pradesh,region,15-05-2020,3902,88
Uttar Pradesh,region,16-05-2020,4057,95
Uttar Pradesh,region,17-05-2020,4258,104
Uttar Pradesh,region,18-05-2020,4259,104
Uttar Pradesh,region,19-05-2020,4605,118
Uttar Pradesh,region,20-05-2020,4926,123
Uttar Pradesh,region,21-05-2020,5175,127
Uttar Pradesh,region,22-05-2020,5515,138
Uttar Pradesh,region,23-05-2020,5735,152
Uttar Pradesh,region,24-05-2020,6017,155
Uttar Pradesh,region,25-05-2020,6268,161
Uttar Pradesh,region,26-05-2020,6532,165
Uttar Pradesh,region,27-05-2020,6548,170
Uttar Pradesh,region,28-05-2020,6991,182
Uttar Pradesh,region,29-05-2020,7170,197
Uttar Pradesh,region,30-05-2020,7284,198
Uttar Pradesh,region,31-05-2020,7445,201
Uttar Pradesh,region,01-06-2020,7823,213
