areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Uttarakhand,region,15-03-2020,1,0
Uttarakhand,region,16-03-2020,1,0
Uttarakhand,region,17-03-2020,1,0
Uttarakhand,region,18-03-2020,1,0
Uttarakhand,region,19-03-2020,1,0
Uttarakhand,region,20-03-2020,1,0
Uttarakhand,region,21-03-2020,3,0
Uttarakhand,region,22-03-2020,3,0
Uttarakhand,region,23-03-2020,3,0
Uttarakhand,region,24-03-2020,4,0
Uttarakhand,region,25-03-2020,4,0
Uttarakhand,region,26-03-2020,5,0
Uttarakhand,region,27-03-2020,5,0
Uttarakhand,region,28-03-2020,5,0
Uttarakhand,region,29-03-2020,6,0
Uttarakhand,region,30-03-2020,7,0
Uttarakhand,region,31-03-2020,7,0
Uttarakhand,region,01-04-2020,7,0
Uttarakhand,region,02-04-2020,7,0
Uttarakhand,region,03-04-2020,10,0
Uttarakhand,region,04-04-2020,16,0
Uttarakhand,region,05-04-2020,22,0
Uttarakhand,region,06-04-2020,26,0
Uttarakhand,region,07-04-2020,31,0
Uttarakhand,region,08-04-2020,31,0
Uttarakhand,region,09-04-2020,33,0
Uttarakhand,region,10-04-2020,35,0
Uttarakhand,region,11-04-2020,35,0
Uttarakhand,region,12-04-2020,35,0
Uttarakhand,region,13-04-2020,35,0
Uttarakhand,region,14-04-2020,35,0
Uttarakhand,region,15-04-2020,37,0
Uttarakhand,region,16-04-2020,37,0
Uttarakhand,region,17-04-2020,37,0
Uttarakhand,region,18-04-2020,40,0
Uttarakhand,region,19-04-2020,42,0
Uttarakhand,region,20-04-2020,44,0
Uttarakhand,region,21-04-2020,46,0
Uttarakhand,region,22-04-2020,46,0
Uttarakhand,region,23-04-2020,46,0
Uttarakhand,region,24-04-2020,47,0
Uttarakhand,region,25-04-2020,48,0
Uttarakhand,region,26-04-2020,48,0
Uttarakhand,region,27-04-2020,50,0
Uttarakhand,region,28-04-2020,51,0
Uttarakhand,region,29-04-2020,54,0
Uttarakhand,region,30-04-2020,55,0
Uttarakhand,region,01-05-2020,57,0
Uttarakhand,region,02-05-2020,58,0
Uttarakhand,region,03-05-2020,59,0
Uttarakhand,region,04-05-2020,60,0
Uttarakhand,region,05-05-2020,60,1
Uttarakhand,region,06-05-2020,61,1
Uttarakhand,region,07-05-2020,61,1
Uttarakhand,region,08-05-2020,61,1
Uttarakhand,region,09-05-2020,63,1
Uttarakhand,region,10-05-2020,67,1
Uttarakhand,region,11-05-2020,68,1
Uttarakhand,region,12-05-2020,68,1
Uttarakhand,region,13-05-2020,69,1
Uttarakhand,region,14-05-2020,72,1
Uttarakhand,region,15-05-2020,78,1
Uttarakhand,region,16-05-2020,82,1
Uttarakhand,region,17-05-2020,88,1
Uttarakhand,region,18-05-2020,92,1
Uttarakhand,region,19-05-2020,93,1
Uttarakhand,region,20-05-2020,111,1
Uttarakhand,region,21-05-2020,122,1
Uttarakhand,region,22-05-2020,146,1
Uttarakhand,region,23-05-2020,153,1
Uttarakhand,region,24-05-2020,244,2
Uttarakhand,region,25-05-2020,317,3
Uttarakhand,region,26-05-2020,349,3
Uttarakhand,region,27-05-2020,401,4
Uttarakhand,region,28-05-2020,469,4
Uttarakhand,region,29-05-2020,500,4
Uttarakhand,region,30-05-2020,716,5
Uttarakhand,region,31-05-2020,749,5
Uttarakhand,region,01-06-2020,907,5
Uttarakhand,region,02-06-2020,958,6
Uttarakhand,region,03-06-2020,1043,7
Uttarakhand,region,04-06-2020,1085,8
Uttarakhand,region,05-06-2020,1153,10
Uttarakhand,region,06-06-2020,1215,11
Uttarakhand,region,07-06-2020,1303,11
Uttarakhand,region,08-06-2020,1355,13
Uttarakhand,region,09-06-2020,1411,13
Uttarakhand,region,10-06-2020,1537,13
Uttarakhand,region,11-06-2020,1562,15
Uttarakhand,region,12-06-2020,1643,15
Uttarakhand,region,13-06-2020,1724,21
Uttarakhand,region,14-06-2020,1785,23
Uttarakhand,region,15-06-2020,1819,24
Uttarakhand,region,16-06-2020,1845,24
Uttarakhand,region,17-06-2020,1942,25
Uttarakhand,region,18-06-2020,2023,26
Uttarakhand,region,19-06-2020,2102,26
Uttarakhand,region,20-06-2020,2177,26
Uttarakhand,region,21-06-2020,2301,27
Uttarakhand,region,22-06-2020,2344,27
Uttarakhand,region,23-06-2020,2402,28
Uttarakhand,region,24-06-2020,2535,30
Uttarakhand,region,25-06-2020,2623,35
Uttarakhand,region,27-06-2020,2725,37
Uttarakhand,region,28-06-2020,2791,37
Uttarakhand,region,29-06-2020,2823,38
Uttarakhand,region,30-06-2020,2831,39
Uttarakhand,region,02-07-2020,2947,41
