areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
West Bengal,region,18-03-2020,1,0
West Bengal,region,19-03-2020,1,0
West Bengal,region,20-03-2020,1,0
West Bengal,region,21-03-2020,3,0
West Bengal,region,22-03-2020,4,0
West Bengal,region,23-03-2020,7,1
West Bengal,region,24-03-2020,9,1
West Bengal,region,25-03-2020,9,1
West Bengal,region,26-03-2020,10,1
West Bengal,region,27-03-2020,10,1
West Bengal,region,28-03-2020,15,1
West Bengal,region,29-03-2020,18,1
West Bengal,region,30-03-2020,19,1
West Bengal,region,31-03-2020,26,2
West Bengal,region,03-04-2020,53,3
West Bengal,region,04-04-2020,69,3
West Bengal,region,05-04-2020,69,3
West Bengal,region,06-04-2020,80,3
West Bengal,region,07-04-2020,91,3
West Bengal,region,08-04-2020,99,5
West Bengal,region,09-04-2020,103,5
West Bengal,region,10-04-2020,116,5
West Bengal,region,11-04-2020,116,5
West Bengal,region,12-04-2020,134,5
West Bengal,region,13-04-2020,152,7
West Bengal,region,14-04-2020,190,7
West Bengal,region,15-04-2020,213,7
West Bengal,region,16-04-2020,231,7
West Bengal,region,17-04-2020,255,10
West Bengal,region,18-04-2020,287,10
West Bengal,region,19-04-2020,310,12
West Bengal,region,20-04-2020,339,12
West Bengal,region,21-04-2020,392,12
West Bengal,region,22-04-2020,423,15
West Bengal,region,23-04-2020,456,15
West Bengal,region,24-04-2020,514,15
West Bengal,region,25-04-2020,571,18
West Bengal,region,26-04-2020,611,18
West Bengal,region,27-04-2020,649,20
West Bengal,region,28-04-2020,697,20
West Bengal,region,29-04-2020,725,22
West Bengal,region,30-04-2020,758,22
West Bengal,region,01-05-2020,795,33
West Bengal,region,02-05-2020,795,33
West Bengal,region,03-05-2020,922,33
West Bengal,region,04-05-2020,963,35
West Bengal,region,05-05-2020,1259,133
West Bengal,region,06-05-2020,1344,140
West Bengal,region,07-05-2020,1456,144
West Bengal,region,08-05-2020,1548,151
West Bengal,region,09-05-2020,1678,160
West Bengal,region,10-05-2020,1786,171
West Bengal,region,11-05-2020,1939,185
West Bengal,region,12-05-2020,2063,190
West Bengal,region,13-05-2020,2173,198
West Bengal,region,14-05-2020,2290,207
West Bengal,region,15-05-2020,2377,215
West Bengal,region,16-05-2020,2461,225
West Bengal,region,17-05-2020,2576,232
West Bengal,region,18-05-2020,2677,238
West Bengal,region,19-05-2020,2825,244
West Bengal,region,20-05-2020,2961,250
West Bengal,region,21-05-2020,3103,253
West Bengal,region,22-05-2020,3197,259
West Bengal,region,23-05-2020,3332,265
West Bengal,region,24-05-2020,3459,269
West Bengal,region,25-05-2020,3667,272
West Bengal,region,26-05-2020,3816,278
West Bengal,region,27-05-2020,4009,283
West Bengal,region,28-05-2020,4192,289
West Bengal,region,29-05-2020,4536,295
West Bengal,region,30-05-2020,4813,302
West Bengal,region,31-05-2020,5130,309
West Bengal,region,01-06-2020,5501,317
West Bengal,region,02-06-2020,5772,325
West Bengal,region,03-06-2020,6168,335
West Bengal,region,04-06-2020,6508,345
West Bengal,region,05-06-2020,6876,355
West Bengal,region,06-06-2020,7303,366
West Bengal,region,07-06-2020,7738,383
West Bengal,region,08-06-2020,8187,396
West Bengal,region,09-06-2020,8613,405
West Bengal,region,10-06-2020,8985,415
West Bengal,region,11-06-2020,9328,432
West Bengal,region,12-06-2020,9768,442
West Bengal,region,13-06-2020,10244,451
West Bengal,region,14-06-2020,10698,463
West Bengal,region,15-06-2020,11087,475
West Bengal,region,16-06-2020,11494,485
West Bengal,region,17-06-2020,11909,495
West Bengal,region,18-06-2020,12300,506
West Bengal,region,19-06-2020,12735,518
West Bengal,region,20-06-2020,13090,529
West Bengal,region,21-06-2020,13531,540
West Bengal,region,22-06-2020,13945,555
West Bengal,region,23-06-2020,14358,569
West Bengal,region,24-06-2020,14728,580
West Bengal,region,25-06-2020,15173,591
West Bengal,region,27-06-2020,16190,616
West Bengal,region,28-06-2020,16711,629
West Bengal,region,29-06-2020,17283,639
West Bengal,region,30-06-2020,17907,653
West Bengal,region,02-07-2020,19170,683
West Bengal,region,03-07-2020,19819,699
West Bengal,region,05-07-2020,21231,736
West Bengal,region,07-07-2020,22987,779
West Bengal,region,08-07-2020,23837,804
West Bengal,region,09-07-2020,24823,827
West Bengal,region,10-07-2020,25911,854
West Bengal,region,11-07-2020,27109,880
West Bengal,region,12-07-2020,28453,906
West Bengal,region,13-07-2020,30013,932
West Bengal,region,14-07-2020,31448,956
West Bengal,region,15-07-2020,32838,980
West Bengal,region,16-07-2020,34427,1000
West Bengal,region,17-07-2020,34427,1000
West Bengal,region,18-07-2020,38011,1049
West Bengal,region,26-07-2020,56377,1332
West Bengal,region,28-07-2020,60830,1411
West Bengal,region,29-07-2020,62964,1449
West Bengal,region,30-07-2020,65258,1490
West Bengal,region,31-07-2020,67692,1536
West Bengal,region,01-08-2020,70188,1581
West Bengal,region,02-08-2020,72777,1629
West Bengal,region,03-08-2020,75516,1678
West Bengal,region,04-08-2020,78232,1731
West Bengal,region,05-08-2020,80984,1785
West Bengal,region,06-08-2020,83800,1846
