areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000004,East Midlands,region,2021-11-17,732646,13282
E12000004,East Midlands,region,2021-11-16,731910,13277
E12000004,East Midlands,region,2021-11-15,729155,13266
E12000004,East Midlands,region,2021-11-14,725811,13247
E12000004,East Midlands,region,2021-11-13,723252,13239
E12000004,East Midlands,region,2021-11-12,720943,13227
E12000004,East Midlands,region,2021-11-11,718107,13215
E12000004,East Midlands,region,2021-11-10,715129,13203
E12000004,East Midlands,region,2021-11-09,711903,13193
E12000004,East Midlands,region,2021-11-08,708579,13184
E12000004,East Midlands,region,2021-11-07,705232,13169
E12000004,East Midlands,region,2021-11-06,702870,13147
E12000004,East Midlands,region,2021-11-05,700833,13134
E12000004,East Midlands,region,2021-11-04,698645,13124
E12000004,East Midlands,region,2021-11-03,696419,13115
E12000004,East Midlands,region,2021-11-02,693930,13105
E12000004,East Midlands,region,2021-11-01,691374,13091
E12000004,East Midlands,region,2021-10-31,688178,13075
E12000004,East Midlands,region,2021-10-30,685811,13054
E12000004,East Midlands,region,2021-10-29,683546,13045
E12000004,East Midlands,region,2021-10-28,680812,13035
E12000004,East Midlands,region,2021-10-27,677927,13020
E12000004,East Midlands,region,2021-10-26,674900,13000
E12000004,East Midlands,region,2021-10-25,671846,12988
E12000004,East Midlands,region,2021-10-24,668157,12978
E12000004,East Midlands,region,2021-10-23,665429,12964
E12000004,East Midlands,region,2021-10-22,662676,12947
E12000004,East Midlands,region,2021-10-21,659874,12939
E12000004,East Midlands,region,2021-10-20,656706,12932
E12000004,East Midlands,region,2021-10-19,653145,12911
E12000004,East Midlands,region,2021-10-18,649627,12896
E12000004,East Midlands,region,2021-10-17,645714,12881
E12000004,East Midlands,region,2021-10-16,642676,12867
E12000004,East Midlands,region,2021-10-15,640147,12858
E12000004,East Midlands,region,2021-10-14,637039,12849
E12000004,East Midlands,region,2021-10-13,633466,12834
E12000004,East Midlands,region,2021-10-12,629644,12818
E12000004,East Midlands,region,2021-10-11,625720,12802
E12000004,East Midlands,region,2021-10-10,621188,12790
E12000004,East Midlands,region,2021-10-09,617930,12779
E12000004,East Midlands,region,2021-10-08,615009,12766
E12000004,East Midlands,region,2021-10-07,611736,12754
E12000004,East Midlands,region,2021-10-06,608293,12742
E12000004,East Midlands,region,2021-10-05,604673,12732
E12000004,East Midlands,region,2021-10-04,601033,12716
E12000004,East Midlands,region,2021-10-03,597008,12706
E12000004,East Midlands,region,2021-10-02,593884,12696
E12000004,East Midlands,region,2021-10-01,591454,12687
E12000004,East Midlands,region,2021-09-30,588627,12673
E12000004,East Midlands,region,2021-09-29,585595,12661
E12000004,East Midlands,region,2021-09-28,582365,12649
E12000004,East Midlands,region,2021-09-27,578877,12635
E12000004,East Midlands,region,2021-09-26,575081,12627
E12000004,East Midlands,region,2021-09-25,572492,12615
E12000004,East Midlands,region,2021-09-24,570028,12604
E12000004,East Midlands,region,2021-09-23,567160,12591
E12000004,East Midlands,region,2021-09-22,564015,12581
E12000004,East Midlands,region,2021-09-21,560644,12564
E12000004,East Midlands,region,2021-09-20,556978,12553
E12000004,East Midlands,region,2021-09-19,553238,12530
E12000004,East Midlands,region,2021-09-18,550474,12520
E12000004,East Midlands,region,2021-09-17,548267,12511
E12000004,East Midlands,region,2021-09-16,545992,12498
E12000004,East Midlands,region,2021-09-15,543621,12486
E12000004,East Midlands,region,2021-09-14,541237,12476
E12000004,East Midlands,region,2021-09-13,538813,12463
E12000004,East Midlands,region,2021-09-12,536040,12459
E12000004,East Midlands,region,2021-09-11,533978,12443
E12000004,East Midlands,region,2021-09-10,532237,12433
E12000004,East Midlands,region,2021-09-09,530155,12418
E12000004,East Midlands,region,2021-09-08,527657,12397
E12000004,East Midlands,region,2021-09-07,525038,12385
E12000004,East Midlands,region,2021-09-06,522136,12370
E12000004,East Midlands,region,2021-09-05,518746,12356
E12000004,East Midlands,region,2021-09-04,516393,12338
E12000004,East Midlands,region,2021-09-03,514120,12322
E12000004,East Midlands,region,2021-09-02,511451,12312
E12000004,East Midlands,region,2021-09-01,508664,12300
E12000004,East Midlands,region,2021-08-31,505678,12288
E12000004,East Midlands,region,2021-08-30,502428,12278
E12000004,East Midlands,region,2021-08-29,500005,12262
E12000004,East Midlands,region,2021-08-28,498120,12247
E12000004,East Midlands,region,2021-08-27,496254,12232
E12000004,East Midlands,region,2021-08-26,493875,12225
E12000004,East Midlands,region,2021-08-25,491290,12213
E12000004,East Midlands,region,2021-08-24,488531,12204
E12000004,East Midlands,region,2021-08-23,485839,12193
E12000004,East Midlands,region,2021-08-22,482840,12187
E12000004,East Midlands,region,2021-08-21,480571,12172
E12000004,East Midlands,region,2021-08-20,478260,12162
E12000004,East Midlands,region,2021-08-19,475926,12154
E12000004,East Midlands,region,2021-08-18,473375,12146
E12000004,East Midlands,region,2021-08-17,470565,12138
E12000004,East Midlands,region,2021-08-16,467830,12129
E12000004,East Midlands,region,2021-08-15,464847,12121
E12000004,East Midlands,region,2021-08-14,462753,12113
E12000004,East Midlands,region,2021-08-13,460668,12104
E12000004,East Midlands,region,2021-08-12,458411,12093
E12000004,East Midlands,region,2021-08-11,455698,12085
E12000004,East Midlands,region,2021-08-10,453034,12077
E12000004,East Midlands,region,2021-08-09,450447,12070
E12000004,East Midlands,region,2021-08-08,447728,12065
E12000004,East Midlands,region,2021-08-07,445779,12062
E12000004,East Midlands,region,2021-08-06,443908,12055
E12000004,East Midlands,region,2021-08-05,441521,12047
E12000004,East Midlands,region,2021-08-04,438827,12035
E12000004,East Midlands,region,2021-08-03,436050,12030
E12000004,East Midlands,region,2021-08-02,433430,12024
E12000004,East Midlands,region,2021-08-01,430929,12020
E12000004,East Midlands,region,2021-07-31,429187,12008
E12000004,East Midlands,region,2021-07-30,427376,12001
E12000004,East Midlands,region,2021-07-29,425316,11992
E12000004,East Midlands,region,2021-07-28,422990,11990
E12000004,East Midlands,region,2021-07-27,420402,11985
E12000004,East Midlands,region,2021-07-26,418000,11980
E12000004,East Midlands,region,2021-07-25,415693,11977
E12000004,East Midlands,region,2021-07-24,414016,11973
E12000004,East Midlands,region,2021-07-23,412347,11969
E12000004,East Midlands,region,2021-07-22,410407,11963
E12000004,East Midlands,region,2021-07-21,408173,11957
E12000004,East Midlands,region,2021-07-20,405590,11952
E12000004,East Midlands,region,2021-07-19,402760,11948
E12000004,East Midlands,region,2021-07-18,399143,11944
E12000004,East Midlands,region,2021-07-17,396444,11939
E12000004,East Midlands,region,2021-07-16,393584,11934
E12000004,East Midlands,region,2021-07-15,389480,11934
E12000004,East Midlands,region,2021-07-14,385052,11932
E12000004,East Midlands,region,2021-07-13,381090,11930
E12000004,East Midlands,region,2021-07-12,377673,11925
E12000004,East Midlands,region,2021-07-11,374333,11923
E12000004,East Midlands,region,2021-07-10,372197,11922
E12000004,East Midlands,region,2021-07-09,370219,11921
E12000004,East Midlands,region,2021-07-08,368011,11919
E12000004,East Midlands,region,2021-07-07,365755,11918
E12000004,East Midlands,region,2021-07-06,363280,11915
E12000004,East Midlands,region,2021-07-05,360918,11914
E12000004,East Midlands,region,2021-07-04,358654,11913
E12000004,East Midlands,region,2021-07-03,356997,11909
E12000004,East Midlands,region,2021-07-02,355539,11907
E12000004,East Midlands,region,2021-07-01,353974,11903
E12000004,East Midlands,region,2021-06-30,352307,11902
E12000004,East Midlands,region,2021-06-29,350758,11900
E12000004,East Midlands,region,2021-06-28,349178,11899
E12000004,East Midlands,region,2021-06-27,347637,11897
E12000004,East Midlands,region,2021-06-26,346645,11896
