areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000006,East of England,region,2021-11-17,829843,16922
E12000006,East of England,region,2021-11-16,828877,16916
E12000006,East of England,region,2021-11-15,825934,16907
E12000006,East of England,region,2021-11-14,821531,16893
E12000006,East of England,region,2021-11-13,818098,16879
E12000006,East of England,region,2021-11-12,814995,16867
E12000006,East of England,region,2021-11-11,811494,16853
E12000006,East of England,region,2021-11-10,807640,16841
E12000006,East of England,region,2021-11-09,803635,16826
E12000006,East of England,region,2021-11-08,799643,16808
E12000006,East of England,region,2021-11-07,795680,16794
E12000006,East of England,region,2021-11-06,792907,16785
E12000006,East of England,region,2021-11-05,790364,16776
E12000006,East of England,region,2021-11-04,787786,16766
E12000006,East of England,region,2021-11-03,784808,16757
E12000006,East of England,region,2021-11-02,781551,16735
E12000006,East of England,region,2021-11-01,777984,16722
E12000006,East of England,region,2021-10-31,773707,16706
E12000006,East of England,region,2021-10-30,770156,16690
E12000006,East of England,region,2021-10-29,766819,16672
E12000006,East of England,region,2021-10-28,762867,16649
E12000006,East of England,region,2021-10-27,758929,16633
E12000006,East of England,region,2021-10-26,754697,16615
E12000006,East of England,region,2021-10-25,750489,16598
E12000006,East of England,region,2021-10-24,745666,16579
E12000006,East of England,region,2021-10-23,742052,16558
E12000006,East of England,region,2021-10-22,738567,16542
E12000006,East of England,region,2021-10-21,734580,16532
E12000006,East of England,region,2021-10-20,730167,16520
E12000006,East of England,region,2021-10-19,724948,16508
E12000006,East of England,region,2021-10-18,719551,16490
E12000006,East of England,region,2021-10-17,713746,16480
E12000006,East of England,region,2021-10-16,709170,16470
E12000006,East of England,region,2021-10-15,705689,16455
E12000006,East of England,region,2021-10-14,701750,16442
E12000006,East of England,region,2021-10-13,697319,16437
E12000006,East of England,region,2021-10-12,692565,16427
E12000006,East of England,region,2021-10-11,688032,16415
E12000006,East of England,region,2021-10-10,682838,16403
E12000006,East of England,region,2021-10-09,678966,16397
E12000006,East of England,region,2021-10-08,675806,16390
E12000006,East of England,region,2021-10-07,672441,16379
E12000006,East of England,region,2021-10-06,668668,16374
E12000006,East of England,region,2021-10-05,664854,16363
E12000006,East of England,region,2021-10-04,661287,16354
E12000006,East of England,region,2021-10-03,657019,16346
E12000006,East of England,region,2021-10-02,653907,16338
E12000006,East of England,region,2021-10-01,651569,16332
E12000006,East of England,region,2021-09-30,649017,16320
E12000006,East of England,region,2021-09-29,646274,16312
E12000006,East of England,region,2021-09-28,643118,16305
E12000006,East of England,region,2021-09-27,639651,16298
E12000006,East of England,region,2021-09-26,635824,16292
E12000006,East of England,region,2021-09-25,632828,16284
E12000006,East of England,region,2021-09-24,630481,16281
E12000006,East of England,region,2021-09-23,627799,16272
E12000006,East of England,region,2021-09-22,625033,16263
E12000006,East of England,region,2021-09-21,622096,16249
E12000006,East of England,region,2021-09-20,618838,16237
E12000006,East of England,region,2021-09-19,615464,16226
E12000006,East of England,region,2021-09-18,612991,16208
E12000006,East of England,region,2021-09-17,610947,16194
E12000006,East of England,region,2021-09-16,608753,16175
E12000006,East of England,region,2021-09-15,606556,16158
E12000006,East of England,region,2021-09-14,604208,16149
E12000006,East of England,region,2021-09-13,601948,16134
