areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000007,London,region,2021-11-17,1239725,19734
E12000007,London,region,2021-11-16,1238654,19734
E12000007,London,region,2021-11-15,1236024,19728
E12000007,London,region,2021-11-14,1231360,19720
E12000007,London,region,2021-11-13,1228261,19708
E12000007,London,region,2021-11-12,1225151,19693
E12000007,London,region,2021-11-11,1221595,19686
E12000007,London,region,2021-11-10,1217764,19674
E12000007,London,region,2021-11-09,1213751,19657
E12000007,London,region,2021-11-08,1209861,19650
E12000007,London,region,2021-11-07,1205998,19631
E12000007,London,region,2021-11-06,1203259,19620
E12000007,London,region,2021-11-05,1200791,19602
E12000007,London,region,2021-11-04,1198098,19588
E12000007,London,region,2021-11-03,1195162,19575
E12000007,London,region,2021-11-02,1192017,19565
E12000007,London,region,2021-11-01,1188671,19548
E12000007,London,region,2021-10-31,1184872,19532
E12000007,London,region,2021-10-30,1181963,19518
E12000007,London,region,2021-10-29,1179122,19507
E12000007,London,region,2021-10-28,1175765,19496
E12000007,London,region,2021-10-27,1172248,19485
E12000007,London,region,2021-10-26,1168593,19463
E12000007,London,region,2021-10-25,1165166,19452
E12000007,London,region,2021-10-24,1161241,19439
E12000007,London,region,2021-10-23,1158460,19429
E12000007,London,region,2021-10-22,1155625,19420
E12000007,London,region,2021-10-21,1152199,19406
E12000007,London,region,2021-10-20,1148321,19392
E12000007,London,region,2021-10-19,1144047,19384
E12000007,London,region,2021-10-18,1139699,19372
E12000007,London,region,2021-10-17,1135223,19358
E12000007,London,region,2021-10-16,1131921,19341
E12000007,London,region,2021-10-15,1129171,19329
E12000007,London,region,2021-10-14,1125933,19321
E12000007,London,region,2021-10-13,1122534,19301
E12000007,London,region,2021-10-12,1119019,19294
E12000007,London,region,2021-10-11,1115665,19284
E12000007,London,region,2021-10-10,1111832,19269
E12000007,London,region,2021-10-09,1109101,19257
E12000007,London,region,2021-10-08,1106666,19243
E12000007,London,region,2021-10-07,1104010,19233
E12000007,London,region,2021-10-06,1101098,19221
E12000007,London,region,2021-10-05,1098285,19207
E12000007,London,region,2021-10-04,1095235,19194
E12000007,London,region,2021-10-03,1091932,19183
E12000007,London,region,2021-10-02,1089404,19176
E12000007,London,region,2021-10-01,1087265,19163
E12000007,London,region,2021-09-30,1085071,19145
E12000007,London,region,2021-09-29,1082481,19128
E12000007,London,region,2021-09-28,1079705,19112
E12000007,London,region,2021-09-27,1076915,19092
E12000007,London,region,2021-09-26,1073470,19073
E12000007,London,region,2021-09-25,1070967,19063
E12000007,London,region,2021-09-24,1068741,19050
E12000007,London,region,2021-09-23,1066363,19030
E12000007,London,region,2021-09-22,1063638,19013
E12000007,London,region,2021-09-21,1060833,18997
E12000007,London,region,2021-09-20,1057925,18988
E12000007,London,region,2021-09-19,1054808,18977
E12000007,London,region,2021-09-18,1052474,18967
E12000007,London,region,2021-09-17,1050368,18954
E12000007,London,region,2021-09-16,1048010,18945
E12000007,London,region,2021-09-15,1045674,18934
E12000007,London,region,2021-09-14,1043249,18918
E12000007,London,region,2021-09-13,1040651,18904
E12000007,London,region,2021-09-12,1037867,18898
E12000007,London,region,2021-09-11,1035859,18889
E12000007,London,region,2021-09-10,1033690,18878
E12000007,London,region,2021-09-09,1031182,18866
E12000007,London,region,2021-09-08,1028438,18846
E12000007,London,region,2021-09-07,1025302,18832
E12000007,London,region,2021-09-06,1021917,18819
E12000007,London,region,2021-09-05,1018141,18800
E12000007,London,region,2021-09-04,1015490,18786
E12000007,London,region,2021-09-03,1012773,18778
E12000007,London,region,2021-09-02,1009319,18753
E12000007,London,region,2021-09-01,1005600,18739
E12000007,London,region,2021-08-31,1001996,18724
E12000007,London,region,2021-08-30,998283,18707
E12000007,London,region,2021-08-29,995469,18697
E12000007,London,region,2021-08-28,993223,18686
E12000007,London,region,2021-08-27,990647,18670
E12000007,London,region,2021-08-26,987583,18656
E12000007,London,region,2021-08-25,984406,18640
E12000007,London,region,2021-08-24,980980,18627
E12000007,London,region,2021-08-23,977563,18615
E12000007,London,region,2021-08-22,973994,18600
E12000007,London,region,2021-08-21,971346,18586
E12000007,London,region,2021-08-20,968694,18568
E12000007,London,region,2021-08-19,965611,18549
E12000007,London,region,2021-08-18,962074,18534
E12000007,London,region,2021-08-17,958377,18523
E12000007,London,region,2021-08-16,954651,18510
E12000007,London,region,2021-08-15,950811,18498
E12000007,London,region,2021-08-14,948107,18485
E12000007,London,region,2021-08-13,945210,18473
E12000007,London,region,2021-08-12,941535,18465
E12000007,London,region,2021-08-11,937606,18448
E12000007,London,region,2021-08-10,933333,18435
E12000007,London,region,2021-08-09,929512,18426
E12000007,London,region,2021-08-08,925700,18417
E12000007,London,region,2021-08-07,922859,18408
E12000007,London,region,2021-08-06,919919,18399
E12000007,London,region,2021-08-05,916293,18391
E12000007,London,region,2021-08-04,912116,18376
E12000007,London,region,2021-08-03,907923,18360
E12000007,London,region,2021-08-02,903983,18353
E12000007,London,region,2021-08-01,900080,18343
E12000007,London,region,2021-07-31,897456,18332
E12000007,London,region,2021-07-30,894855,18323
E12000007,London,region,2021-07-29,891584,18311
E12000007,London,region,2021-07-28,887777,18300
E12000007,London,region,2021-07-27,883889,18288
E12000007,London,region,2021-07-26,880073,18284
E12000007,London,region,2021-07-25,876098,18275
E12000007,London,region,2021-07-24,873274,18269
E12000007,London,region,2021-07-23,870216,18263
E12000007,London,region,2021-07-22,866357,18253
E12000007,London,region,2021-07-21,862125,18246
E12000007,London,region,2021-07-20,857437,18237
E12000007,London,region,2021-07-19,852429,18228
E12000007,London,region,2021-07-18,846421,18220
E12000007,London,region,2021-07-17,842007,18211
E12000007,London,region,2021-07-16,837033,18205
E12000007,London,region,2021-07-15,830021,18201
E12000007,London,region,2021-07-14,822379,18197
E12000007,London,region,2021-07-13,815982,18193
E12000007,London,region,2021-07-12,810782,18189
E12000007,London,region,2021-07-11,805908,18186
E12000007,London,region,2021-07-10,802685,18186
E12000007,London,region,2021-07-09,799495,18182
E12000007,London,region,2021-07-08,795908,18180
E12000007,London,region,2021-07-07,792322,18178
E12000007,London,region,2021-07-06,787910,18176
E12000007,London,region,2021-07-05,783976,18173
E12000007,London,region,2021-07-04,780216,18170
E12000007,London,region,2021-07-03,777648,18169
E12000007,London,region,2021-07-02,775023,18164
E12000007,London,region,2021-07-01,772144,18162
E12000007,London,region,2021-06-30,769133,18158
E12000007,London,region,2021-06-29,766123,18152
E12000007,London,region,2021-06-28,763197,18149
E12000007,London,region,2021-06-27,760388,18147
E12000007,London,region,2021-06-26,758536,18143
E12000007,London,region,2021-06-25,756851,18143
E12000007,London,region,2021-06-24,754839,18138
E12000007,London,region,2021-06-23,752932,18135
E12000007,London,region,2021-06-22,751007,18135
E12000007,London,region,2021-06-21,749253,18135
E12000007,London,region,2021-06-20,747626,18132
E12000007,London,region,2021-06-19,746672,18131
E12000007,London,region,2021-06-18,745770,18129
E12000007,London,region,2021-06-17,744776,18123
E12000007,London,region,2021-06-16,743517,18120
E12000007,London,region,2021-06-15,742378,18117
E12000007,London,region,2021-06-14,741123,18115
E12000007,London,region,2021-06-13,739950,18115
E12000007,London,region,2021-06-12,739200,18112
E12000007,London,region,2021-06-11,738448,18107
E12000007,London,region,2021-06-10,737532,18107
E12000007,London,region,2021-06-09,736557,18106
E12000007,London,region,2021-06-08,735511,18101
E12000007,London,region,2021-06-07,734451,18099
E12000007,London,region,2021-06-06,733466,18098
E12000007,London,region,2021-06-05,732817,18095
E12000007,London,region,2021-06-04,732233,18093
E12000007,London,region,2021-06-03,731554,18091
E12000007,London,region,2021-06-02,730785,18090
E12000007,London,region,2021-06-01,729991,18089
E12000007,London,region,2021-05-31,729308,18089
E12000007,London,region,2021-05-30,728833,18087
E12000007,London,region,2021-05-29,728446,18086
E12000007,London,region,2021-05-28,728071,18083
E12000007,London,region,2021-05-27,727659,18082
E12000007,London,region,2021-05-26,727160,18079
E12000007,London,region,2021-05-25,726688,18074
E12000007,London,region,2021-05-24,726287,18074
E12000007,London,region,2021-05-23,725929,18071
E12000007,London,region,2021-05-22,725661,18068
E12000007,London,region,2021-05-21,725426,18067
E12000007,London,region,2021-05-20,725163,18063
E12000007,London,region,2021-05-19,724848,18061
E12000007,London,region,2021-05-18,724509,18061
E12000007,London,region,2021-05-17,724195,18060
E12000007,London,region,2021-05-16,723871,18060
E12000007,London,region,2021-05-15,723665,18055
E12000007,London,region,2021-05-14,723481,18053
E12000007,London,region,2021-05-13,723244,18052
E12000007,London,region,2021-05-12,722996,18051
E12000007,London,region,2021-05-11,722777,18050
E12000007,London,region,2021-05-10,722498,18050
E12000007,London,region,2021-05-09,722159,18046
E12000007,London,region,2021-05-08,721897,18045
E12000007,London,region,2021-05-07,721721,18044
E12000007,London,region,2021-05-06,721496,18042
E12000007,London,region,2021-05-05,721216,18041
E12000007,London,region,2021-05-04,720952,18036
E12000007,London,region,2021-05-03,720659,18035
E12000007,London,region,2021-05-02,720425,18034
E12000007,London,region,2021-05-01,720252,18032
E12000007,London,region,2021-04-30,720085,18027
E12000007,London,region,2021-04-29,719861,18024
