areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000001,North East,region,2021-11-17,454529,8085
E12000001,North East,region,2021-11-16,454189,8085
E12000001,North East,region,2021-11-15,452881,8079
E12000001,North East,region,2021-11-14,451384,8075
E12000001,North East,region,2021-11-13,450221,8072
E12000001,North East,region,2021-11-12,449066,8066
E12000001,North East,region,2021-11-11,447675,8056
E12000001,North East,region,2021-11-10,446180,8042
E12000001,North East,region,2021-11-09,444563,8033
E12000001,North East,region,2021-11-08,442985,8021
E12000001,North East,region,2021-11-07,441187,8010
E12000001,North East,region,2021-11-06,439906,8000
E12000001,North East,region,2021-11-05,438763,7993
E12000001,North East,region,2021-11-04,437461,7979
E12000001,North East,region,2021-11-03,436061,7970
E12000001,North East,region,2021-11-02,434497,7956
E12000001,North East,region,2021-11-01,432781,7943
E12000001,North East,region,2021-10-31,430647,7934
E12000001,North East,region,2021-10-30,428940,7919
E12000001,North East,region,2021-10-29,427434,7909
E12000001,North East,region,2021-10-28,425497,7902
E12000001,North East,region,2021-10-27,423545,7890
E12000001,North East,region,2021-10-26,421535,7880
E12000001,North East,region,2021-10-25,419548,7872
E12000001,North East,region,2021-10-24,417433,7866
E12000001,North East,region,2021-10-23,415828,7850
E12000001,North East,region,2021-10-22,414401,7844
E12000001,North East,region,2021-10-21,412656,7834
E12000001,North East,region,2021-10-20,410807,7823
E12000001,North East,region,2021-10-19,408594,7815
E12000001,North East,region,2021-10-18,406476,7799
E12000001,North East,region,2021-10-17,404041,7794
E12000001,North East,region,2021-10-16,402323,7784
E12000001,North East,region,2021-10-15,400873,7778
E12000001,North East,region,2021-10-14,399246,7770
E12000001,North East,region,2021-10-13,397490,7760
E12000001,North East,region,2021-10-12,395575,7751
E12000001,North East,region,2021-10-11,393658,7742
E12000001,North East,region,2021-10-10,391490,7733
E12000001,North East,region,2021-10-09,389902,7725
E12000001,North East,region,2021-10-08,388661,7718
E12000001,North East,region,2021-10-07,387186,7708
E12000001,North East,region,2021-10-06,385683,7702
E12000001,North East,region,2021-10-05,384158,7699
E12000001,North East,region,2021-10-04,382577,7691
E12000001,North East,region,2021-10-03,380807,7686
E12000001,North East,region,2021-10-02,379581,7679
E12000001,North East,region,2021-10-01,378626,7670
E12000001,North East,region,2021-09-30,377526,7661
E12000001,North East,region,2021-09-29,376351,7648
E12000001,North East,region,2021-09-28,375090,7637
E12000001,North East,region,2021-09-27,373769,7630
E12000001,North East,region,2021-09-26,372249,7623
E12000001,North East,region,2021-09-25,371022,7612
E12000001,North East,region,2021-09-24,369862,7605
E12000001,North East,region,2021-09-23,368600,7597
E12000001,North East,region,2021-09-22,367122,7587
E12000001,North East,region,2021-09-21,365691,7572
E12000001,North East,region,2021-09-20,364018,7565
E12000001,North East,region,2021-09-19,362351,7551
E12000001,North East,region,2021-09-18,361062,7542
E12000001,North East,region,2021-09-17,360010,7536
E12000001,North East,region,2021-09-16,358813,7524
E12000001,North East,region,2021-09-15,357518,7510
E12000001,North East,region,2021-09-14,356188,7493
E12000001,North East,region,2021-09-13,354990,7479
E12000001,North East,region,2021-09-12,353574,7474
E12000001,North East,region,2021-09-11,352532,7468
E12000001,North East,region,2021-09-10,351485,7460
E12000001,North East,region,2021-09-09,350199,7448
E12000001,North East,region,2021-09-08,348694,7441
E12000001,North East,region,2021-09-07,347104,7440
E12000001,North East,region,2021-09-06,345392,7431
E12000001,North East,region,2021-09-05,343525,7425
E12000001,North East,region,2021-09-04,342194,7420
E12000001,North East,region,2021-09-03,340891,7413
E12000001,North East,region,2021-09-02,339385,7402
E12000001,North East,region,2021-09-01,337815,7392
E12000001,North East,region,2021-08-31,336181,7390
E12000001,North East,region,2021-08-30,334495,7382
E12000001,North East,region,2021-08-29,333173,7372
E12000001,North East,region,2021-08-28,332207,7368
E12000001,North East,region,2021-08-27,331215,7356
E12000001,North East,region,2021-08-26,330048,7346
E12000001,North East,region,2021-08-25,328741,7345
E12000001,North East,region,2021-08-24,327374,7334
E12000001,North East,region,2021-08-23,325980,7323
E12000001,North East,region,2021-08-22,324572,7316
E12000001,North East,region,2021-08-21,323495,7305
E12000001,North East,region,2021-08-20,322485,7297
E12000001,North East,region,2021-08-19,321361,7286
E12000001,North East,region,2021-08-18,320132,7274
E12000001,North East,region,2021-08-17,318875,7265
E12000001,North East,region,2021-08-16,317643,7256
E12000001,North East,region,2021-08-15,316340,7252
E12000001,North East,region,2021-08-14,315453,7248
E12000001,North East,region,2021-08-13,314533,7243
E12000001,North East,region,2021-08-12,313473,7240
E12000001,North East,region,2021-08-11,312381,7234
E12000001,North East,region,2021-08-10,311213,7230
E12000001,North East,region,2021-08-09,310075,7224
E12000001,North East,region,2021-08-08,308849,7215
E12000001,North East,region,2021-08-07,307975,7211
E12000001,North East,region,2021-08-06,307079,7204
E12000001,North East,region,2021-08-05,306024,7195
E12000001,North East,region,2021-08-04,304777,7186
E12000001,North East,region,2021-08-03,303453,7174
E12000001,North East,region,2021-08-02,302237,7160
E12000001,North East,region,2021-08-01,301047,7150
E12000001,North East,region,2021-07-31,300174,7141
E12000001,North East,region,2021-07-30,299297,7131
E12000001,North East,region,2021-07-29,298149,7123
E12000001,North East,region,2021-07-28,296902,7115
E12000001,North East,region,2021-07-27,295487,7109
E12000001,North East,region,2021-07-26,293990,7107
E12000001,North East,region,2021-07-25,292296,7097
E12000001,North East,region,2021-07-24,291060,7092
E12000001,North East,region,2021-07-23,289713,7080
E12000001,North East,region,2021-07-22,288104,7076
E12000001,North East,region,2021-07-21,286240,7069
E12000001,North East,region,2021-07-20,284134,7061
E12000001,North East,region,2021-07-19,281577,7056
E12000001,North East,region,2021-07-18,278176,7043
E12000001,North East,region,2021-07-17,275760,7042
E12000001,North East,region,2021-07-16,273135,7039
E12000001,North East,region,2021-07-15,269261,7034
E12000001,North East,region,2021-07-14,264723,7030
E12000001,North East,region,2021-07-13,260476,7026
E12000001,North East,region,2021-07-12,256383,7021
E12000001,North East,region,2021-07-11,252407,7019
E12000001,North East,region,2021-07-10,249536,7015
E12000001,North East,region,2021-07-09,246707,7013
E12000001,North East,region,2021-07-08,243611,7005
E12000001,North East,region,2021-07-07,240399,7002
E12000001,North East,region,2021-07-06,236717,7000
E12000001,North East,region,2021-07-05,233206,6997
E12000001,North East,region,2021-07-04,229808,6996
E12000001,North East,region,2021-07-03,227397,6996
E12000001,North East,region,2021-07-02,225146,6992
E12000001,North East,region,2021-07-01,222868,6992
E12000001,North East,region,2021-06-30,220317,6988
E12000001,North East,region,2021-06-29,217820,6988
E12000001,North East,region,2021-06-28,215447,6987
E12000001,North East,region,2021-06-27,213179,6987
E12000001,North East,region,2021-06-26,211584,6985
E12000001,North East,region,2021-06-25,210256,6985
E12000001,North East,region,2021-06-24,208761,6984
E12000001,North East,region,2021-06-23,207400,6983
E12000001,North East,region,2021-06-22,206079,6983
E12000001,North East,region,2021-06-21,204903,6980
E12000001,North East,region,2021-06-20,203834,6979
E12000001,North East,region,2021-06-19,203154,6979
E12000001,North East,region,2021-06-18,202539,6979
E12000001,North East,region,2021-06-17,201835,6979
E12000001,North East,region,2021-06-16,201096,6979
E12000001,North East,region,2021-06-15,200453,6979
E12000001,North East,region,2021-06-14,199815,6979
E12000001,North East,region,2021-06-13,199155,6979
E12000001,North East,region,2021-06-12,198756,6978
E12000001,North East,region,2021-06-11,198401,6978
E12000001,North East,region,2021-06-10,198004,6978
E12000001,North East,region,2021-06-09,197610,6977
E12000001,North East,region,2021-06-08,197244,6977
E12000001,North East,region,2021-06-07,196935,6977
E12000001,North East,region,2021-06-06,196642,6977
E12000001,North East,region,2021-06-05,196429,6977
E12000001,North East,region,2021-06-04,196275,6976
E12000001,North East,region,2021-06-03,196085,6976
E12000001,North East,region,2021-06-02,195867,6976
E12000001,North East,region,2021-06-01,195716,6975
E12000001,North East,region,2021-05-31,195587,6974
E12000001,North East,region,2021-05-30,195497,6973
E12000001,North East,region,2021-05-29,195412,6973
E12000001,North East,region,2021-05-28,195312,6973
E12000001,North East,region,2021-05-27,195212,6973
E12000001,North East,region,2021-05-26,195120,6973
E12000001,North East,region,2021-05-25,195027,6973
E12000001,North East,region,2021-05-24,194935,6973
E12000001,North East,region,2021-05-23,194857,6973
E12000001,North East,region,2021-05-22,194778,6973
E12000001,North East,region,2021-05-21,194725,6973
E12000001,North East,region,2021-05-20,194662,6973
E12000001,North East,region,2021-05-19,194597,6973
E12000001,North East,region,2021-05-18,194518,6973
E12000001,North East,region,2021-05-17,194426,6972
E12000001,North East,region,2021-05-16,194328,6970
E12000001,North East,region,2021-05-15,194255,6970
E12000001,North East,region,2021-05-14,194207,6969
E12000001,North East,region,2021-05-13,194145,6969
E12000001,North East,region,2021-05-12,194068,6967
E12000001,North East,region,2021-05-11,193994,6963
E12000001,North East,region,2021-05-10,193900,6962
E12000001,North East,region,2021-05-09,193833,6961
E12000001,North East,region,2021-05-08,193736,6959
E12000001,North East,region,2021-05-07,193677,6959
E12000001,North East,region,2021-05-06,193605,6958
E12000001,North East,region,2021-05-05,193524,6958
E12000001,North East,region,2021-05-04,193438,6957
E12000001,North East,region,2021-05-03,193323,6956
E12000001,North East,region,2021-05-02,193255,6954
E12000001,North East,region,2021-05-01,193201,6952
E12000001,North East,region,2021-04-30,193151,6951
E12000001,North East,region,2021-04-29,193084,6948
E12000001,North East,region,2021-04-28,193016,6948
E12000001,North East,region,2021-04-27,192936,6947
E12000001,North East,region,2021-04-26,192837,6945
E12000001,North East,region,2021-04-25,192732,6944
E12000001,North East,region,2021-04-24,192643,6943
E12000001,North East,region,2021-04-23,192587,6941
E12000001,North East,region,2021-04-22,192513,6940
E12000001,North East,region,2021-04-21,192456,6937
E12000001,North East,region,2021-04-20,192354,6936
E12000001,North East,region,2021-04-19,192275,6936
E12000001,North East,region,2021-04-18,192181,6936
E12000001,North East,region,2021-04-17,192089,6935
E12000001,North East,region,2021-04-16,192024,6934
E12000001,North East,region,2021-04-15,191937,6931
E12000001,North East,region,2021-04-14,191863,6929
E12000001,North East,region,2021-04-13,191771,6927
E12000001,North East,region,2021-04-12,191715,6924
E12000001,North East,region,2021-04-11,191628,6922
E12000001,North East,region,2021-04-10,191514,6922
E12000001,North East,region,2021-04-09,191436,6921
E12000001,North East,region,2021-04-08,191344,6919
E12000001,North East,region,2021-04-07,191246,6917
E12000001,North East,region,2021-04-06,191131,6915
E12000001,North East,region,2021-04-05,190999,6911
E12000001,North East,region,2021-04-04,190872,6909
E12000001,North East,region,2021-04-03,190769,6906
E12000001,North East,region,2021-04-02,190670,6903
E12000001,North East,region,2021-04-01,190574,6902
E12000001,North East,region,2021-03-31,190427,6900
E12000001,North East,region,2021-03-30,190210,6893
E12000001,North East,region,2021-03-29,190035,6890
E12000001,North East,region,2021-03-28,189813,6885
E12000001,North East,region,2021-03-27,189550,6884
E12000001,North East,region,2021-03-26,189347,6879
E12000001,North East,region,2021-03-25,189143,6876
E12000001,North East,region,2021-03-24,188923,6870
E12000001,North East,region,2021-03-23,188769,6865
E12000001,North East,region,2021-03-22,188621,6855
E12000001,North East,region,2021-03-21,188316,6850
E12000001,North East,region,2021-03-20,188030,6847
E12000001,North East,region,2021-03-19,187819,6839
E12000001,North East,region,2021-03-18,187579,6831
E12000001,North East,region,2021-03-17,187320,6826
E12000001,North East,region,2021-03-16,187019,6818
E12000001,North East,region,2021-03-15,186717,6815
E12000001,North East,region,2021-03-14,186405,6809
E12000001,North East,region,2021-03-13,186203,6802
E12000001,North East,region,2021-03-12,185947,6789
E12000001,North East,region,2021-03-11,185658,6779
E12000001,North East,region,2021-03-10,185358,6770
E12000001,North East,region,2021-03-09,185044,6756
E12000001,North East,region,2021-03-08,184690,6744
E12000001,North East,region,2021-03-07,184355,6731
E12000001,North East,region,2021-03-06,184141,6724
E12000001,North East,region,2021-03-05,183901,6713
E12000001,North East,region,2021-03-04,183629,6695
E12000001,North East,region,2021-03-03,183334,6683
E12000001,North East,region,2021-03-02,182990,6669
E12000001,North East,region,2021-03-01,182673,6659
E12000001,North East,region,2021-02-28,182295,6643
E12000001,North East,region,2021-02-27,182041,6629
E12000001,North East,region,2021-02-26,181760,6614
E12000001,North East,region,2021-02-25,181397,6598
E12000001,North East,region,2021-02-24,180944,6581
E12000001,North East,region,2021-02-23,180510,6559
E12000001,North East,region,2021-02-22,180120,6544
E12000001,North East,region,2021-02-21,179574,6529
E12000001,North East,region,2021-02-20,179169,6510
E12000001,North East,region,2021-02-19,178822,6489
E12000001,North East,region,2021-02-18,178363,6465
E12000001,North East,region,2021-02-17,177786,6441
E12000001,North East,region,2021-02-16,177201,6420
E12000001,North East,region,2021-02-15,176490,6397
E12000001,North East,region,2021-02-14,175771,6365
E12000001,North East,region,2021-02-13,175296,6335
