areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000002,North West,region,2021-11-17,1258743,23641
E12000002,North West,region,2021-11-16,1257780,23632
E12000002,North West,region,2021-11-15,1253857,23613
E12000002,North West,region,2021-11-14,1249027,23589
E12000002,North West,region,2021-11-13,1245778,23574
E12000002,North West,region,2021-11-12,1242741,23553
E12000002,North West,region,2021-11-11,1239160,23538
E12000002,North West,region,2021-11-10,1235236,23517
E12000002,North West,region,2021-11-09,1231230,23488
E12000002,North West,region,2021-11-08,1227057,23468
E12000002,North West,region,2021-11-07,1222541,23440
E12000002,North West,region,2021-11-06,1219420,23422
E12000002,North West,region,2021-11-05,1216652,23384
E12000002,North West,region,2021-11-04,1213595,23369
E12000002,North West,region,2021-11-03,1210305,23341
E12000002,North West,region,2021-11-02,1206581,23309
E12000002,North West,region,2021-11-01,1202639,23294
E12000002,North West,region,2021-10-31,1197964,23270
E12000002,North West,region,2021-10-30,1194267,23240
E12000002,North West,region,2021-10-29,1190874,23211
E12000002,North West,region,2021-10-28,1186707,23192
E12000002,North West,region,2021-10-27,1182399,23159
E12000002,North West,region,2021-10-26,1177950,23141
E12000002,North West,region,2021-10-25,1173838,23117
E12000002,North West,region,2021-10-24,1169041,23094
E12000002,North West,region,2021-10-23,1165485,23071
E12000002,North West,region,2021-10-22,1162109,23049
E12000002,North West,region,2021-10-21,1158076,23025
E12000002,North West,region,2021-10-20,1153507,22994
E12000002,North West,region,2021-10-19,1148290,22962
E12000002,North West,region,2021-10-18,1143063,22947
E12000002,North West,region,2021-10-17,1137136,22923
E12000002,North West,region,2021-10-16,1132693,22901
E12000002,North West,region,2021-10-15,1129030,22875
E12000002,North West,region,2021-10-14,1124849,22851
E12000002,North West,region,2021-10-13,1119809,22830
E12000002,North West,region,2021-10-12,1114668,22811
E12000002,North West,region,2021-10-11,1109180,22793
E12000002,North West,region,2021-10-10,1103157,22774
E12000002,North West,region,2021-10-09,1098917,22758
E12000002,North West,region,2021-10-08,1095034,22733
E12000002,North West,region,2021-10-07,1090849,22722
E12000002,North West,region,2021-10-06,1086129,22701
E12000002,North West,region,2021-10-05,1081222,22683
E12000002,North West,region,2021-10-04,1076470,22666
E12000002,North West,region,2021-10-03,1071008,22647
E12000002,North West,region,2021-10-02,1067296,22627
E12000002,North West,region,2021-10-01,1064188,22611
E12000002,North West,region,2021-09-30,1060712,22591
E12000002,North West,region,2021-09-29,1056977,22574
E12000002,North West,region,2021-09-28,1052965,22560
E12000002,North West,region,2021-09-27,1049014,22548
E12000002,North West,region,2021-09-26,1044215,22540
E12000002,North West,region,2021-09-25,1040763,22528
E12000002,North West,region,2021-09-24,1037819,22509
E12000002,North West,region,2021-09-23,1034365,22494
E12000002,North West,region,2021-09-22,1030571,22469
E12000002,North West,region,2021-09-21,1026595,22450
E12000002,North West,region,2021-09-20,1022356,22434
E12000002,North West,region,2021-09-19,1017619,22418
E12000002,North West,region,2021-09-18,1014110,22400
E12000002,North West,region,2021-09-17,1011134,22379
E12000002,North West,region,2021-09-16,1007931,22350
E12000002,North West,region,2021-09-15,1004419,22325
E12000002,North West,region,2021-09-14,1000909,22301
E12000002,North West,region,2021-09-13,997377,22276
E12000002,North West,region,2021-09-12,993438,22260
E12000002,North West,region,2021-09-11,990710,22240
E12000002,North West,region,2021-09-10,988184,22216
E12000002,North West,region,2021-09-09,985047,22193
E12000002,North West,region,2021-09-08,981376,22165
E12000002,North West,region,2021-09-07,977413,22142
E12000002,North West,region,2021-09-06,973321,22115
E12000002,North West,region,2021-09-05,968522,22097
E12000002,North West,region,2021-09-04,965226,22076
E12000002,North West,region,2021-09-03,962047,22059
E12000002,North West,region,2021-09-02,958139,22041
E12000002,North West,region,2021-09-01,953720,22024
E12000002,North West,region,2021-08-31,949291,22011
E12000002,North West,region,2021-08-30,944814,21993
E12000002,North West,region,2021-08-29,941449,21980
E12000002,North West,region,2021-08-28,938895,21965
E12000002,North West,region,2021-08-27,936329,21947
E12000002,North West,region,2021-08-26,933229,21927
E12000002,North West,region,2021-08-25,929600,21907
E12000002,North West,region,2021-08-24,925886,21894
E12000002,North West,region,2021-08-23,922271,21868
E12000002,North West,region,2021-08-22,918444,21849
E12000002,North West,region,2021-08-21,915591,21837
E12000002,North West,region,2021-08-20,912860,21816
E12000002,North West,region,2021-08-19,909746,21796
E12000002,North West,region,2021-08-18,906250,21777
E12000002,North West,region,2021-08-17,902697,21766
E12000002,North West,region,2021-08-16,899298,21753
E12000002,North West,region,2021-08-15,895580,21738
E12000002,North West,region,2021-08-14,892869,21725
E12000002,North West,region,2021-08-13,890262,21710
