areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000008,South East,region,2021-11-17,1190561,21782
E12000008,South East,region,2021-11-16,1188866,21775
E12000008,South East,region,2021-11-15,1183716,21764
E12000008,South East,region,2021-11-14,1176517,21753
E12000008,South East,region,2021-11-13,1171056,21744
E12000008,South East,region,2021-11-12,1165842,21730
E12000008,South East,region,2021-11-11,1160208,21718
E12000008,South East,region,2021-11-10,1153945,21709
E12000008,South East,region,2021-11-09,1147441,21691
E12000008,South East,region,2021-11-08,1141434,21674
E12000008,South East,region,2021-11-07,1135341,21657
E12000008,South East,region,2021-11-06,1130985,21635
E12000008,South East,region,2021-11-05,1127225,21615
E12000008,South East,region,2021-11-04,1123046,21594
E12000008,South East,region,2021-11-03,1118559,21578
E12000008,South East,region,2021-11-02,1113797,21565
E12000008,South East,region,2021-11-01,1108563,21545
E12000008,South East,region,2021-10-31,1102222,21521
E12000008,South East,region,2021-10-30,1097217,21499
E12000008,South East,region,2021-10-29,1092232,21476
E12000008,South East,region,2021-10-28,1086173,21458
E12000008,South East,region,2021-10-27,1080272,21434
E12000008,South East,region,2021-10-26,1073941,21414
E12000008,South East,region,2021-10-25,1067835,21398
E12000008,South East,region,2021-10-24,1061028,21383
E12000008,South East,region,2021-10-23,1055837,21371
E12000008,South East,region,2021-10-22,1050297,21355
E12000008,South East,region,2021-10-21,1043834,21347
E12000008,South East,region,2021-10-20,1036769,21334
E12000008,South East,region,2021-10-19,1029202,21320
E12000008,South East,region,2021-10-18,1021199,21299
E12000008,South East,region,2021-10-17,1012729,21288
E12000008,South East,region,2021-10-16,1006310,21274
E12000008,South East,region,2021-10-15,1000741,21264
E12000008,South East,region,2021-10-14,994424,21247
E12000008,South East,region,2021-10-13,988141,21230
E12000008,South East,region,2021-10-12,981771,21216
E12000008,South East,region,2021-10-11,975347,21209
E12000008,South East,region,2021-10-10,968646,21198
E12000008,South East,region,2021-10-09,963593,21189
E12000008,South East,region,2021-10-08,959144,21177
E12000008,South East,region,2021-10-07,954408,21167
E12000008,South East,region,2021-10-06,949692,21152
E12000008,South East,region,2021-10-05,944870,21141
E12000008,South East,region,2021-10-04,940033,21132
E12000008,South East,region,2021-10-03,934468,21120
E12000008,South East,region,2021-10-02,930259,21108
E12000008,South East,region,2021-10-01,926810,21101
E12000008,South East,region,2021-09-30,923325,21092
E12000008,South East,region,2021-09-29,919585,21079
E12000008,South East,region,2021-09-28,915442,21066
E12000008,South East,region,2021-09-27,911340,21057
E12000008,South East,region,2021-09-26,905968,21044
E12000008,South East,region,2021-09-25,901641,21033
E12000008,South East,region,2021-09-24,898347,21025
E12000008,South East,region,2021-09-23,894899,21009
E12000008,South East,region,2021-09-22,891204,20997
E12000008,South East,region,2021-09-21,887239,20987
E12000008,South East,region,2021-09-20,882859,20970
E12000008,South East,region,2021-09-19,878350,20961
E12000008,South East,region,2021-09-18,874896,20954
E12000008,South East,region,2021-09-17,872059,20940
E12000008,South East,region,2021-09-16,869007,20920
E12000008,South East,region,2021-09-15,866216,20908
E12000008,South East,region,2021-09-14,863096,20892
E12000008,South East,region,2021-09-13,859969,20885
E12000008,South East,region,2021-09-12,856674,20873
E12000008,South East,region,2021-09-11,854239,20859
E12000008,South East,region,2021-09-10,851998,20840
E12000008,South East,region,2021-09-09,849178,20826
E12000008,South East,region,2021-09-08,846040,20807
E12000008,South East,region,2021-09-07,842740,20792
E12000008,South East,region,2021-09-06,839063,20774
E12000008,South East,region,2021-09-05,834640,20756
E12000008,South East,region,2021-09-04,831353,20739
E12000008,South East,region,2021-09-03,827948,20722
E12000008,South East,region,2021-09-02,823787,20707
E12000008,South East,region,2021-09-01,819141,20702
E12000008,South East,region,2021-08-31,814138,20694
E12000008,South East,region,2021-08-30,808850,20685
E12000008,South East,region,2021-08-29,805195,20675
E12000008,South East,region,2021-08-28,802453,20662
E12000008,South East,region,2021-08-27,799469,20650
E12000008,South East,region,2021-08-26,795994,20638
E12000008,South East,region,2021-08-25,792359,20626
E12000008,South East,region,2021-08-24,788354,20613
E12000008,South East,region,2021-08-23,784272,20599
E12000008,South East,region,2021-08-22,779765,20587
E12000008,South East,region,2021-08-21,776477,20568
E12000008,South East,region,2021-08-20,773075,20561
E12000008,South East,region,2021-08-19,769088,20547
E12000008,South East,region,2021-08-18,764678,20538
E12000008,South East,region,2021-08-17,759753,20526
E12000008,South East,region,2021-08-16,754674,20505
E12000008,South East,region,2021-08-15,750026,20497
E12000008,South East,region,2021-08-14,746958,20489
E12000008,South East,region,2021-08-13,743659,20486
E12000008,South East,region,2021-08-12,739854,20479
E12000008,South East,region,2021-08-11,735833,20473
E12000008,South East,region,2021-08-10,731383,20466
E12000008,South East,region,2021-08-09,727379,20465
E12000008,South East,region,2021-08-08,723536,20459
E12000008,South East,region,2021-08-07,720667,20450
E12000008,South East,region,2021-08-06,717841,20443
E12000008,South East,region,2021-08-05,714393,20430
E12000008,South East,region,2021-08-04,710600,20421
E12000008,South East,region,2021-08-03,706603,20416
E12000008,South East,region,2021-08-02,702942,20404
E12000008,South East,region,2021-08-01,699368,20395
E12000008,South East,region,2021-07-31,696805,20389
E12000008,South East,region,2021-07-30,694363,20381
E12000008,South East,region,2021-07-29,691328,20375
E12000008,South East,region,2021-07-28,687948,20362
E12000008,South East,region,2021-07-27,684349,20352
E12000008,South East,region,2021-07-26,680918,20348
E12000008,South East,region,2021-07-25,677576,20341
E12000008,South East,region,2021-07-24,674975,20332
E12000008,South East,region,2021-07-23,672287,20326
E12000008,South East,region,2021-07-22,669120,20320
E12000008,South East,region,2021-07-21,665564,20318
E12000008,South East,region,2021-07-20,661368,20312
E12000008,South East,region,2021-07-19,656550,20309
E12000008,South East,region,2021-07-18,650921,20303
E12000008,South East,region,2021-07-17,646403,20301
E12000008,South East,region,2021-07-16,641680,20296
E12000008,South East,region,2021-07-15,634843,20292
E12000008,South East,region,2021-07-14,627061,20284
E12000008,South East,region,2021-07-13,620562,20282
E12000008,South East,region,2021-07-12,615379,20279
E12000008,South East,region,2021-07-11,610515,20274
E12000008,South East,region,2021-07-10,607150,20273
E12000008,South East,region,2021-07-09,604135,20271
E12000008,South East,region,2021-07-08,600748,20267
E12000008,South East,region,2021-07-07,597393,20263
E12000008,South East,region,2021-07-06,593649,20260
E12000008,South East,region,2021-07-05,590168,20258
E12000008,South East,region,2021-07-04,586712,20254
E12000008,South East,region,2021-07-03,584258,20253
E12000008,South East,region,2021-07-02,581817,20251
E12000008,South East,region,2021-07-01,579305,20250
E12000008,South East,region,2021-06-30,576625,20247
E12000008,South East,region,2021-06-29,574015,20246
E12000008,South East,region,2021-06-28,571470,20245
E12000008,South East,region,2021-06-27,568939,20245
E12000008,South East,region,2021-06-26,567109,20244
E12000008,South East,region,2021-06-25,565607,20242
E12000008,South East,region,2021-06-24,564051,20237
E12000008,South East,region,2021-06-23,562528,20233
E12000008,South East,region,2021-06-22,561130,20233
E12000008,South East,region,2021-06-21,559897,20232
E12000008,South East,region,2021-06-20,558818,20232
E12000008,South East,region,2021-06-19,558074,20231
E12000008,South East,region,2021-06-18,557472,20230
E12000008,South East,region,2021-06-17,556640,20229
E12000008,South East,region,2021-06-16,555835,20227
E12000008,South East,region,2021-06-15,554900,20226
E12000008,South East,region,2021-06-14,554060,20225
