areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000009,South West,region,2021-11-17,691408,9093
E12000009,South West,region,2021-11-16,690152,9090
E12000009,South West,region,2021-11-15,686428,9081
E12000009,South West,region,2021-11-14,681784,9061
E12000009,South West,region,2021-11-13,678263,9050
E12000009,South West,region,2021-11-12,674934,9046
E12000009,South West,region,2021-11-11,671110,9034
E12000009,South West,region,2021-11-10,667066,9019
E12000009,South West,region,2021-11-09,662770,9007
E12000009,South West,region,2021-11-08,658543,8988
E12000009,South West,region,2021-11-07,654056,8974
E12000009,South West,region,2021-11-06,650932,8962
E12000009,South West,region,2021-11-05,648258,8948
E12000009,South West,region,2021-11-04,645286,8931
E12000009,South West,region,2021-11-03,642167,8919
E12000009,South West,region,2021-11-02,638754,8901
E12000009,South West,region,2021-11-01,635012,8887
E12000009,South West,region,2021-10-31,630537,8872
E12000009,South West,region,2021-10-30,626806,8858
E12000009,South West,region,2021-10-29,623333,8849
E12000009,South West,region,2021-10-28,619121,8831
E12000009,South West,region,2021-10-27,614516,8815
E12000009,South West,region,2021-10-26,609913,8799
E12000009,South West,region,2021-10-25,605135,8776
E12000009,South West,region,2021-10-24,599881,8768
E12000009,South West,region,2021-10-23,595870,8758
E12000009,South West,region,2021-10-22,591773,8736
E12000009,South West,region,2021-10-21,587066,8721
E12000009,South West,region,2021-10-20,581754,8708
E12000009,South West,region,2021-10-19,575430,8702
E12000009,South West,region,2021-10-18,569160,8695
E12000009,South West,region,2021-10-17,561619,8684
E12000009,South West,region,2021-10-16,555674,8671
E12000009,South West,region,2021-10-15,550510,8660
E12000009,South West,region,2021-10-14,544290,8647
E12000009,South West,region,2021-10-13,538670,8628
E12000009,South West,region,2021-10-12,532912,8618
E12000009,South West,region,2021-10-11,527208,8606
E12000009,South West,region,2021-10-10,522949,8599
E12000009,South West,region,2021-10-09,519885,8591
E12000009,South West,region,2021-10-08,517550,8584
E12000009,South West,region,2021-10-07,514926,8577
E12000009,South West,region,2021-10-06,512284,8566
E12000009,South West,region,2021-10-05,509874,8557
E12000009,South West,region,2021-10-04,507410,8547
E12000009,South West,region,2021-10-03,504430,8533
E12000009,South West,region,2021-10-02,502284,8528
E12000009,South West,region,2021-10-01,500631,8515
E12000009,South West,region,2021-09-30,498510,8503
E12000009,South West,region,2021-09-29,495995,8493
E12000009,South West,region,2021-09-28,493618,8483
E12000009,South West,region,2021-09-27,490943,8478
E12000009,South West,region,2021-09-26,488134,8467
E12000009,South West,region,2021-09-25,485550,8458
E12000009,South West,region,2021-09-24,483172,8445
E12000009,South West,region,2021-09-23,480496,8437
E12000009,South West,region,2021-09-22,477638,8425
E12000009,South West,region,2021-09-21,475449,8413
E12000009,South West,region,2021-09-20,473338,8407
E12000009,South West,region,2021-09-19,471215,8399
E12000009,South West,region,2021-09-18,468995,8390
E12000009,South West,region,2021-09-17,466840,8380
E12000009,South West,region,2021-09-16,464729,8364
E12000009,South West,region,2021-09-15,462995,8354
E12000009,South West,region,2021-09-14,461388,8345
E12000009,South West,region,2021-09-13,459788,8331
E12000009,South West,region,2021-09-12,458011,8320
E12000009,South West,region,2021-09-11,456826,8314
E12000009,South West,region,2021-09-10,455718,8304
E12000009,South West,region,2021-09-09,454163,8296
E12000009,South West,region,2021-09-08,451808,8284
E12000009,South West,region,2021-09-07,449913,8268
E12000009,South West,region,2021-09-06,447896,8259
E12000009,South West,region,2021-09-05,444654,8239
E12000009,South West,region,2021-09-04,442239,8228
E12000009,South West,region,2021-09-03,439823,8221
E12000009,South West,region,2021-09-02,436706,8209
