areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000005,West Midlands,region,2021-11-17,897785,17611
E12000005,West Midlands,region,2021-11-16,897004,17610
E12000005,West Midlands,region,2021-11-15,893821,17590
E12000005,West Midlands,region,2021-11-14,890063,17581
E12000005,West Midlands,region,2021-11-13,887183,17570
E12000005,West Midlands,region,2021-11-12,884723,17554
E12000005,West Midlands,region,2021-11-11,881727,17540
E12000005,West Midlands,region,2021-11-10,878524,17520
E12000005,West Midlands,region,2021-11-09,874996,17508
E12000005,West Midlands,region,2021-11-08,871723,17495
E12000005,West Midlands,region,2021-11-07,868032,17480
E12000005,West Midlands,region,2021-11-06,865342,17458
E12000005,West Midlands,region,2021-11-05,862934,17448
E12000005,West Midlands,region,2021-11-04,860578,17424
E12000005,West Midlands,region,2021-11-03,857811,17407
E12000005,West Midlands,region,2021-11-02,854888,17396
E12000005,West Midlands,region,2021-11-01,851865,17378
E12000005,West Midlands,region,2021-10-31,847934,17360
E12000005,West Midlands,region,2021-10-30,845038,17344
E12000005,West Midlands,region,2021-10-29,842168,17327
E12000005,West Midlands,region,2021-10-28,838956,17310
E12000005,West Midlands,region,2021-10-27,835454,17286
E12000005,West Midlands,region,2021-10-26,831705,17274
E12000005,West Midlands,region,2021-10-25,828457,17250
E12000005,West Midlands,region,2021-10-24,824699,17232
E12000005,West Midlands,region,2021-10-23,821818,17216
E12000005,West Midlands,region,2021-10-22,819052,17196
E12000005,West Midlands,region,2021-10-21,815666,17179
E12000005,West Midlands,region,2021-10-20,812003,17167
E12000005,West Midlands,region,2021-10-19,807605,17147
E12000005,West Midlands,region,2021-10-18,803070,17134
E12000005,West Midlands,region,2021-10-17,798106,17121
E12000005,West Midlands,region,2021-10-16,794316,17102
E12000005,West Midlands,region,2021-10-15,791132,17084
E12000005,West Midlands,region,2021-10-14,787499,17069
E12000005,West Midlands,region,2021-10-13,783297,17056
E12000005,West Midlands,region,2021-10-12,779179,17047
E12000005,West Midlands,region,2021-10-11,774908,17029
E12000005,West Midlands,region,2021-10-10,770379,17017
E12000005,West Midlands,region,2021-10-09,766923,17004
E12000005,West Midlands,region,2021-10-08,764013,16991
E12000005,West Midlands,region,2021-10-07,760601,16969
E12000005,West Midlands,region,2021-10-06,756663,16956
E12000005,West Midlands,region,2021-10-05,752679,16940
E12000005,West Midlands,region,2021-10-04,748810,16925
E12000005,West Midlands,region,2021-10-03,744775,16912
E12000005,West Midlands,region,2021-10-02,741395,16905
E12000005,West Midlands,region,2021-10-01,738665,16890
E12000005,West Midlands,region,2021-09-30,735728,16877
E12000005,West Midlands,region,2021-09-29,732258,16866
E12000005,West Midlands,region,2021-09-28,728796,16859
E12000005,West Midlands,region,2021-09-27,725242,16843
E12000005,West Midlands,region,2021-09-26,721089,16828
E12000005,West Midlands,region,2021-09-25,717760,16818
E12000005,West Midlands,region,2021-09-24,714798,16802
E12000005,West Midlands,region,2021-09-23,711517,16790
E12000005,West Midlands,region,2021-09-22,707833,16777
E12000005,West Midlands,region,2021-09-21,704159,16765
E12000005,West Midlands,region,2021-09-20,700335,16746
E12000005,West Midlands,region,2021-09-19,696236,16733
E12000005,West Midlands,region,2021-09-18,693079,16724
E12000005,West Midlands,region,2021-09-17,690504,16705
E12000005,West Midlands,region,2021-09-16,687741,16683
E12000005,West Midlands,region,2021-09-15,684934,16671
E12000005,West Midlands,region,2021-09-14,682216,16654
E12000005,West Midlands,region,2021-09-13,679389,16635
E12000005,West Midlands,region,2021-09-12,676387,16621
