areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
E12000003,Yorkshire and The Humber,region,2021-11-17,885920,14812
E12000003,Yorkshire and The Humber,region,2021-11-16,885208,14808
E12000003,Yorkshire and The Humber,region,2021-11-15,882536,14796
E12000003,Yorkshire and The Humber,region,2021-11-14,878894,14780
E12000003,Yorkshire and The Humber,region,2021-11-13,876129,14765
E12000003,Yorkshire and The Humber,region,2021-11-12,873702,14752
E12000003,Yorkshire and The Humber,region,2021-11-11,870791,14733
E12000003,Yorkshire and The Humber,region,2021-11-10,867771,14717
E12000003,Yorkshire and The Humber,region,2021-11-09,864665,14700
E12000003,Yorkshire and The Humber,region,2021-11-08,861479,14680
E12000003,Yorkshire and The Humber,region,2021-11-07,858200,14672
E12000003,Yorkshire and The Humber,region,2021-11-06,855895,14652
E12000003,Yorkshire and The Humber,region,2021-11-05,853790,14631
E12000003,Yorkshire and The Humber,region,2021-11-04,851447,14613
E12000003,Yorkshire and The Humber,region,2021-11-03,848763,14588
E12000003,Yorkshire and The Humber,region,2021-11-02,845802,14573
E12000003,Yorkshire and The Humber,region,2021-11-01,842691,14554
E12000003,Yorkshire and The Humber,region,2021-10-31,838963,14532
E12000003,Yorkshire and The Humber,region,2021-10-30,836121,14511
E12000003,Yorkshire and The Humber,region,2021-10-29,833301,14487
E12000003,Yorkshire and The Humber,region,2021-10-28,829854,14467
E12000003,Yorkshire and The Humber,region,2021-10-27,826338,14448
E12000003,Yorkshire and The Humber,region,2021-10-26,822856,14423
E12000003,Yorkshire and The Humber,region,2021-10-25,819415,14409
E12000003,Yorkshire and The Humber,region,2021-10-24,815656,14386
E12000003,Yorkshire and The Humber,region,2021-10-23,812709,14368
E12000003,Yorkshire and The Humber,region,2021-10-22,809988,14345
E12000003,Yorkshire and The Humber,region,2021-10-21,806963,14324
E12000003,Yorkshire and The Humber,region,2021-10-20,803358,14303
E12000003,Yorkshire and The Humber,region,2021-10-19,799294,14276
E12000003,Yorkshire and The Humber,region,2021-10-18,795300,14265
E12000003,Yorkshire and The Humber,region,2021-10-17,790851,14255
E12000003,Yorkshire and The Humber,region,2021-10-16,787506,14240
E12000003,Yorkshire and The Humber,region,2021-10-15,784444,14217
E12000003,Yorkshire and The Humber,region,2021-10-14,781015,14198
E12000003,Yorkshire and The Humber,region,2021-10-13,777084,14179
E12000003,Yorkshire and The Humber,region,2021-10-12,772930,14159
E12000003,Yorkshire and The Humber,region,2021-10-11,768687,14142
E12000003,Yorkshire and The Humber,region,2021-10-10,763853,14123
E12000003,Yorkshire and The Humber,region,2021-10-09,760342,14104
E12000003,Yorkshire and The Humber,region,2021-10-08,757219,14085
E12000003,Yorkshire and The Humber,region,2021-10-07,753837,14063
E12000003,Yorkshire and The Humber,region,2021-10-06,750072,14045
E12000003,Yorkshire and The Humber,region,2021-10-05,746220,14035
E12000003,Yorkshire and The Humber,region,2021-10-04,742553,14021
E12000003,Yorkshire and The Humber,region,2021-10-03,738358,14010
E12000003,Yorkshire and The Humber,region,2021-10-02,735303,13993
E12000003,Yorkshire and The Humber,region,2021-10-01,732809,13987
E12000003,Yorkshire and The Humber,region,2021-09-30,729971,13973
E12000003,Yorkshire and The Humber,region,2021-09-29,726855,13956
E12000003,Yorkshire and The Humber,region,2021-09-28,723304,13938
E12000003,Yorkshire and The Humber,region,2021-09-27,719779,13927
E12000003,Yorkshire and The Humber,region,2021-09-26,715738,13917
E12000003,Yorkshire and The Humber,region,2021-09-25,712569,13910
E12000003,Yorkshire and The Humber,region,2021-09-24,709770,13893
E12000003,Yorkshire and The Humber,region,2021-09-23,706747,13877
E12000003,Yorkshire and The Humber,region,2021-09-22,703327,13865
E12000003,Yorkshire and The Humber,region,2021-09-21,699647,13852
E12000003,Yorkshire and The Humber,region,2021-09-20,695897,13837
E12000003,Yorkshire and The Humber,region,2021-09-19,691960,13816
E12000003,Yorkshire and The Humber,region,2021-09-18,689026,13799
E12000003,Yorkshire and The Humber,region,2021-09-17,686570,13783
E12000003,Yorkshire and The Humber,region,2021-09-16,683952,13764
E12000003,Yorkshire and The Humber,region,2021-09-15,681417,13744
E12000003,Yorkshire and The Humber,region,2021-09-14,679041,13731
E12000003,Yorkshire and The Humber,region,2021-09-13,676620,13714
E12000003,Yorkshire and The Humber,region,2021-09-12,673731,13700
E12000003,Yorkshire and The Humber,region,2021-09-11,671710,13678
E12000003,Yorkshire and The Humber,region,2021-09-10,669784,13665
E12000003,Yorkshire and The Humber,region,2021-09-09,667388,13642
E12000003,Yorkshire and The Humber,region,2021-09-08,664779,13617
E12000003,Yorkshire and The Humber,region,2021-09-07,661800,13600
E12000003,Yorkshire and The Humber,region,2021-09-06,658586,13583
E12000003,Yorkshire and The Humber,region,2021-09-05,654846,13564
E12000003,Yorkshire and The Humber,region,2021-09-04,652236,13544
E12000003,Yorkshire and The Humber,region,2021-09-03,649692,13520
E12000003,Yorkshire and The Humber,region,2021-09-02,646516,13501
E12000003,Yorkshire and The Humber,region,2021-09-01,643335,13487
E12000003,Yorkshire and The Humber,region,2021-08-31,640008,13464
E12000003,Yorkshire and The Humber,region,2021-08-30,636236,13446
E12000003,Yorkshire and The Humber,region,2021-08-29,633316,13430
E12000003,Yorkshire and The Humber,region,2021-08-28,631079,13411
E12000003,Yorkshire and The Humber,region,2021-08-27,628869,13398
E12000003,Yorkshire and The Humber,region,2021-08-26,626267,13375
E12000003,Yorkshire and The Humber,region,2021-08-25,623532,13365
E12000003,Yorkshire and The Humber,region,2021-08-24,620691,13358
E12000003,Yorkshire and The Humber,region,2021-08-23,617697,13344
E12000003,Yorkshire and The Humber,region,2021-08-22,614311,13326
E12000003,Yorkshire and The Humber,region,2021-08-21,611887,13309
E12000003,Yorkshire and The Humber,region,2021-08-20,609621,13298
E12000003,Yorkshire and The Humber,region,2021-08-19,607018,13284
E12000003,Yorkshire and The Humber,region,2021-08-18,603997,13273
E12000003,Yorkshire and The Humber,region,2021-08-17,600811,13260
E12000003,Yorkshire and The Humber,region,2021-08-16,597871,13250
E12000003,Yorkshire and The Humber,region,2021-08-15,594576,13238
E12000003,Yorkshire and The Humber,region,2021-08-14,592173,13228
E12000003,Yorkshire and The Humber,region,2021-08-13,589817,13210
E12000003,Yorkshire and The Humber,region,2021-08-12,586945,13189
E12000003,Yorkshire and The Humber,region,2021-08-11,583860,13173
E12000003,Yorkshire and The Humber,region,2021-08-10,580706,13157
E12000003,Yorkshire and The Humber,region,2021-08-09,577441,13139
E12000003,Yorkshire and The Humber,region,2021-08-08,574064,13130
E12000003,Yorkshire and The Humber,region,2021-08-07,571745,13118
E12000003,Yorkshire and The Humber,region,2021-08-06,569364,13103
E12000003,Yorkshire and The Humber,region,2021-08-05,566360,13090
E12000003,Yorkshire and The Humber,region,2021-08-04,563069,13072
E12000003,Yorkshire and The Humber,region,2021-08-03,559544,13063
E12000003,Yorkshire and The Humber,region,2021-08-02,556349,13055
E12000003,Yorkshire and The Humber,region,2021-08-01,553083,13049
E12000003,Yorkshire and The Humber,region,2021-07-31,550806,13044
E12000003,Yorkshire and The Humber,region,2021-07-30,548541,13030
E12000003,Yorkshire and The Humber,region,2021-07-29,545827,13020
E12000003,Yorkshire and The Humber,region,2021-07-28,542661,13011
E12000003,Yorkshire and The Humber,region,2021-07-27,539473,13000
E12000003,Yorkshire and The Humber,region,2021-07-26,536342,12986
E12000003,Yorkshire and The Humber,region,2021-07-25,533148,12975
E12000003,Yorkshire and The Humber,region,2021-07-24,530975,12963
E12000003,Yorkshire and The Humber,region,2021-07-23,528661,12954
E12000003,Yorkshire and The Humber,region,2021-07-22,525945,12948
E12000003,Yorkshire and The Humber,region,2021-07-21,522762,12941
E12000003,Yorkshire and The Humber,region,2021-07-20,519108,12934
E12000003,Yorkshire and The Humber,region,2021-07-19,514960,12924
E12000003,Yorkshire and The Humber,region,2021-07-18,509845,12914
E12000003,Yorkshire and The Humber,region,2021-07-17,506052,12903
E12000003,Yorkshire and The Humber,region,2021-07-16,502198,12898
E12000003,Yorkshire and The Humber,region,2021-07-15,496495,12891
E12000003,Yorkshire and The Humber,region,2021-07-14,490205,12883
E12000003,Yorkshire and The Humber,region,2021-07-13,484401,12877
E12000003,Yorkshire and The Humber,region,2021-07-12,479207,12875
E12000003,Yorkshire and The Humber,region,2021-07-11,474267,12871
E12000003,Yorkshire and The Humber,region,2021-07-10,470951,12869
E12000003,Yorkshire and The Humber,region,2021-07-09,467870,12865
E12000003,Yorkshire and The Humber,region,2021-07-08,464304,12863
E12000003,Yorkshire and The Humber,region,2021-07-07,460628,12860
